experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score,score type
2.05,multiclass,Random Forest,"(1653525, 800)",200,400,1,72,50,0.908139873,accuracy
2.05,multiclass,Random Forest,"(826762, 1600)",200,200,2,72,50,0.80866723,accuracy
2.05,multiclass,Random Forest,"(826762, 800)",200,200,1,72,50,0.80291347,accuracy
2.05,multiclass,Random Forest,"(413412, 1600)",200,100,2,72,50,0.691285814,accuracy
2.05,multiclass,Random Forest,"(413412, 800)",200,100,1,72,50,0.682647258,accuracy
2.05,multiclass,Random Forest,"(206741, 1600)",200,50,2,72,50,0.585713163,accuracy
2.05,multiclass,Random Forest,"(206741, 800)",200,50,1,72,50,0.573741996,accuracy
2.04,multiclass,Random Forest,"(165402, 800)",100,20,2,72,50,0.553947562,accuracy
2.04,multiclass,Random Forest,"(165402, 400)",100,20,1,72,50,0.543636765,accuracy
2.06,multiclass,Random Forest,"(826762, 1600)",400,400,1,15,45,0.505100537,accuracy
2.06,multiclass,Random Forest,"(413412, 1600)",400,200,1,15,45,0.497485537,accuracy
2.01,multiclass,Random Forest,"(82734, 400)",100,10,1,72,500,0.494957179,accuracy
2.06,multiclass,Random Forest,"(826762, 800)",200,200,1,15,45,0.491196232,accuracy
2.06,multiclass,Random Forest,"(1653525, 800)",200,400,1,15,45,0.490899692,accuracy
2.06,multiclass,Random Forest,"(413412, 800)",200,100,1,15,45,0.485551659,accuracy
2.06,multiclass,Random Forest,"(206741, 1600)",400,100,1,15,45,0.481341085,accuracy
2.06,multiclass,Random Forest,"(826762, 400)",100,100,1,15,45,0.478163708,accuracy
2.06,multiclass,Random Forest,"(1653525, 400)",100,200,1,15,45,0.476699455,accuracy
2.06,multiclass,Random Forest,"(3307050, 400)",100,400,1,15,45,0.475864508,accuracy
2.02,multiclass,Random Forest,"(82734, 400)",100,10,1,72,50,0.47019705,accuracy
2.06,multiclass,Random Forest,"(82734, 400)",100,10,1,15,45,0.442982994,accuracy
2.05,multiclass,Random Forest,"(41392, 1600)",200,10,2,72,50,0.434618403,accuracy
2.05,multiclass,Random Forest,"(41392, 800)",200,10,1,72,50,0.420786737,accuracy
2.06,multiclass,Random Forest,"(41392, 800)",200,10,1,15,45,0.414410438,accuracy
2.06,multiclass,Random Forest,"(20726, 1600)",400,10,1,15,45,0.38769713,accuracy
2.05,multiclass,Random Forest,"(41392, 12800)",200,10,4,72,50,0.358495193,accuracy
2.06,multiclass,Random Forest,"(20726, 3200)",400,10,2,15,45,0.305612695,accuracy
2.04,multiclass,Random Forest,"(165402, 6400)",100,20,4,72,50,0.300326509,accuracy
2.05,multiclass,Random Forest,"(826762, 12800)",200,200,4,72,50,0.299480369,accuracy
2.05,multiclass,Random Forest,"(413412, 12800)",200,100,4,72,50,0.297973696,accuracy
2.05,multiclass,Random Forest,"(206741, 12800)",200,50,4,72,50,0.296981184,accuracy
2.06,multiclass,Random Forest,"(41392, 1600)",200,10,2,15,45,0.281636257,accuracy
2.06,multiclass,Random Forest,"(206741, 3200)",400,100,2,15,45,0.280747928,accuracy
2.06,multiclass,Random Forest,"(82734, 800)",100,10,2,15,45,0.279575961,accuracy
2.06,multiclass,Random Forest,"(413412, 3200)",400,200,2,15,45,0.279296933,accuracy
2.06,multiclass,Random Forest,"(826762, 3200)",400,400,2,15,45,0.276273784,accuracy
2.06,multiclass,Random Forest,"(413412, 1600)",200,100,2,15,45,0.275471216,accuracy
2.06,multiclass,Random Forest,"(826762, 1600)",200,200,2,15,45,0.272872607,accuracy
2.06,multiclass,Random Forest,"(1653525, 1600)",200,400,2,15,45,0.272788219,accuracy
2.06,multiclass,Random Forest,"(3307050, 800)",100,400,2,15,45,0.271312942,accuracy
2.06,multiclass,Random Forest,"(1653525, 800)",100,200,2,15,45,0.27036319,accuracy
2.06,multiclass,Random Forest,"(826762, 800)",100,100,2,15,45,0.270301465,accuracy
2.06,multiclass,Random Forest,"(20726, 25600)",400,10,4,15,45,0.241159761,accuracy
2.06,multiclass,Random Forest,"(413412, 12800)",200,100,4,15,45,0.239851293,accuracy
2.06,multiclass,Random Forest,"(413412, 25600)",400,200,4,15,45,0.23946823,accuracy
2.06,multiclass,Random Forest,"(82734, 6400)",100,10,4,15,45,0.23901254,accuracy
2.04,multiclass,Random Forest,"(165402, 65536)",100,20,6,72,50,0.238903619,accuracy
2.03,multiclass,Random Forest,"(82734, 400)",100,10,1,7,500,0.23866899,accuracy
2.06,multiclass,Random Forest,"(206741, 25600)",400,100,4,15,45,0.238451114,accuracy
2.06,multiclass,Random Forest,"(826762, 6400)",100,100,4,15,45,0.238404075,accuracy
2.06,multiclass,Random Forest,"(1653525, 6400)",100,200,4,15,45,0.238275442,accuracy
2.06,multiclass,Random Forest,"(3307050, 6400)",100,400,4,15,45,0.238242289,accuracy
2.06,multiclass,Random Forest,"(826762, 12800)",200,200,4,15,45,0.237863815,accuracy
2.06,multiclass,Random Forest,"(1653525, 12800)",200,400,4,15,45,0.237765878,accuracy
2.06,multiclass,Random Forest,"(826762, 25600)",400,400,4,15,45,0.237613332,accuracy
2.06,multiclass,Random Forest,"(41392, 12800)",200,10,4,15,45,0.237492643,accuracy
