experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score
2.06,multiclass,Random Forest,"(82734, 400)",100,10,1,15,45,0.4429829942823489
2.06,multiclass,Random Forest,"(82734, 800)",100,10,2,15,45,0.2795759613261024
2.06,multiclass,Random Forest,"(82734, 6400)",100,10,4,15,45,0.23901253956958113
2.06,multiclass,Random Forest,"(826762, 400)",100,100,1,15,45,0.47816370833865407
2.06,multiclass,Random Forest,"(826762, 800)",100,100,2,15,45,0.27030146459338134
2.06,multiclass,Random Forest,"(826762, 6400)",100,100,4,15,45,0.23840407453611387
2.06,multiclass,Random Forest,"(1653525, 400)",100,200,1,15,45,0.47669945470596975
2.06,multiclass,Random Forest,"(1653525, 800)",100,200,2,15,45,0.27036318964469325
2.06,multiclass,Random Forest,"(1653525, 6400)",100,200,4,15,45,0.2382754416316828
2.06,multiclass,Random Forest,"(3307050, 400)",100,400,1,15,45,0.47586450775579764
2.06,multiclass,Random Forest,"(3307050, 800)",100,400,2,15,45,0.27131294180051396
2.06,multiclass,Random Forest,"(3307050, 6400)",100,400,4,15,45,0.2382422893263083
2.06,multiclass,Random Forest,"(41392, 800)",200,10,1,15,45,0.41441043751226214
2.06,multiclass,Random Forest,"(41392, 1600)",200,10,2,15,45,0.28163625662154207
2.06,multiclass,Random Forest,"(41392, 12800)",200,10,4,15,45,0.23749264273101825
2.06,multiclass,Random Forest,"(413412, 800)",200,100,1,15,45,0.48555165944740747
2.06,multiclass,Random Forest,"(413412, 1600)",200,100,2,15,45,0.2754712162732907
2.06,multiclass,Random Forest,"(413412, 12800)",200,100,4,15,45,0.2398512930822799
2.06,multiclass,Random Forest,"(826762, 800)",200,200,1,15,45,0.49119623193815504
2.06,multiclass,Random Forest,"(826762, 1600)",200,200,2,15,45,0.27287260689763565
2.06,multiclass,Random Forest,"(826762, 12800)",200,200,4,15,45,0.23786381540819032
2.06,multiclass,Random Forest,"(1653525, 800)",200,400,1,15,45,0.4908996921747053
2.06,multiclass,Random Forest,"(1653525, 1600)",200,400,2,15,45,0.27278821938967834
2.06,multiclass,Random Forest,"(1653525, 12800)",200,400,4,15,45,0.23776587841944544
2.06,multiclass,Random Forest,"(20726, 1600)",400,10,1,15,45,0.38769712998334804
2.06,multiclass,Random Forest,"(20726, 3200)",400,10,2,15,45,0.3056126946811637
2.06,multiclass,Random Forest,"(20726, 25600)",400,10,4,15,45,0.2411597609952003
2.06,multiclass,Random Forest,"(206741, 1600)",400,100,1,15,45,0.4813410849668068
2.06,multiclass,Random Forest,"(206741, 3200)",400,100,2,15,45,0.28074792787838315
2.06,multiclass,Random Forest,"(206741, 25600)",400,100,4,15,45,0.23845111364261304
2.06,multiclass,Random Forest,"(413412, 1600)",400,200,1,15,45,0.49748553692626535
2.06,multiclass,Random Forest,"(413412, 3200)",400,200,2,15,45,0.27929693255149246
2.06,multiclass,Random Forest,"(413412, 25600)",400,200,4,15,45,0.23946823034839065
2.06,multiclass,Random Forest,"(826762, 1600)",400,400,1,15,45,0.5051005373122599
2.06,multiclass,Random Forest,"(826762, 3200)",400,400,2,15,45,0.2762737836802452
2.06,multiclass,Random Forest,"(826762, 25600)",400,400,4,15,45,0.2376133316306985
