experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score
2.01,multiclass,Random Forest,"(82734, 400)",100,10,1,72,500,0.494957179
2.02,multiclass,Random Forest,"(82734, 400)",100,10,1,72,50,0.47019705
2.03,multiclass,Random Forest,"(82734, 400)",100,10,1,7,500,0.23866899
2.04,multiclass,Random Forest,"(165402, 400)",100,20,1,72,50,0.543636765
2.04,multiclass,Random Forest,"(165402, 800)",100,20,2,72,50,0.553947562
2.04,multiclass,Random Forest,"(165402, 6400)",100,20,4,72,50,0.300326509
2.04,multiclass,Random Forest,"(165402, 65536)",100,20,6,72,50,0.238903619
2.05,multiclass,Random Forest,"(41392, 800)",200,10,1,72,50,0.420786737
2.05,multiclass,Random Forest,"(41392, 1600)",200,10,2,72,50,0.434618403
2.05,multiclass,Random Forest,"(41392, 12800)",200,10,4,72,50,0.358495193
2.05,multiclass,Random Forest,"(206741, 800)",200,50,1,72,50,0.573741996
2.05,multiclass,Random Forest,"(206741, 1600)",200,50,2,72,50,0.585713163
2.05,multiclass,Random Forest,"(206741, 12800)",200,50,4,72,50,0.296981184
2.05,multiclass,Random Forest,"(413412, 800)",200,100,1,72,50,0.682647258
2.05,multiclass,Random Forest,"(413412, 1600)",200,100,2,72,50,0.691285814
2.05,multiclass,Random Forest,"(413412, 12800)",200,100,4,72,50,0.297973696
2.05,multiclass,Random Forest,"(826762, 800)",200,200,1,72,50,0.80291347
2.05,multiclass,Random Forest,"(826762, 1600)",200,200,2,72,50,0.80866723
2.05,multiclass,Random Forest,"(826762, 12800)",200,200,4,72,50,0.299480369
2.05,multiclass,Random Forest,"(1653525, 800)",200,400,1,72,50,0.908139873
