experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,score,score type
7.01,multiclass,Logistic Regression (sklearn),"(56, 400)",100,1,1,l1,auto,,0.2413793103448276,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(56, 793)",100,1,2,l1,auto,,0.2413793103448276,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(56, 1722)",100,1,4,l1,auto,,0.2413793103448276,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(56, 1338)",100,1,6,l1,auto,,0.20689655172413793,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(56, 1018)",100,1,8,l1,auto,,0.20689655172413793,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(56, 850)",100,1,10,l1,auto,,0.20689655172413793,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(56, 680)",100,1,12,l1,auto,,0.1724137931034483,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(546, 400)",100,10,1,l1,auto,,0.4222222222222222,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(546, 800)",100,10,2,l1,auto,,0.4,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(546, 5689)",100,10,4,l1,auto,,0.31851851851851853,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(546, 10714)",100,10,6,l1,auto,,0.2777777777777778,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(546, 9328)",100,10,8,l1,auto,,0.23333333333333334,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(546, 7885)",100,10,10,l1,auto,,0.2,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(546, 6317)",100,10,12,l1,auto,,0.21481481481481482,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(5454, 400)",100,100,1,l1,auto,,0.4893933755117231,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(5454, 800)",100,100,2,l1,auto,,0.6237439523632303,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(5454, 6399)",100,100,4,l1,auto,,0.7138072199478973,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(5454, 38665)",100,100,6,l1,auto,,0.6144398957945665,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(5454, 53604)",100,100,8,l1,auto,,0.5091179754372906,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(5454, 48759)",100,100,10,l1,auto,,0.3788611834759955,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(5454, 39395)",100,100,12,l1,auto,,0.3669519910681057,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(10908, 400)",100,200,1,l1,auto,,0.5109787867510235,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(10908, 800)",100,200,2,l1,auto,,0.653516933382955,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(10908, 6400)",100,200,4,l1,auto,,0.8786751023446222,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(10908, 43939)",100,200,6,l1,auto,,0.8325269817640492,species_recall
7.01,multiclass,Logistic Regression (sklearn),"(10908, 68550)",100,200,8,l1,auto,,0.7030145143282471,species_recall
