experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,solver,score,score type
17.01,multiclass,Logistic Regression (sklearn),"(56, 400)",100,1,1,l1,auto,,saga,0.3448275862068966,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(56, 787)",100,1,2,l1,auto,,saga,0.3103448275862069,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(56, 1707)",100,1,4,l1,auto,,saga,0.10344827586206896,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(56, 1331)",100,1,6,l1,auto,,saga,0.10344827586206896,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(56, 1017)",100,1,8,l1,auto,,saga,0.06896551724137931,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(56, 850)",100,1,10,l1,auto,,saga,0.1724137931034483,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(56, 680)",100,1,12,l1,auto,,saga,0.1724137931034483,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(546, 400)",100,10,1,l1,auto,,saga,0.4,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(546, 800)",100,10,2,l1,auto,,saga,0.34444444444444444,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(546, 5660)",100,10,4,l1,auto,,saga,0.32592592592592595,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(546, 10436)",100,10,6,l1,auto,,saga,0.2777777777777778,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(546, 9045)",100,10,8,l1,auto,,saga,0.1925925925925926,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(546, 7649)",100,10,10,l1,auto,,saga,0.21851851851851853,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(546, 6131)",100,10,12,l1,auto,,saga,0.2037037037037037,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(5454, 400)",100,100,1,l1,auto,,saga,0.469296613323409,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(5454, 800)",100,100,2,l1,auto,,saga,0.5924823222925195,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(5454, 6399)",100,100,4,l1,auto,,saga,0.7093412727949386,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(5454, 38946)",100,100,6,l1,auto,,saga,0.64756233717901,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(5454, 54290)",100,100,8,l1,auto,,saga,0.44994417566058803,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(5454, 49470)",100,100,10,l1,auto,,saga,0.3606252326014142,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(5454, 39994)",100,100,12,l1,auto,,saga,0.3583922590249349,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(10908, 400)",100,200,1,l1,auto,,saga,0.4972087830294008,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(10908, 800)",100,200,2,l1,auto,,saga,0.645515444733904,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(10908, 6400)",100,200,4,l1,auto,,saga,0.8663937476739858,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(10908, 44348)",100,200,6,l1,auto,,saga,0.8178265723855601,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(10908, 70145)",100,200,8,l1,auto,,saga,0.6825455898771865,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(10908, 65479)",100,200,10,l1,auto,,saga,0.5762932638630442,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(10908, 53112)",100,200,12,l1,auto,,saga,0.5673613695571269,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(21817, 400)",100,400,1,l1,auto,,saga,0.5102819391458081,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(21817, 800)",100,400,2,l1,auto,,saga,0.660928631245929,species_recall
17.01,multiclass,Logistic Regression (sklearn),"(21817, 6400)",100,400,4,l1,auto,,saga,0.9668744765981204,species_recall
