experiment,classifier,training_shape,sample_length,coverage,k,C,score,score_type
6.01,Linear SVC,"(56, 400)",100,1,1,0.01,0.3103448275862069,species_recall
6.01,Linear SVC,"(56, 400)",100,1,1,0.1,0.3793103448275862,species_recall
6.01,Linear SVC,"(56, 400)",100,1,1,1,0.3793103448275862,species_recall
6.01,Linear SVC,"(56, 400)",100,1,1,10,0.3793103448275862,species_recall
6.01,Linear SVC,"(56, 400)",100,1,1,100,0.3793103448275862,species_recall
6.01,Linear SVC,"(56, 793)",100,1,2,0.01,0.3103448275862069,species_recall
6.01,Linear SVC,"(56, 793)",100,1,2,0.1,0.27586206896551724,species_recall
6.01,Linear SVC,"(56, 793)",100,1,2,1,0.27586206896551724,species_recall
6.01,Linear SVC,"(56, 793)",100,1,2,10,0.27586206896551724,species_recall
6.01,Linear SVC,"(56, 793)",100,1,2,100,0.27586206896551724,species_recall
6.01,Linear SVC,"(56, 1699)",100,1,4,0.01,0.20689655172413793,species_recall
6.01,Linear SVC,"(56, 1699)",100,1,4,0.1,0.10344827586206896,species_recall
6.01,Linear SVC,"(56, 1699)",100,1,4,1,0.10344827586206896,species_recall
6.01,Linear SVC,"(56, 1699)",100,1,4,10,0.10344827586206896,species_recall
6.01,Linear SVC,"(56, 1699)",100,1,4,100,0.10344827586206896,species_recall
6.01,Linear SVC,"(56, 1335)",100,1,6,0.01,0.1724137931034483,species_recall
6.01,Linear SVC,"(56, 1335)",100,1,6,0.1,0.20689655172413793,species_recall
6.01,Linear SVC,"(56, 1335)",100,1,6,1,0.2413793103448276,species_recall
6.01,Linear SVC,"(56, 1335)",100,1,6,10,0.2413793103448276,species_recall
6.01,Linear SVC,"(56, 1335)",100,1,6,100,0.2413793103448276,species_recall
6.01,Linear SVC,"(56, 1016)",100,1,8,0.01,0.1724137931034483,species_recall
6.01,Linear SVC,"(56, 1016)",100,1,8,0.1,0.2413793103448276,species_recall
6.01,Linear SVC,"(56, 1016)",100,1,8,1,0.1724137931034483,species_recall
6.01,Linear SVC,"(56, 1016)",100,1,8,10,0.1724137931034483,species_recall
6.01,Linear SVC,"(56, 1016)",100,1,8,100,0.2413793103448276,species_recall
6.01,Linear SVC,"(56, 847)",100,1,10,0.01,0.13793103448275862,species_recall
6.01,Linear SVC,"(56, 847)",100,1,10,0.1,0.13793103448275862,species_recall
6.01,Linear SVC,"(56, 847)",100,1,10,1,0.13793103448275862,species_recall
6.01,Linear SVC,"(56, 847)",100,1,10,10,0.13793103448275862,species_recall
6.01,Linear SVC,"(56, 847)",100,1,10,100,0.13793103448275862,species_recall
6.01,Linear SVC,"(56, 678)",100,1,12,0.01,0.06896551724137931,species_recall
6.01,Linear SVC,"(56, 678)",100,1,12,0.1,0.06896551724137931,species_recall
6.01,Linear SVC,"(56, 678)",100,1,12,1,0.06896551724137931,species_recall
6.01,Linear SVC,"(56, 678)",100,1,12,10,0.06896551724137931,species_recall
6.01,Linear SVC,"(56, 678)",100,1,12,100,0.06896551724137931,species_recall
6.01,Linear SVC,"(546, 400)",100,10,1,0.01,0.43333333333333335,species_recall
6.01,Linear SVC,"(546, 400)",100,10,1,0.1,0.3962962962962963,species_recall
6.01,Linear SVC,"(546, 400)",100,10,1,1,0.3925925925925926,species_recall
6.01,Linear SVC,"(546, 400)",100,10,1,10,0.37407407407407406,species_recall
6.01,Linear SVC,"(546, 400)",100,10,1,100,0.37407407407407406,species_recall
6.01,Linear SVC,"(546, 800)",100,10,2,0.01,0.4148148148148148,species_recall
6.01,Linear SVC,"(546, 800)",100,10,2,0.1,0.3962962962962963,species_recall
6.01,Linear SVC,"(546, 800)",100,10,2,1,0.37777777777777777,species_recall
6.01,Linear SVC,"(546, 800)",100,10,2,10,0.37777777777777777,species_recall
6.01,Linear SVC,"(546, 800)",100,10,2,100,0.37777777777777777,species_recall
6.01,Linear SVC,"(546, 5648)",100,10,4,0.01,0.362962962962963,species_recall
6.01,Linear SVC,"(546, 5648)",100,10,4,0.1,0.36666666666666664,species_recall
6.01,Linear SVC,"(546, 5648)",100,10,4,1,0.37407407407407406,species_recall
6.01,Linear SVC,"(546, 5648)",100,10,4,10,0.37407407407407406,species_recall
6.01,Linear SVC,"(546, 5648)",100,10,4,100,0.37407407407407406,species_recall
6.01,Linear SVC,"(546, 10520)",100,10,6,0.01,0.3111111111111111,species_recall
6.01,Linear SVC,"(546, 10520)",100,10,6,0.1,0.3148148148148148,species_recall
6.01,Linear SVC,"(546, 10520)",100,10,6,1,0.3111111111111111,species_recall
6.01,Linear SVC,"(546, 10520)",100,10,6,10,0.3111111111111111,species_recall
6.01,Linear SVC,"(546, 10520)",100,10,6,100,0.3111111111111111,species_recall
6.01,Linear SVC,"(546, 9163)",100,10,8,0.01,0.3296296296296296,species_recall
6.01,Linear SVC,"(546, 9163)",100,10,8,0.1,0.337037037037037,species_recall
6.01,Linear SVC,"(546, 9163)",100,10,8,1,0.34074074074074073,species_recall
6.01,Linear SVC,"(546, 9163)",100,10,8,10,0.34074074074074073,species_recall
6.01,Linear SVC,"(546, 9163)",100,10,8,100,0.34074074074074073,species_recall
6.01,Linear SVC,"(546, 7759)",100,10,10,0.01,0.3037037037037037,species_recall
6.01,Linear SVC,"(546, 7759)",100,10,10,0.1,0.3148148148148148,species_recall
6.01,Linear SVC,"(546, 7759)",100,10,10,1,0.3148148148148148,species_recall
6.01,Linear SVC,"(546, 7759)",100,10,10,10,0.3148148148148148,species_recall
6.01,Linear SVC,"(546, 7759)",100,10,10,100,0.3148148148148148,species_recall
6.01,Linear SVC,"(546, 6217)",100,10,12,0.01,0.28888888888888886,species_recall
6.01,Linear SVC,"(546, 6217)",100,10,12,0.1,0.2962962962962963,species_recall
6.01,Linear SVC,"(546, 6217)",100,10,12,1,0.2962962962962963,species_recall
6.01,Linear SVC,"(546, 6217)",100,10,12,10,0.2962962962962963,species_recall
6.01,Linear SVC,"(546, 6217)",100,10,12,100,0.2962962962962963,species_recall
6.01,Linear SVC,"(5454, 400)",100,100,1,0.01,0.4640863416449572,species_recall
6.01,Linear SVC,"(5454, 400)",100,100,1,0.1,0.46036471901749165,species_recall
6.01,Linear SVC,"(5454, 400)",100,100,1,1,0.4607368812802382,species_recall
6.01,Linear SVC,"(5454, 400)",100,100,1,10,0.41198362486043916,species_recall
6.01,Linear SVC,"(5454, 400)",100,100,1,100,0.39151470040937847,species_recall
6.01,Linear SVC,"(5454, 800)",100,100,2,0.01,0.5593598809080759,species_recall
6.01,Linear SVC,"(5454, 800)",100,100,2,0.1,0.5775958317826573,species_recall
6.01,Linear SVC,"(5454, 800)",100,100,2,1,0.5735020468924451,species_recall
6.01,Linear SVC,"(5454, 800)",100,100,2,10,0.5757350204689244,species_recall
6.01,Linear SVC,"(5454, 800)",100,100,2,100,0.527353926311872,species_recall
6.01,Linear SVC,"(5454, 6398)",100,100,4,0.01,0.728321548195013,species_recall
6.01,Linear SVC,"(5454, 6398)",100,100,4,0.1,0.735020468924451,species_recall
6.01,Linear SVC,"(5454, 6398)",100,100,4,1,0.7260885746185337,species_recall
6.01,Linear SVC,"(5454, 6398)",100,100,4,10,0.7264607368812802,species_recall
6.01,Linear SVC,"(5454, 6398)",100,100,4,100,0.7264607368812802,species_recall
6.01,Linear SVC,"(5454, 38797)",100,100,6,0.01,0.6806847785634537,species_recall
6.01,Linear SVC,"(5454, 38797)",100,100,6,0.1,0.6862672125046521,species_recall
6.01,Linear SVC,"(5454, 38797)",100,100,6,1,0.6885001860811314,species_recall
6.01,Linear SVC,"(5454, 38797)",100,100,6,10,0.6877558615556383,species_recall
6.01,Linear SVC,"(5454, 38797)",100,100,6,100,0.6885001860811314,species_recall
6.01,Linear SVC,"(5454, 54094)",100,100,8,0.01,0.6717528842575363,species_recall
6.01,Linear SVC,"(5454, 54094)",100,100,8,0.1,0.666914774841831,species_recall
6.01,Linear SVC,"(5454, 54094)",100,100,8,1,0.6657982880535913,species_recall
6.01,Linear SVC,"(5454, 54094)",100,100,8,10,0.6654261257908448,species_recall
6.01,Linear SVC,"(5454, 54094)",100,100,8,100,0.6654261257908448,species_recall
6.01,Linear SVC,"(5454, 49308)",100,100,10,0.01,0.637513956084853,species_recall
6.01,Linear SVC,"(5454, 49308)",100,100,10,0.1,0.6460736881280238,species_recall
6.01,Linear SVC,"(5454, 49308)",100,100,10,1,0.6464458503907704,species_recall
6.01,Linear SVC,"(5454, 49308)",100,100,10,10,0.6464458503907704,species_recall
6.01,Linear SVC,"(5454, 49308)",100,100,10,100,0.6464458503907704,species_recall
6.01,Linear SVC,"(5454, 39851)",100,100,12,0.01,0.618161518422032,species_recall
6.01,Linear SVC,"(5454, 39851)",100,100,12,0.1,0.6211388165240045,species_recall
6.01,Linear SVC,"(5454, 39851)",100,100,12,1,0.6211388165240045,species_recall
6.01,Linear SVC,"(5454, 39851)",100,100,12,10,0.6211388165240045,species_recall
6.01,Linear SVC,"(5454, 39851)",100,100,12,100,0.6211388165240045,species_recall
6.01,Linear SVC,"(10908, 400)",100,200,1,0.01,0.4973948641607741,species_recall
6.01,Linear SVC,"(10908, 400)",100,200,1,0.1,0.4979531075548939,species_recall
6.01,Linear SVC,"(10908, 400)",100,200,1,1,0.4985113509490138,species_recall
6.01,Linear SVC,"(10908, 400)",100,200,1,10,0.3870487532564198,species_recall
6.01,Linear SVC,"(10908, 400)",100,200,1,100,0.3678823967249721,species_recall
6.01,Linear SVC,"(10908, 800)",100,200,2,0.01,0.6002977298101972,species_recall
6.01,Linear SVC,"(10908, 800)",100,200,2,0.1,0.6023446222553033,species_recall
6.01,Linear SVC,"(10908, 800)",100,200,2,1,0.6010420543356904,species_recall
6.01,Linear SVC,"(10908, 800)",100,200,2,10,0.5872720506140677,species_recall
6.01,Linear SVC,"(10908, 800)",100,200,2,100,0.5173055452177149,species_recall
6.01,Linear SVC,"(10908, 6400)",100,200,4,0.01,0.8455526609601787,species_recall
6.01,Linear SVC,"(10908, 6400)",100,200,4,0.1,0.881838481577968,species_recall
6.01,Linear SVC,"(10908, 6400)",100,200,4,1,0.8770003721622628,species_recall
6.01,Linear SVC,"(10908, 6400)",100,200,4,10,0.8779307778191291,species_recall
6.01,Linear SVC,"(10908, 6400)",100,200,4,100,0.8779307778191291,species_recall
6.01,Linear SVC,"(10908, 44609)",100,200,6,0.01,0.8628582061778935,species_recall
6.01,Linear SVC,"(10908, 44609)",100,200,6,0.1,0.8656494231484927,species_recall
6.01,Linear SVC,"(10908, 44609)",100,200,6,1,0.8626721250465202,species_recall
6.01,Linear SVC,"(10908, 44609)",100,200,6,10,0.8634164495720134,species_recall
6.01,Linear SVC,"(10908, 44609)",100,200,6,100,0.8636025307033867,species_recall
6.01,Linear SVC,"(10908, 70463)",100,200,8,0.01,0.8269445478228508,species_recall
6.01,Linear SVC,"(10908, 70463)",100,200,8,0.1,0.826386304428731,species_recall
6.01,Linear SVC,"(10908, 70463)",100,200,8,1,0.8282471157424637,species_recall
6.01,Linear SVC,"(10908, 70463)",100,200,8,10,0.8286192780052103,species_recall
6.01,Linear SVC,"(10908, 70463)",100,200,8,100,0.8286192780052103,species_recall
6.01,Linear SVC,"(10908, 65853)",100,200,10,0.01,0.828433196873837,species_recall
6.01,Linear SVC,"(10908, 65853)",100,200,10,0.1,0.8347599553405285,species_recall
6.01,Linear SVC,"(10908, 65853)",100,200,10,1,0.8347599553405285,species_recall
6.01,Linear SVC,"(10908, 65853)",100,200,10,10,0.8347599553405285,species_recall
6.01,Linear SVC,"(10908, 65853)",100,200,10,100,0.8347599553405285,species_recall
6.01,Linear SVC,"(10908, 53403)",100,200,12,0.01,0.8204317082247861,species_recall
6.01,Linear SVC,"(10908, 53403)",100,200,12,0.1,0.8211760327502792,species_recall
6.01,Linear SVC,"(10908, 53403)",100,200,12,1,0.8211760327502792,species_recall
6.01,Linear SVC,"(10908, 53403)",100,200,12,10,0.8211760327502792,species_recall
6.01,Linear SVC,"(10908, 53403)",100,200,12,100,0.8211760327502792,species_recall
6.01,Linear SVC,"(21817, 400)",100,400,1,0.01,0.49585930957476504,species_recall
6.01,Linear SVC,"(21817, 400)",100,400,1,0.1,0.49641760491299897,species_recall
6.01,Linear SVC,"(21817, 400)",100,400,1,1,0.4978133432585838,species_recall
6.01,Linear SVC,"(21817, 400)",100,400,1,10,0.4308179026705127,species_recall
6.01,Linear SVC,"(21817, 400)",100,400,1,100,0.40504326788871314,species_recall
6.01,Linear SVC,"(21817, 800)",100,400,2,0.01,0.6308737322043361,species_recall
6.01,Linear SVC,"(21817, 800)",100,400,2,0.1,0.6339443565646227,species_recall
6.01,Linear SVC,"(21817, 800)",100,400,2,1,0.6337582581185447,species_recall
6.01,Linear SVC,"(21817, 800)",100,400,2,10,0.5923513538661952,species_recall
6.01,Linear SVC,"(21817, 800)",100,400,2,100,0.5095375453614962,species_recall
6.01,Linear SVC,"(21817, 6400)",100,400,4,0.01,0.932539313296734,species_recall
