experiment,classifier,training_shape,sample_length,coverage,k,C,score,score_type
,,,,,,,,
6.01,Linear SVC,"(56, 400)",100,1,1,0.01,0.310344828,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 400)",100,1,1,0.1,0.275862069,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 400)",100,1,1,1,0.275862069,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 400)",100,1,1,10,0.24137931,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 400)",100,1,1,100,0.24137931,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 793)",100,1,2,0.01,0.24137931,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 793)",100,1,2,0.1,0.24137931,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 793)",100,1,2,1,0.24137931,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 793)",100,1,2,10,0.24137931,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 793)",100,1,2,100,0.24137931,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 1713)",100,1,4,0.01,0.137931034,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 1713)",100,1,4,0.1,0.172413793,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 1713)",100,1,4,1,0.172413793,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 1713)",100,1,4,10,0.172413793,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 1713)",100,1,4,100,0.172413793,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 1326)",100,1,6,0.01,0.137931034,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 1326)",100,1,6,0.1,0.206896552,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 1326)",100,1,6,1,0.206896552,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 1326)",100,1,6,10,0.206896552,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 1326)",100,1,6,100,0.206896552,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 1015)",100,1,8,0.01,0.137931034,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 1015)",100,1,8,0.1,0.172413793,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 1015)",100,1,8,1,0.172413793,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 1015)",100,1,8,10,0.172413793,species_recall
,,,,,,,,
6.01,Linear SVC,"(56, 1015)",100,1,8,100,0.172413793,species_recall
,,,,,,,,
