experiment,classifier,training_shape,sample_length,coverage,k,score,score_type
4.01,Naive Bayes,"(56, 400)",100,1,1,0.1724137931034483,species_recall
4.01,Naive Bayes,"(56, 788)",100,1,2,0.3103448275862069,species_recall
4.01,Naive Bayes,"(56, 1696)",100,1,4,0.27586206896551724,species_recall
4.01,Naive Bayes,"(56, 1334)",100,1,6,0.10344827586206896,species_recall
4.01,Naive Bayes,"(56, 1019)",100,1,8,0.10344827586206896,species_recall
4.01,Naive Bayes,"(56, 850)",100,1,10,0.20689655172413793,species_recall
4.01,Naive Bayes,"(56, 680)",100,1,12,0.2413793103448276,species_recall
4.01,Naive Bayes,"(546, 400)",100,10,1,0.2814814814814815,species_recall
4.01,Naive Bayes,"(546, 800)",100,10,2,0.2740740740740741,species_recall
4.01,Naive Bayes,"(546, 5687)",100,10,4,0.35185185185185186,species_recall
4.01,Naive Bayes,"(546, 10480)",100,10,6,0.3,species_recall
4.01,Naive Bayes,"(546, 9090)",100,10,8,0.2518518518518518,species_recall
4.01,Naive Bayes,"(546, 7692)",100,10,10,0.22962962962962963,species_recall
4.01,Naive Bayes,"(546, 6163)",100,10,12,0.2518518518518518,species_recall
4.01,Naive Bayes,"(5454, 400)",100,100,1,0.2958689988835132,species_recall
4.01,Naive Bayes,"(5454, 800)",100,100,2,0.27912169705991813,species_recall
4.01,Naive Bayes,"(5454, 6400)",100,100,4,0.43282471157424635,species_recall
4.01,Naive Bayes,"(5454, 39091)",100,100,6,0.6728693710457759,species_recall
4.01,Naive Bayes,"(5454, 54366)",100,100,8,0.6423520655005582,species_recall
4.01,Naive Bayes,"(5454, 49510)",100,100,10,0.6069966505396353,species_recall
4.01,Naive Bayes,"(5454, 40008)",100,100,12,0.6163007071082992,species_recall
4.01,Naive Bayes,"(10908, 400)",100,200,1,0.3034983252698176,species_recall
4.01,Naive Bayes,"(10908, 800)",100,200,2,0.2722366951991068,species_recall
4.01,Naive Bayes,"(10908, 6400)",100,200,4,0.46222553033122443,species_recall
4.01,Naive Bayes,"(10908, 44488)",100,200,6,0.7882396724972088,species_recall
4.01,Naive Bayes,"(10908, 70466)",100,200,8,0.8187569780424265,species_recall
4.01,Naive Bayes,"(10908, 65831)",100,200,10,0.8157796799404541,species_recall
4.01,Naive Bayes,"(10908, 53377)",100,200,12,0.8081503535541497,species_recall
4.01,Naive Bayes,"(21817, 400)",100,400,1,0.33423280915604353,species_recall
4.01,Naive Bayes,"(21817, 800)",100,400,2,0.30743463292081513,species_recall
4.01,Naive Bayes,"(21817, 6400)",100,400,4,0.4421699078812692,species_recall
4.01,Naive Bayes,"(21817, 46674)",100,400,6,0.8691727924071834,species_recall
4.01,Naive Bayes,"(21817, 77735)",100,400,8,0.9571043081790267,species_recall
4.01,Naive Bayes,"(21817, 73498)",100,400,10,0.9577556527402996,species_recall
