experiment,classifier,training_shape,sample_length,coverage,k,C,score,score_type
1.02,SVC,"(56, 400)",100,1,1,0.01,0.1724137931034483,species_recall
1.02,SVC,"(56, 400)",100,1,1,0.1,0.1724137931034483,species_recall
1.02,SVC,"(56, 400)",100,1,1,1,0.1724137931034483,species_recall
1.02,SVC,"(56, 400)",100,1,1,10,0.1724137931034483,species_recall
1.02,SVC,"(56, 400)",100,1,1,100,0.1724137931034483,species_recall
1.02,SVC,"(56, 789)",100,1,2,0.01,0.10344827586206896,species_recall
1.02,SVC,"(56, 789)",100,1,2,0.1,0.10344827586206896,species_recall
1.02,SVC,"(56, 789)",100,1,2,1,0.10344827586206896,species_recall
1.02,SVC,"(56, 789)",100,1,2,10,0.1724137931034483,species_recall
1.02,SVC,"(56, 789)",100,1,2,100,0.1724137931034483,species_recall
1.02,SVC,"(56, 1675)",100,1,4,0.01,0.20689655172413793,species_recall
1.02,SVC,"(56, 1675)",100,1,4,0.1,0.20689655172413793,species_recall
1.02,SVC,"(56, 1675)",100,1,4,1,0.2413793103448276,species_recall
1.02,SVC,"(56, 1675)",100,1,4,10,0.3103448275862069,species_recall
1.02,SVC,"(56, 1675)",100,1,4,100,0.3103448275862069,species_recall
1.02,SVC,"(56, 1313)",100,1,6,0.01,0.20689655172413793,species_recall
1.02,SVC,"(56, 1313)",100,1,6,0.1,0.20689655172413793,species_recall
1.02,SVC,"(56, 1313)",100,1,6,1,0.2413793103448276,species_recall
1.02,SVC,"(56, 1313)",100,1,6,10,0.2413793103448276,species_recall
1.02,SVC,"(56, 1313)",100,1,6,100,0.2413793103448276,species_recall
1.02,SVC,"(56, 1006)",100,1,8,0.01,0.10344827586206896,species_recall
1.02,SVC,"(56, 1006)",100,1,8,0.1,0.10344827586206896,species_recall
1.02,SVC,"(56, 1006)",100,1,8,1,0.10344827586206896,species_recall
1.02,SVC,"(56, 1006)",100,1,8,10,0.10344827586206896,species_recall
1.02,SVC,"(56, 1006)",100,1,8,100,0.10344827586206896,species_recall
1.02,SVC,"(56, 840)",100,1,10,0.01,0.2413793103448276,species_recall
1.02,SVC,"(56, 840)",100,1,10,0.1,0.2413793103448276,species_recall
1.02,SVC,"(56, 840)",100,1,10,1,0.2413793103448276,species_recall
1.02,SVC,"(56, 840)",100,1,10,10,0.2413793103448276,species_recall
1.02,SVC,"(56, 840)",100,1,10,100,0.2413793103448276,species_recall
1.02,SVC,"(56, 672)",100,1,12,0.01,0.10344827586206896,species_recall
1.02,SVC,"(56, 672)",100,1,12,0.1,0.10344827586206896,species_recall
1.02,SVC,"(56, 672)",100,1,12,1,0.10344827586206896,species_recall
1.02,SVC,"(56, 672)",100,1,12,10,0.10344827586206896,species_recall
1.02,SVC,"(56, 672)",100,1,12,100,0.10344827586206896,species_recall
1.02,SVC,"(546, 400)",100,10,1,0.01,0.23333333333333334,species_recall
1.02,SVC,"(546, 400)",100,10,1,0.1,0.23333333333333334,species_recall
1.02,SVC,"(546, 400)",100,10,1,1,0.3962962962962963,species_recall
1.02,SVC,"(546, 400)",100,10,1,10,0.3888888888888889,species_recall
1.02,SVC,"(546, 400)",100,10,1,100,0.3888888888888889,species_recall
1.02,SVC,"(546, 800)",100,10,2,0.01,0.2037037037037037,species_recall
1.02,SVC,"(546, 800)",100,10,2,0.1,0.2037037037037037,species_recall
1.02,SVC,"(546, 800)",100,10,2,1,0.3888888888888889,species_recall
1.02,SVC,"(546, 800)",100,10,2,10,0.3888888888888889,species_recall
1.02,SVC,"(546, 800)",100,10,2,100,0.3888888888888889,species_recall
1.02,SVC,"(546, 5644)",100,10,4,0.01,0.23703703703703705,species_recall
1.02,SVC,"(546, 5644)",100,10,4,0.1,0.23703703703703705,species_recall
1.02,SVC,"(546, 5644)",100,10,4,1,0.3333333333333333,species_recall
1.02,SVC,"(546, 5644)",100,10,4,10,0.3074074074074074,species_recall
1.02,SVC,"(546, 5644)",100,10,4,100,0.3074074074074074,species_recall
1.02,SVC,"(546, 10492)",100,10,6,0.01,0.24074074074074073,species_recall
1.02,SVC,"(546, 10492)",100,10,6,0.1,0.24074074074074073,species_recall
1.02,SVC,"(546, 10492)",100,10,6,1,0.2777777777777778,species_recall
1.02,SVC,"(546, 10492)",100,10,6,10,0.3074074074074074,species_recall
1.02,SVC,"(546, 10492)",100,10,6,100,0.3074074074074074,species_recall
1.02,SVC,"(546, 9144)",100,10,8,0.01,0.23333333333333334,species_recall
1.02,SVC,"(546, 9144)",100,10,8,0.1,0.23333333333333334,species_recall
1.02,SVC,"(546, 9144)",100,10,8,1,0.27037037037037037,species_recall
1.02,SVC,"(546, 9144)",100,10,8,10,0.2740740740740741,species_recall
1.02,SVC,"(546, 9144)",100,10,8,100,0.2740740740740741,species_recall
1.02,SVC,"(546, 7760)",100,10,10,0.01,0.24074074074074073,species_recall
1.02,SVC,"(546, 7760)",100,10,10,0.1,0.24074074074074073,species_recall
1.02,SVC,"(546, 7760)",100,10,10,1,0.2851851851851852,species_recall
1.02,SVC,"(546, 7760)",100,10,10,10,0.2851851851851852,species_recall
1.02,SVC,"(546, 7760)",100,10,10,100,0.2851851851851852,species_recall
1.02,SVC,"(546, 6217)",100,10,12,0.01,0.21481481481481482,species_recall
1.02,SVC,"(546, 6217)",100,10,12,0.1,0.21481481481481482,species_recall
1.02,SVC,"(546, 6217)",100,10,12,1,0.28888888888888886,species_recall
1.02,SVC,"(546, 6217)",100,10,12,10,0.29259259259259257,species_recall
1.02,SVC,"(546, 6217)",100,10,12,100,0.29259259259259257,species_recall
1.02,SVC,"(5454, 400)",100,100,1,0.01,0.23074060290286566,species_recall
1.02,SVC,"(5454, 400)",100,100,1,0.1,0.41123930033494605,species_recall
1.02,SVC,"(5454, 400)",100,100,1,1,0.7067361369557127,species_recall
1.02,SVC,"(5454, 400)",100,100,1,10,0.7361369557126908,species_recall
1.02,SVC,"(5454, 400)",100,100,1,100,0.7361369557126908,species_recall
1.02,SVC,"(5454, 800)",100,100,2,0.01,0.23520655005582433,species_recall
1.02,SVC,"(5454, 800)",100,100,2,0.1,0.31596576107182733,species_recall
1.02,SVC,"(5454, 800)",100,100,2,1,0.7309266840342389,species_recall
1.02,SVC,"(5454, 800)",100,100,2,10,0.7499069594343134,species_recall
1.02,SVC,"(5454, 800)",100,100,2,100,0.7499069594343134,species_recall
1.02,SVC,"(5454, 6400)",100,100,4,0.01,0.23260141421659844,species_recall
1.02,SVC,"(5454, 6400)",100,100,4,0.1,0.23260141421659844,species_recall
1.02,SVC,"(5454, 6400)",100,100,4,1,0.7372534425009304,species_recall
1.02,SVC,"(5454, 6400)",100,100,4,10,0.7499069594343134,species_recall
1.02,SVC,"(5454, 6400)",100,100,4,100,0.7499069594343134,species_recall
1.02,SVC,"(5454, 38703)",100,100,6,0.01,0.23409006326758466,species_recall
1.02,SVC,"(5454, 38703)",100,100,6,0.1,0.23409006326758466,species_recall
1.02,SVC,"(5454, 38703)",100,100,6,1,0.6732415333085225,species_recall
