experiment,classifier,training_shape,sample_length,coverage,k,C,score,score_type
1.01,SVC,"(56, 400)",100,1,1,0.01,0.3448275862068966,species_recall
1.01,SVC,"(56, 400)",100,1,1,0.1,0.3448275862068966,species_recall
1.01,SVC,"(56, 400)",100,1,1,1,0.3793103448275862,species_recall
1.01,SVC,"(56, 400)",100,1,1,10,0.3448275862068966,species_recall
1.01,SVC,"(56, 400)",100,1,1,100,0.3448275862068966,species_recall
1.01,SVC,"(56, 794)",100,1,2,0.01,0.2413793103448276,species_recall
1.01,SVC,"(56, 794)",100,1,2,0.1,0.2413793103448276,species_recall
1.01,SVC,"(56, 794)",100,1,2,1,0.2413793103448276,species_recall
1.01,SVC,"(56, 794)",100,1,2,10,0.3448275862068966,species_recall
1.01,SVC,"(56, 794)",100,1,2,100,0.3448275862068966,species_recall
1.01,SVC,"(56, 1705)",100,1,4,0.01,0.13793103448275862,species_recall
1.01,SVC,"(56, 1705)",100,1,4,0.1,0.13793103448275862,species_recall
1.01,SVC,"(56, 1705)",100,1,4,1,0.1724137931034483,species_recall
1.01,SVC,"(56, 1705)",100,1,4,10,0.1724137931034483,species_recall
1.01,SVC,"(56, 1705)",100,1,4,100,0.1724137931034483,species_recall
1.01,SVC,"(56, 1322)",100,1,6,0.01,0.2413793103448276,species_recall
1.01,SVC,"(56, 1322)",100,1,6,0.1,0.2413793103448276,species_recall
1.01,SVC,"(56, 1322)",100,1,6,1,0.2413793103448276,species_recall
1.01,SVC,"(56, 1322)",100,1,6,10,0.2413793103448276,species_recall
1.01,SVC,"(56, 1322)",100,1,6,100,0.2413793103448276,species_recall
1.01,SVC,"(56, 1007)",100,1,8,0.01,0.10344827586206896,species_recall
1.01,SVC,"(56, 1007)",100,1,8,0.1,0.10344827586206896,species_recall
1.01,SVC,"(56, 1007)",100,1,8,1,0.13793103448275862,species_recall
1.01,SVC,"(56, 1007)",100,1,8,10,0.13793103448275862,species_recall
1.01,SVC,"(56, 1007)",100,1,8,100,0.13793103448275862,species_recall
1.01,SVC,"(56, 840)",100,1,10,0.01,0.13793103448275862,species_recall
1.01,SVC,"(56, 840)",100,1,10,0.1,0.13793103448275862,species_recall
1.01,SVC,"(56, 840)",100,1,10,1,0.13793103448275862,species_recall
1.01,SVC,"(56, 840)",100,1,10,10,0.2413793103448276,species_recall
1.01,SVC,"(56, 840)",100,1,10,100,0.2413793103448276,species_recall
1.01,SVC,"(56, 672)",100,1,12,0.01,0.13793103448275862,species_recall
1.01,SVC,"(56, 672)",100,1,12,0.1,0.13793103448275862,species_recall
1.01,SVC,"(56, 672)",100,1,12,1,0.20689655172413793,species_recall
1.01,SVC,"(56, 672)",100,1,12,10,0.20689655172413793,species_recall
1.01,SVC,"(56, 672)",100,1,12,100,0.20689655172413793,species_recall
1.01,SVC,"(546, 400)",100,10,1,0.01,0.1962962962962963,species_recall
1.01,SVC,"(546, 400)",100,10,1,0.1,0.1962962962962963,species_recall
1.01,SVC,"(546, 400)",100,10,1,1,0.42592592592592593,species_recall
1.01,SVC,"(546, 400)",100,10,1,10,0.44074074074074077,species_recall
1.01,SVC,"(546, 400)",100,10,1,100,0.44074074074074077,species_recall
1.01,SVC,"(546, 800)",100,10,2,0.01,0.21481481481481482,species_recall
1.01,SVC,"(546, 800)",100,10,2,0.1,0.21481481481481482,species_recall
1.01,SVC,"(546, 800)",100,10,2,1,0.3962962962962963,species_recall
1.01,SVC,"(546, 800)",100,10,2,10,0.42962962962962964,species_recall
1.01,SVC,"(546, 800)",100,10,2,100,0.42962962962962964,species_recall
1.01,SVC,"(546, 5657)",100,10,4,0.01,0.2962962962962963,species_recall
1.01,SVC,"(546, 5657)",100,10,4,0.1,0.2962962962962963,species_recall
1.01,SVC,"(546, 5657)",100,10,4,1,0.37037037037037035,species_recall
1.01,SVC,"(546, 5657)",100,10,4,10,0.35185185185185186,species_recall
1.01,SVC,"(546, 5657)",100,10,4,100,0.35185185185185186,species_recall
1.01,SVC,"(546, 10548)",100,10,6,0.01,0.24444444444444444,species_recall
1.01,SVC,"(546, 10548)",100,10,6,0.1,0.24444444444444444,species_recall
1.01,SVC,"(546, 10548)",100,10,6,1,0.2814814814814815,species_recall
1.01,SVC,"(546, 10548)",100,10,6,10,0.3074074074074074,species_recall
1.01,SVC,"(546, 10548)",100,10,6,100,0.3074074074074074,species_recall
1.01,SVC,"(546, 9155)",100,10,8,0.01,0.2111111111111111,species_recall
1.01,SVC,"(546, 9155)",100,10,8,0.1,0.2111111111111111,species_recall
1.01,SVC,"(546, 9155)",100,10,8,1,0.26666666666666666,species_recall
1.01,SVC,"(546, 9155)",100,10,8,10,0.26666666666666666,species_recall
1.01,SVC,"(546, 9155)",100,10,8,100,0.26666666666666666,species_recall
1.01,SVC,"(546, 7733)",100,10,10,0.01,0.23703703703703705,species_recall
1.01,SVC,"(546, 7733)",100,10,10,0.1,0.23703703703703705,species_recall
1.01,SVC,"(546, 7733)",100,10,10,1,0.28888888888888886,species_recall
1.01,SVC,"(546, 7733)",100,10,10,10,0.29259259259259257,species_recall
1.01,SVC,"(546, 7733)",100,10,10,100,0.29259259259259257,species_recall
1.01,SVC,"(546, 6203)",100,10,12,0.01,0.23703703703703705,species_recall
1.01,SVC,"(546, 6203)",100,10,12,0.1,0.23703703703703705,species_recall
1.01,SVC,"(546, 6203)",100,10,12,1,0.2962962962962963,species_recall
1.01,SVC,"(546, 6203)",100,10,12,10,0.2962962962962963,species_recall
1.01,SVC,"(546, 6203)",100,10,12,100,0.2962962962962963,species_recall
1.01,SVC,"(5454, 400)",100,100,1,0.01,0.22627465574990696,species_recall
1.01,SVC,"(5454, 400)",100,100,1,0.1,0.4075176777074805,species_recall
1.01,SVC,"(5454, 400)",100,100,1,1,0.7030145143282471,species_recall
1.01,SVC,"(5454, 400)",100,100,1,10,0.7346483066617046,species_recall
1.01,SVC,"(5454, 400)",100,100,1,100,0.7346483066617046,species_recall
1.01,SVC,"(5454, 800)",100,100,2,0.01,0.23334573874209155,species_recall
1.01,SVC,"(5454, 800)",100,100,2,0.1,0.30368440640119093,species_recall
1.01,SVC,"(5454, 800)",100,100,2,1,0.7424637141793822,species_recall
1.01,SVC,"(5454, 800)",100,100,2,10,0.7476739858578341,species_recall
