experiment,classifier,training_shape,sample_length,coverage,k,C,score,score_type
1.01,SVC,"(56, 400)",100,1,1,0.01,0.2413793103448276,species_recall
1.01,SVC,"(56, 400)",100,1,1,0.1,0.2413793103448276,species_recall
1.01,SVC,"(56, 400)",100,1,1,1,0.2413793103448276,species_recall
1.01,SVC,"(56, 400)",100,1,1,10,0.2413793103448276,species_recall
1.01,SVC,"(56, 400)",100,1,1,100,0.2413793103448276,species_recall
1.01,SVC,"(56, 793)",100,1,2,0.01,0.2413793103448276,species_recall
1.01,SVC,"(56, 793)",100,1,2,0.1,0.2413793103448276,species_recall
1.01,SVC,"(56, 793)",100,1,2,1,0.2413793103448276,species_recall
1.01,SVC,"(56, 793)",100,1,2,10,0.2413793103448276,species_recall
1.01,SVC,"(56, 793)",100,1,2,100,0.2413793103448276,species_recall
1.01,SVC,"(56, 1722)",100,1,4,0.01,0.1724137931034483,species_recall
1.01,SVC,"(56, 1722)",100,1,4,0.1,0.1724137931034483,species_recall
1.01,SVC,"(56, 1722)",100,1,4,1,0.1724137931034483,species_recall
1.01,SVC,"(56, 1722)",100,1,4,10,0.1724137931034483,species_recall
1.01,SVC,"(56, 1722)",100,1,4,100,0.1724137931034483,species_recall
1.01,SVC,"(56, 1338)",100,1,6,0.01,0.20689655172413793,species_recall
1.01,SVC,"(56, 1338)",100,1,6,0.1,0.20689655172413793,species_recall
1.01,SVC,"(56, 1338)",100,1,6,1,0.20689655172413793,species_recall
1.01,SVC,"(56, 1338)",100,1,6,10,0.20689655172413793,species_recall
1.01,SVC,"(56, 1338)",100,1,6,100,0.20689655172413793,species_recall
1.01,SVC,"(56, 1018)",100,1,8,0.01,0.1724137931034483,species_recall
1.01,SVC,"(56, 1018)",100,1,8,0.1,0.1724137931034483,species_recall
1.01,SVC,"(56, 1018)",100,1,8,1,0.1724137931034483,species_recall
1.01,SVC,"(56, 1018)",100,1,8,10,0.20689655172413793,species_recall
1.01,SVC,"(56, 1018)",100,1,8,100,0.20689655172413793,species_recall
1.01,SVC,"(56, 850)",100,1,10,0.01,0.1724137931034483,species_recall
1.01,SVC,"(56, 850)",100,1,10,0.1,0.20689655172413793,species_recall
1.01,SVC,"(56, 850)",100,1,10,1,0.1724137931034483,species_recall
1.01,SVC,"(56, 850)",100,1,10,10,0.1724137931034483,species_recall
1.01,SVC,"(56, 850)",100,1,10,100,0.1724137931034483,species_recall
1.01,SVC,"(56, 680)",100,1,12,0.01,0.20689655172413793,species_recall
1.01,SVC,"(56, 680)",100,1,12,0.1,0.1724137931034483,species_recall
1.01,SVC,"(56, 680)",100,1,12,1,0.1724137931034483,species_recall
1.01,SVC,"(56, 680)",100,1,12,10,0.20689655172413793,species_recall
1.01,SVC,"(56, 680)",100,1,12,100,0.20689655172413793,species_recall
1.01,SVC,"(546, 400)",100,10,1,0.01,0.22962962962962963,species_recall
1.01,SVC,"(546, 400)",100,10,1,0.1,0.22962962962962963,species_recall
1.01,SVC,"(546, 400)",100,10,1,1,0.4777777777777778,species_recall
1.01,SVC,"(546, 400)",100,10,1,10,0.48518518518518516,species_recall
1.01,SVC,"(546, 400)",100,10,1,100,0.48518518518518516,species_recall
1.01,SVC,"(546, 800)",100,10,2,0.01,0.22962962962962963,species_recall
1.01,SVC,"(546, 800)",100,10,2,0.1,0.22962962962962963,species_recall
1.01,SVC,"(546, 800)",100,10,2,1,0.42592592592592593,species_recall
1.01,SVC,"(546, 800)",100,10,2,10,0.4925925925925926,species_recall
1.01,SVC,"(546, 800)",100,10,2,100,0.4925925925925926,species_recall
1.01,SVC,"(546, 5689)",100,10,4,0.01,0.22962962962962963,species_recall
1.01,SVC,"(546, 5689)",100,10,4,0.1,0.22962962962962963,species_recall
1.01,SVC,"(546, 5689)",100,10,4,1,0.3074074074074074,species_recall
1.01,SVC,"(546, 5689)",100,10,4,10,0.3888888888888889,species_recall
1.01,SVC,"(546, 5689)",100,10,4,100,0.3888888888888889,species_recall
1.01,SVC,"(546, 10714)",100,10,6,0.01,0.22962962962962963,species_recall
1.01,SVC,"(546, 10714)",100,10,6,0.1,0.22962962962962963,species_recall
1.01,SVC,"(546, 10714)",100,10,6,1,0.26666666666666666,species_recall
1.01,SVC,"(546, 10714)",100,10,6,10,0.3333333333333333,species_recall
1.01,SVC,"(546, 10714)",100,10,6,100,0.3333333333333333,species_recall
1.01,SVC,"(546, 9328)",100,10,8,0.01,0.22962962962962963,species_recall
1.01,SVC,"(546, 9328)",100,10,8,0.1,0.22962962962962963,species_recall
1.01,SVC,"(546, 9328)",100,10,8,1,0.26666666666666666,species_recall
1.01,SVC,"(546, 9328)",100,10,8,10,0.26666666666666666,species_recall
1.01,SVC,"(546, 9328)",100,10,8,100,0.26666666666666666,species_recall
1.01,SVC,"(546, 7885)",100,10,10,0.01,0.22962962962962963,species_recall
1.01,SVC,"(546, 7885)",100,10,10,0.1,0.22962962962962963,species_recall
1.01,SVC,"(546, 7885)",100,10,10,1,0.26666666666666666,species_recall
1.01,SVC,"(546, 7885)",100,10,10,10,0.26296296296296295,species_recall
1.01,SVC,"(546, 7885)",100,10,10,100,0.26296296296296295,species_recall
1.01,SVC,"(546, 6317)",100,10,12,0.01,0.22962962962962963,species_recall
1.01,SVC,"(546, 6317)",100,10,12,0.1,0.22962962962962963,species_recall
1.01,SVC,"(546, 6317)",100,10,12,1,0.26666666666666666,species_recall
1.01,SVC,"(546, 6317)",100,10,12,10,0.27037037037037037,species_recall
1.01,SVC,"(546, 6317)",100,10,12,100,0.27037037037037037,species_recall
1.01,SVC,"(5454, 400)",100,100,1,0.01,0.23669519910681058,species_recall
1.01,SVC,"(5454, 400)",100,100,1,0.1,0.41272794938593227,species_recall
1.01,SVC,"(5454, 400)",100,100,1,1,0.7100855973204317,species_recall
1.01,SVC,"(5454, 400)",100,100,1,10,0.7346483066617046,species_recall
1.01,SVC,"(5454, 400)",100,100,1,100,0.7346483066617046,species_recall
1.01,SVC,"(5454, 800)",100,100,2,0.01,0.23669519910681058,species_recall
1.01,SVC,"(5454, 800)",100,100,2,0.1,0.3409006326758467,species_recall
1.01,SVC,"(5454, 800)",100,100,2,1,0.7406029028656494,species_recall
1.01,SVC,"(5454, 800)",100,100,2,10,0.7435802009676219,species_recall
1.01,SVC,"(5454, 800)",100,100,2,100,0.7435802009676219,species_recall
1.01,SVC,"(5454, 6399)",100,100,4,0.01,0.23669519910681058,species_recall
1.01,SVC,"(5454, 6399)",100,100,4,0.1,0.23669519910681058,species_recall
1.01,SVC,"(5454, 6399)",100,100,4,1,0.7361369557126908,species_recall
1.01,SVC,"(5454, 6399)",100,100,4,10,0.737625604763677,species_recall
1.01,SVC,"(5454, 6399)",100,100,4,100,0.737625604763677,species_recall
1.01,SVC,"(5454, 38665)",100,100,6,0.01,0.23669519910681058,species_recall
1.01,SVC,"(5454, 38665)",100,100,6,0.1,0.23669519910681058,species_recall
1.01,SVC,"(5454, 38665)",100,100,6,1,0.6799404540379606,species_recall
1.01,SVC,"(5454, 38665)",100,100,6,10,0.6948269445478229,species_recall
1.01,SVC,"(5454, 38665)",100,100,6,100,0.6948269445478229,species_recall
1.01,SVC,"(5454, 53604)",100,100,8,0.01,0.23669519910681058,species_recall
1.01,SVC,"(5454, 53604)",100,100,8,0.1,0.23669519910681058,species_recall
1.01,SVC,"(5454, 53604)",100,100,8,1,0.6259769259397097,species_recall
1.01,SVC,"(5454, 53604)",100,100,8,10,0.6631931522143655,species_recall
1.01,SVC,"(5454, 53604)",100,100,8,100,0.6631931522143655,species_recall
1.01,SVC,"(5454, 48759)",100,100,10,0.01,0.23669519910681058,species_recall
1.01,SVC,"(5454, 48759)",100,100,10,0.1,0.23669519910681058,species_recall
1.01,SVC,"(5454, 48759)",100,100,10,1,0.6256047636769632,species_recall
1.01,SVC,"(5454, 48759)",100,100,10,10,0.6267212504652029,species_recall
1.01,SVC,"(5454, 48759)",100,100,10,100,0.6267212504652029,species_recall
1.01,SVC,"(5454, 39395)",100,100,12,0.01,0.23669519910681058,species_recall
1.01,SVC,"(5454, 39395)",100,100,12,0.1,0.23669519910681058,species_recall
1.01,SVC,"(5454, 39395)",100,100,12,1,0.6289542240416822,species_recall
1.01,SVC,"(5454, 39395)",100,100,12,10,0.6289542240416822,species_recall
1.01,SVC,"(5454, 39395)",100,100,12,100,0.6289542240416822,species_recall
1.01,SVC,"(10908, 400)",100,200,1,0.01,0.24134722739114253,species_recall
1.01,SVC,"(10908, 400)",100,200,1,0.1,0.4789728321548195,species_recall
1.01,SVC,"(10908, 400)",100,200,1,1,0.8615556382582806,species_recall
1.01,SVC,"(10908, 400)",100,200,1,10,0.8861183475995534,species_recall
1.01,SVC,"(10908, 400)",100,200,1,100,0.8861183475995534,species_recall
1.01,SVC,"(10908, 800)",100,200,2,0.01,0.24134722739114253,species_recall
1.01,SVC,"(10908, 800)",100,200,2,0.1,0.43766282098995163,species_recall
1.01,SVC,"(10908, 800)",100,200,2,1,0.8816524004465948,species_recall
1.01,SVC,"(10908, 800)",100,200,2,10,0.8876069966505397,species_recall
1.01,SVC,"(10908, 800)",100,200,2,100,0.8876069966505397,species_recall
1.01,SVC,"(10908, 6400)",100,200,4,0.01,0.24134722739114253,species_recall
1.01,SVC,"(10908, 6400)",100,200,4,0.1,0.24841831038332712,species_recall
1.01,SVC,"(10908, 6400)",100,200,4,1,0.8850018608113137,species_recall
1.01,SVC,"(10908, 6400)",100,200,4,10,0.8903982136211388,species_recall
1.01,SVC,"(10908, 6400)",100,200,4,100,0.8903982136211388,species_recall
1.01,SVC,"(10908, 43939)",100,200,6,0.01,0.24134722739114253,species_recall
1.01,SVC,"(10908, 43939)",100,200,6,0.1,0.24134722739114253,species_recall
1.01,SVC,"(10908, 43939)",100,200,6,1,0.8574618533680685,species_recall
1.01,SVC,"(10908, 43939)",100,200,6,10,0.8639746929661333,species_recall
1.01,SVC,"(10908, 43939)",100,200,6,100,0.8639746929661333,species_recall
1.01,SVC,"(10908, 68550)",100,200,8,0.01,0.24134722739114253,species_recall
1.01,SVC,"(10908, 68550)",100,200,8,0.1,0.24134722739114253,species_recall
1.01,SVC,"(10908, 68550)",100,200,8,1,0.8455526609601787,species_recall
1.01,SVC,"(10908, 68550)",100,200,8,10,0.8470413100111649,species_recall
1.01,SVC,"(10908, 68550)",100,200,8,100,0.8470413100111649,species_recall
1.01,SVC,"(10908, 63875)",100,200,10,0.01,0.24134722739114253,species_recall
1.01,SVC,"(10908, 63875)",100,200,10,0.1,0.24134722739114253,species_recall
1.01,SVC,"(10908, 63875)",100,200,10,1,0.8356903609973949,species_recall
1.01,SVC,"(10908, 63875)",100,200,10,10,0.835132117603275,species_recall
1.01,SVC,"(10908, 63875)",100,200,10,100,0.835132117603275,species_recall
1.01,SVC,"(10908, 51766)",100,200,12,0.01,0.24134722739114253,species_recall
1.01,SVC,"(10908, 51766)",100,200,12,0.1,0.24134722739114253,species_recall
1.01,SVC,"(10908, 51766)",100,200,12,1,0.8314104949758094,species_recall
1.01,SVC,"(10908, 51766)",100,200,12,10,0.8314104949758094,species_recall
1.01,SVC,"(10908, 51766)",100,200,12,100,0.8314104949758094,species_recall
1.01,SVC,"(21817, 400)",100,400,1,0.01,0.27226202661207777,species_recall
1.01,SVC,"(21817, 400)",100,400,1,0.1,0.59374709221178,species_recall
1.01,SVC,"(21817, 400)",100,400,1,1,0.9569182097329487,species_recall
1.01,SVC,"(21817, 400)",100,400,1,10,0.970224248627524,species_recall
1.01,SVC,"(21817, 400)",100,400,1,100,0.970224248627524,species_recall
1.01,SVC,"(21817, 800)",100,400,2,0.01,0.2374616171954964,species_recall
1.01,SVC,"(21817, 800)",100,400,2,0.1,0.6008188331627431,species_recall
1.01,SVC,"(21817, 800)",100,400,2,1,0.9651065413603797,species_recall
1.01,SVC,"(21817, 800)",100,400,2,10,0.9718991346422258,species_recall
1.01,SVC,"(21817, 800)",100,400,2,100,0.9718991346422258,species_recall
1.01,SVC,"(21817, 6400)",100,400,4,0.01,0.2374616171954964,species_recall
1.01,SVC,"(21817, 6400)",100,400,4,0.1,0.435842560714618,species_recall
1.01,SVC,"(21817, 6400)",100,400,4,1,0.9746906113333954,species_recall
1.01,SVC,"(21817, 6400)",100,400,4,10,0.9748767097794734,species_recall
1.01,SVC,"(21817, 6400)",100,400,4,100,0.9748767097794734,species_recall
1.01,SVC,"(21817, 46691)",100,400,6,0.01,0.2374616171954964,species_recall
1.01,SVC,"(21817, 46691)",100,400,6,0.1,0.2734716665115846,species_recall
1.01,SVC,"(21817, 46691)",100,400,6,1,0.9676188703824323,species_recall
1.01,SVC,"(21817, 46691)",100,400,6,10,0.9678049688285103,species_recall
1.01,SVC,"(21817, 46691)",100,400,6,100,0.9678049688285103,species_recall
1.01,SVC,"(21817, 77733)",100,400,8,0.01,0.2374616171954964,species_recall
1.01,SVC,"(21817, 77733)",100,400,8,0.1,0.2584907416023076,species_recall
1.01,SVC,"(21817, 77733)",100,400,8,1,0.9618498185540151,species_recall
1.01,SVC,"(21817, 77733)",100,400,8,10,0.9615706708848981,species_recall
1.01,SVC,"(21817, 77733)",100,400,8,100,0.9615706708848981,species_recall
1.01,SVC,"(21817, 73479)",100,400,10,0.01,0.2374616171954964,species_recall
1.01,SVC,"(21817, 73479)",100,400,10,0.1,0.2584907416023076,species_recall
1.01,SVC,"(21817, 73479)",100,400,10,1,0.9593374895319624,species_recall
1.01,SVC,"(21817, 73479)",100,400,10,10,0.9593374895319624,species_recall
1.01,SVC,"(21817, 73479)",100,400,10,100,0.9593374895319624,species_recall
1.01,SVC,"(21817, 59669)",100,400,12,0.01,0.2374616171954964,species_recall
1.01,SVC,"(21817, 59669)",100,400,12,0.1,0.2584907416023076,species_recall
1.01,SVC,"(21817, 59669)",100,400,12,1,0.9586861449706895,species_recall
1.01,SVC,"(21817, 59669)",100,400,12,10,0.9586861449706895,species_recall
1.01,SVC,"(21817, 59669)",100,400,12,100,0.9586861449706895,species_recall
1.01,SVC,"(29, 800)",200,1,1,0.01,0.2,species_recall
1.01,SVC,"(29, 800)",200,1,1,0.1,0.2,species_recall
1.01,SVC,"(29, 800)",200,1,1,1,0.2,species_recall
1.01,SVC,"(29, 800)",200,1,1,10,0.13333333333333333,species_recall
1.01,SVC,"(29, 800)",200,1,1,100,0.13333333333333333,species_recall
1.01,SVC,"(29, 1444)",200,1,2,0.01,0.2,species_recall
1.01,SVC,"(29, 1444)",200,1,2,0.1,0.2,species_recall
1.01,SVC,"(29, 1444)",200,1,2,1,0.2,species_recall
1.01,SVC,"(29, 1444)",200,1,2,10,0.2,species_recall
1.01,SVC,"(29, 1444)",200,1,2,100,0.2,species_recall
1.01,SVC,"(29, 1910)",200,1,4,0.01,0.2,species_recall
1.01,SVC,"(29, 1910)",200,1,4,0.1,0.2,species_recall
1.01,SVC,"(29, 1910)",200,1,4,1,0.2,species_recall
1.01,SVC,"(29, 1910)",200,1,4,10,0.2,species_recall
1.01,SVC,"(29, 1910)",200,1,4,100,0.2,species_recall
1.01,SVC,"(29, 1429)",200,1,6,0.01,0.2,species_recall
1.01,SVC,"(29, 1429)",200,1,6,0.1,0.2,species_recall
1.01,SVC,"(29, 1429)",200,1,6,1,0.2,species_recall
1.01,SVC,"(29, 1429)",200,1,6,10,0.2,species_recall
1.01,SVC,"(29, 1429)",200,1,6,100,0.2,species_recall
1.01,SVC,"(29, 1096)",200,1,8,0.01,0.2,species_recall
1.01,SVC,"(29, 1096)",200,1,8,0.1,0.2,species_recall
1.01,SVC,"(29, 1096)",200,1,8,1,0.2,species_recall
1.01,SVC,"(29, 1096)",200,1,8,10,0.2,species_recall
1.01,SVC,"(29, 1096)",200,1,8,100,0.2,species_recall
1.01,SVC,"(29, 878)",200,1,10,0.01,0.2,species_recall
1.01,SVC,"(29, 878)",200,1,10,0.1,0.2,species_recall
1.01,SVC,"(29, 878)",200,1,10,1,0.2,species_recall
1.01,SVC,"(29, 878)",200,1,10,10,0.2,species_recall
1.01,SVC,"(29, 878)",200,1,10,100,0.2,species_recall
1.01,SVC,"(29, 703)",200,1,12,0.01,0.2,species_recall
1.01,SVC,"(29, 703)",200,1,12,0.1,0.2,species_recall
1.01,SVC,"(29, 703)",200,1,12,1,0.2,species_recall
1.01,SVC,"(29, 703)",200,1,12,10,0.2,species_recall
1.01,SVC,"(29, 703)",200,1,12,100,0.2,species_recall
1.01,SVC,"(274, 800)",200,10,1,0.01,0.1925925925925926,species_recall
1.01,SVC,"(274, 800)",200,10,1,0.1,0.1925925925925926,species_recall
1.01,SVC,"(274, 800)",200,10,1,1,0.4148148148148148,species_recall
1.01,SVC,"(274, 800)",200,10,1,10,0.4148148148148148,species_recall
1.01,SVC,"(274, 800)",200,10,1,100,0.4148148148148148,species_recall
1.01,SVC,"(274, 1600)",200,10,2,0.01,0.1925925925925926,species_recall
1.01,SVC,"(274, 1600)",200,10,2,0.1,0.1925925925925926,species_recall
1.01,SVC,"(274, 1600)",200,10,2,1,0.4148148148148148,species_recall
1.01,SVC,"(274, 1600)",200,10,2,10,0.4222222222222222,species_recall
1.01,SVC,"(274, 1600)",200,10,2,100,0.4222222222222222,species_recall
1.01,SVC,"(274, 9082)",200,10,4,0.01,0.1925925925925926,species_recall
1.01,SVC,"(274, 9082)",200,10,4,0.1,0.1925925925925926,species_recall
1.01,SVC,"(274, 9082)",200,10,4,1,0.22962962962962963,species_recall
1.01,SVC,"(274, 9082)",200,10,4,10,0.3333333333333333,species_recall
1.01,SVC,"(274, 9082)",200,10,4,100,0.3333333333333333,species_recall
1.01,SVC,"(274, 11985)",200,10,6,0.01,0.1925925925925926,species_recall
1.01,SVC,"(274, 11985)",200,10,6,0.1,0.1925925925925926,species_recall
1.01,SVC,"(274, 11985)",200,10,6,1,0.22962962962962963,species_recall
1.01,SVC,"(274, 11985)",200,10,6,10,0.2518518518518518,species_recall
1.01,SVC,"(274, 11985)",200,10,6,100,0.2518518518518518,species_recall
1.01,SVC,"(274, 9852)",200,10,8,0.01,0.1925925925925926,species_recall
1.01,SVC,"(274, 9852)",200,10,8,0.1,0.1925925925925926,species_recall
1.01,SVC,"(274, 9852)",200,10,8,1,0.22962962962962963,species_recall
1.01,SVC,"(274, 9852)",200,10,8,10,0.23703703703703705,species_recall
1.01,SVC,"(274, 9852)",200,10,8,100,0.23703703703703705,species_recall
1.01,SVC,"(274, 7945)",200,10,10,0.01,0.1925925925925926,species_recall
1.01,SVC,"(274, 7945)",200,10,10,0.1,0.1925925925925926,species_recall
