experiment,category,classifier,sample_length,coverage,k,max_depth,n_estimators,score
1.8,multiclass,Random Forest,100,200,2,1,500,0.29289170078154075
1.8,multiclass,Random Forest,100,200,2,11,500,0.7811685895050242
1.8,multiclass,Random Forest,100,200,2,21,500,0.8749534797171566
1.8,multiclass,Random Forest,100,200,2,31,500,0.8740230740602903
1.8,multiclass,Random Forest,100,200,2,41,500,0.877186453293636
1.8,multiclass,Random Forest,100,200,2,51,500,0.8719761816151842
1.8,multiclass,Random Forest,100,200,2,61,500,0.8753256419799033
1.8,multiclass,Random Forest,100,200,2,71,500,0.8809080759211017
1.8,multiclass,Random Forest,100,200,2,81,500,0.877186453293636
1.8,multiclass,Random Forest,100,200,2,91,500,0.8790472646073688
