experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,15,45,0.964548246
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,25,45,0.963524705
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,20,45,0.963338606
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,20,25,0.96287336
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,20,40,0.962780311
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,20,30,0.962687262
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,20,35,0.962501163
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,20,20,0.962035917
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,15,40,0.96166372
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,15,35,0.961198474
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,25,30,0.961198474
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,25,40,0.961198474
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,20,40,0.960919326
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,25,45,0.960547129
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,25,20,0.960267982
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,25,40,0.960267982
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,20,45,0.960174933
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,25,25,0.960081883
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,15,30,0.959895785
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,25,35,0.959616637
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,25,30,0.95924444
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,25,35,0.95924444
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,15,25,0.958965293
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,25,25,0.957383456
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,15,20,0.956639062
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,20,35,0.956359914
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,25,20,0.953475388
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,20,30,0.952265749
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,20,25,0.948264632
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,20,20,0.941658137
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,15,45,0.910486647
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,10,40,0.905648088
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,10,45,0.903601005
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,15,40,0.902670513
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,10,35,0.902577463
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,15,35,0.898762445
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,10,30,0.889736671
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,15,30,0.88862008
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,25,40,0.887793078
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,25,45,0.885932266
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,25,45,0.884629699
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,25,40,0.883885374
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,25,35,0.883699293
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,20,45,0.882954968
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,25,35,0.882582806
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,10,25,0.881920536
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,20,35,0.881838482
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,20,40,0.881466319
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,15,35,0.881280238
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,15,45,0.87997767
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,20,45,0.87997767
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,15,20,0.879791589
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,20,30,0.879605508
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,25,30,0.879605508
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,15,25,0.878861183
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,25,30,0.878861183
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,15,40,0.87830294
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,20,25,0.87830294
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,15,25,0.878105518
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,15,30,0.877744697
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,20,40,0.877372534
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,20,35,0.876256048
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,25,25,0.875883885
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,20,20,0.872534425
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,25,25,0.8717901
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,25,20,0.871045776
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,25,20,0.869371046
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,20,30,0.869371046
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,10,20,0.867963153
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,15,20,0.864241184
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,20,45,0.863974693
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,20,25,0.863602531
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,15,45,0.86341645
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,20,30,0.863230368
