experiment,classifier,training_shape,sample_length,coverage,k,C,score,score_type
7.01,Linear SVC,"(314, 400)",100,1,1,0.01,0.32903225806451614,species_recall
7.01,Linear SVC,"(314, 400)",100,1,1,0.1,0.2903225806451613,species_recall
7.01,Linear SVC,"(314, 400)",100,1,1,1,0.27741935483870966,species_recall
7.01,Linear SVC,"(314, 400)",100,1,1,10,0.27741935483870966,species_recall
7.01,Linear SVC,"(314, 400)",100,1,1,100,0.27741935483870966,species_recall
7.01,Linear SVC,"(314, 800)",100,1,2,0.01,0.2838709677419355,species_recall
7.01,Linear SVC,"(314, 800)",100,1,2,0.1,0.23870967741935484,species_recall
7.01,Linear SVC,"(314, 800)",100,1,2,1,0.21935483870967742,species_recall
7.01,Linear SVC,"(314, 800)",100,1,2,10,0.21935483870967742,species_recall
7.01,Linear SVC,"(314, 800)",100,1,2,100,0.21935483870967742,species_recall
7.01,Linear SVC,"(314, 4893)",100,1,4,0.01,0.25161290322580643,species_recall
7.01,Linear SVC,"(314, 4893)",100,1,4,0.1,0.25806451612903225,species_recall
7.01,Linear SVC,"(314, 4893)",100,1,4,1,0.25161290322580643,species_recall
7.01,Linear SVC,"(314, 4893)",100,1,4,10,0.24516129032258063,species_recall
7.01,Linear SVC,"(314, 4893)",100,1,4,100,0.24516129032258063,species_recall
7.01,Linear SVC,"(314, 6755)",100,1,6,0.01,0.2709677419354839,species_recall
7.01,Linear SVC,"(314, 6755)",100,1,6,0.1,0.2709677419354839,species_recall
7.01,Linear SVC,"(314, 6755)",100,1,6,1,0.27741935483870966,species_recall
7.01,Linear SVC,"(314, 6755)",100,1,6,10,0.27741935483870966,species_recall
7.01,Linear SVC,"(314, 6755)",100,1,6,100,0.27741935483870966,species_recall
7.01,Linear SVC,"(314, 5558)",100,1,8,0.01,0.2645161290322581,species_recall
7.01,Linear SVC,"(314, 5558)",100,1,8,0.1,0.2709677419354839,species_recall
7.01,Linear SVC,"(314, 5558)",100,1,8,1,0.2709677419354839,species_recall
7.01,Linear SVC,"(314, 5558)",100,1,8,10,0.2709677419354839,species_recall
7.01,Linear SVC,"(314, 5558)",100,1,8,100,0.2709677419354839,species_recall
7.01,Linear SVC,"(314, 4676)",100,1,10,0.01,0.2838709677419355,species_recall
7.01,Linear SVC,"(314, 4676)",100,1,10,0.1,0.2903225806451613,species_recall
7.01,Linear SVC,"(314, 4676)",100,1,10,1,0.2903225806451613,species_recall
7.01,Linear SVC,"(314, 4676)",100,1,10,10,0.2903225806451613,species_recall
7.01,Linear SVC,"(314, 4676)",100,1,10,100,0.2903225806451613,species_recall
7.01,Linear SVC,"(314, 3743)",100,1,12,0.01,0.23870967741935484,species_recall
7.01,Linear SVC,"(314, 3743)",100,1,12,0.1,0.24516129032258063,species_recall
7.01,Linear SVC,"(314, 3743)",100,1,12,1,0.24516129032258063,species_recall
7.01,Linear SVC,"(314, 3743)",100,1,12,10,0.24516129032258063,species_recall
7.01,Linear SVC,"(314, 3743)",100,1,12,100,0.24516129032258063,species_recall
7.01,Linear SVC,"(3073, 400)",100,10,1,0.01,0.335973597359736,species_recall
7.01,Linear SVC,"(3073, 400)",100,10,1,0.1,0.31353135313531355,species_recall
7.01,Linear SVC,"(3073, 400)",100,10,1,1,0.29504950495049503,species_recall
7.01,Linear SVC,"(3073, 400)",100,10,1,10,0.2396039603960396,species_recall
7.01,Linear SVC,"(3073, 400)",100,10,1,100,0.18745874587458747,species_recall
7.01,Linear SVC,"(3073, 800)",100,10,2,0.01,0.35115511551155115,species_recall
7.01,Linear SVC,"(3073, 800)",100,10,2,0.1,0.30825082508250823,species_recall
7.01,Linear SVC,"(3073, 800)",100,10,2,1,0.27986798679867986,species_recall
7.01,Linear SVC,"(3073, 800)",100,10,2,10,0.266006600660066,species_recall
7.01,Linear SVC,"(3073, 800)",100,10,2,100,0.2594059405940594,species_recall
7.01,Linear SVC,"(3073, 6398)",100,10,4,0.01,0.3821782178217822,species_recall
7.01,Linear SVC,"(3073, 6398)",100,10,4,0.1,0.3557755775577558,species_recall
7.01,Linear SVC,"(3073, 6398)",100,10,4,1,0.34983498349834985,species_recall
7.01,Linear SVC,"(3073, 6398)",100,10,4,10,0.3452145214521452,species_recall
7.01,Linear SVC,"(3073, 6398)",100,10,4,100,0.3452145214521452,species_recall
7.01,Linear SVC,"(3073, 36886)",100,10,6,0.01,0.34917491749174917,species_recall
7.01,Linear SVC,"(3073, 36886)",100,10,6,0.1,0.33993399339933994,species_recall
7.01,Linear SVC,"(3073, 36886)",100,10,6,1,0.3346534653465347,species_recall
7.01,Linear SVC,"(3073, 36886)",100,10,6,10,0.3346534653465347,species_recall
7.01,Linear SVC,"(3073, 36886)",100,10,6,100,0.3346534653465347,species_recall
7.01,Linear SVC,"(3073, 47805)",100,10,8,0.01,0.3306930693069307,species_recall
7.01,Linear SVC,"(3073, 47805)",100,10,8,0.1,0.3372937293729373,species_recall
7.01,Linear SVC,"(3073, 47805)",100,10,8,1,0.3353135313531353,species_recall
7.01,Linear SVC,"(3073, 47805)",100,10,8,10,0.3353135313531353,species_recall
7.01,Linear SVC,"(3073, 47805)",100,10,8,100,0.3353135313531353,species_recall
7.01,Linear SVC,"(3073, 42725)",100,10,10,0.01,0.3141914191419142,species_recall
7.01,Linear SVC,"(3073, 42725)",100,10,10,0.1,0.3419141914191419,species_recall
7.01,Linear SVC,"(3073, 42725)",100,10,10,1,0.3425742574257426,species_recall
7.01,Linear SVC,"(3073, 42725)",100,10,10,10,0.3425742574257426,species_recall
7.01,Linear SVC,"(3073, 42725)",100,10,10,100,0.3419141914191419,species_recall
7.01,Linear SVC,"(3073, 34411)",100,10,12,0.01,0.2765676567656766,species_recall
7.01,Linear SVC,"(3073, 34411)",100,10,12,0.1,0.3227722772277228,species_recall
7.01,Linear SVC,"(3073, 34411)",100,10,12,1,0.3227722772277228,species_recall
7.01,Linear SVC,"(3073, 34411)",100,10,12,10,0.3227722772277228,species_recall
7.01,Linear SVC,"(3073, 34411)",100,10,12,100,0.3227722772277228,species_recall
7.01,Linear SVC,"(30676, 400)",100,100,1,0.01,0.3790205162144275,species_recall
7.01,Linear SVC,"(30676, 400)",100,100,1,0.1,0.37888815354070154,species_recall
7.01,Linear SVC,"(30676, 400)",100,100,1,1,0.37776307081403043,species_recall
7.01,Linear SVC,"(30676, 400)",100,100,1,10,0.2741892786234282,species_recall
7.01,Linear SVC,"(30676, 400)",100,100,1,100,0.27981469225678357,species_recall
7.01,Linear SVC,"(30676, 800)",100,100,2,0.01,0.4313037723362012,species_recall
7.01,Linear SVC,"(30676, 800)",100,100,2,0.1,0.4333553937789543,species_recall
7.01,Linear SVC,"(30676, 800)",100,100,2,1,0.4328921244209133,species_recall
7.01,Linear SVC,"(30676, 800)",100,100,2,10,0.39589675711449374,species_recall
7.01,Linear SVC,"(30676, 800)",100,100,2,100,0.2602250165453342,species_recall
7.01,Linear SVC,"(30676, 6400)",100,100,4,0.01,0.5729318332230311,species_recall
7.01,Linear SVC,"(30676, 6400)",100,100,4,0.1,0.6251489080079418,species_recall
7.01,Linear SVC,"(30676, 6400)",100,100,4,1,0.6409000661813369,species_recall
7.01,Linear SVC,"(30676, 6400)",100,100,4,10,0.6442091330244871,species_recall
