experiment,classifier,training_shape,sample_length,coverage,k,C,score,score_type
2.02,Linear SVC,"(314, 400)",100,1,1,0.01,0.2709677419354839,species_recall
2.02,Linear SVC,"(314, 400)",100,1,1,0.1,0.25161290322580643,species_recall
2.02,Linear SVC,"(314, 400)",100,1,1,1,0.24516129032258063,species_recall
2.02,Linear SVC,"(314, 400)",100,1,1,10,0.23225806451612904,species_recall
2.02,Linear SVC,"(314, 400)",100,1,1,100,0.22580645161290322,species_recall
2.02,Linear SVC,"(314, 800)",100,1,2,0.01,0.3161290322580645,species_recall
2.02,Linear SVC,"(314, 800)",100,1,2,0.1,0.22580645161290322,species_recall
2.02,Linear SVC,"(314, 800)",100,1,2,1,0.21935483870967742,species_recall
2.02,Linear SVC,"(314, 800)",100,1,2,10,0.21935483870967742,species_recall
2.02,Linear SVC,"(314, 800)",100,1,2,100,0.21935483870967742,species_recall
2.02,Linear SVC,"(314, 4820)",100,1,4,0.01,0.25161290322580643,species_recall
2.02,Linear SVC,"(314, 4820)",100,1,4,0.1,0.2709677419354839,species_recall
2.02,Linear SVC,"(314, 4820)",100,1,4,1,0.27741935483870966,species_recall
2.02,Linear SVC,"(314, 4820)",100,1,4,10,0.27741935483870966,species_recall
2.02,Linear SVC,"(314, 4820)",100,1,4,100,0.27741935483870966,species_recall
2.02,Linear SVC,"(314, 6499)",100,1,6,0.01,0.24516129032258063,species_recall
2.02,Linear SVC,"(314, 6499)",100,1,6,0.1,0.23225806451612904,species_recall
2.02,Linear SVC,"(314, 6499)",100,1,6,1,0.23225806451612904,species_recall
2.02,Linear SVC,"(314, 6499)",100,1,6,10,0.23225806451612904,species_recall
2.02,Linear SVC,"(314, 6499)",100,1,6,100,0.23225806451612904,species_recall
2.02,Linear SVC,"(314, 5341)",100,1,8,0.01,0.18064516129032257,species_recall
2.02,Linear SVC,"(314, 5341)",100,1,8,0.1,0.1935483870967742,species_recall
2.02,Linear SVC,"(314, 5341)",100,1,8,1,0.1935483870967742,species_recall
2.02,Linear SVC,"(314, 5341)",100,1,8,10,0.1935483870967742,species_recall
2.02,Linear SVC,"(314, 5341)",100,1,8,100,0.1935483870967742,species_recall
2.02,Linear SVC,"(314, 4476)",100,1,10,0.01,0.17419354838709677,species_recall
2.02,Linear SVC,"(314, 4476)",100,1,10,0.1,0.17419354838709677,species_recall
2.02,Linear SVC,"(314, 4476)",100,1,10,1,0.17419354838709677,species_recall
2.02,Linear SVC,"(314, 4476)",100,1,10,10,0.17419354838709677,species_recall
2.02,Linear SVC,"(314, 4476)",100,1,10,100,0.17419354838709677,species_recall
2.02,Linear SVC,"(314, 3586)",100,1,12,0.01,0.17419354838709677,species_recall
2.02,Linear SVC,"(314, 3586)",100,1,12,0.1,0.17419354838709677,species_recall
2.02,Linear SVC,"(314, 3586)",100,1,12,1,0.17419354838709677,species_recall
2.02,Linear SVC,"(314, 3586)",100,1,12,10,0.17419354838709677,species_recall
2.02,Linear SVC,"(314, 3586)",100,1,12,100,0.17419354838709677,species_recall
2.02,Linear SVC,"(3073, 400)",100,10,1,0.01,0.33795379537953796,species_recall
2.02,Linear SVC,"(3073, 400)",100,10,1,0.1,0.3102310231023102,species_recall
2.02,Linear SVC,"(3073, 400)",100,10,1,1,0.29174917491749175,species_recall
2.02,Linear SVC,"(3073, 400)",100,10,1,10,0.2745874587458746,species_recall
2.02,Linear SVC,"(3073, 400)",100,10,1,100,0.19801980198019803,species_recall
2.02,Linear SVC,"(3073, 800)",100,10,2,0.01,0.36105610561056106,species_recall
2.02,Linear SVC,"(3073, 800)",100,10,2,0.1,0.3102310231023102,species_recall
2.02,Linear SVC,"(3073, 800)",100,10,2,1,0.2778877887788779,species_recall
2.02,Linear SVC,"(3073, 800)",100,10,2,10,0.2706270627062706,species_recall
2.02,Linear SVC,"(3073, 800)",100,10,2,100,0.25742574257425743,species_recall
2.02,Linear SVC,"(3073, 6399)",100,10,4,0.01,0.4046204620462046,species_recall
2.02,Linear SVC,"(3073, 6399)",100,10,4,0.1,0.3834983498349835,species_recall
2.02,Linear SVC,"(3073, 6399)",100,10,4,1,0.3722772277227723,species_recall
2.02,Linear SVC,"(3073, 6399)",100,10,4,10,0.36633663366336633,species_recall
2.02,Linear SVC,"(3073, 6399)",100,10,4,100,0.36567656765676565,species_recall
2.02,Linear SVC,"(3073, 35739)",100,10,6,0.01,0.3485148514851485,species_recall
2.02,Linear SVC,"(3073, 35739)",100,10,6,0.1,0.33927392739273926,species_recall
2.02,Linear SVC,"(3073, 35739)",100,10,6,1,0.333993399339934,species_recall
2.02,Linear SVC,"(3073, 35739)",100,10,6,10,0.33003300330033003,species_recall
2.02,Linear SVC,"(3073, 35739)",100,10,6,100,0.33003300330033003,species_recall
2.02,Linear SVC,"(3073, 46025)",100,10,8,0.01,0.3333333333333333,species_recall
2.02,Linear SVC,"(3073, 46025)",100,10,8,0.1,0.3346534653465347,species_recall
2.02,Linear SVC,"(3073, 46025)",100,10,8,1,0.3333333333333333,species_recall
2.02,Linear SVC,"(3073, 46025)",100,10,8,10,0.3326732673267327,species_recall
2.02,Linear SVC,"(3073, 46025)",100,10,8,100,0.3333333333333333,species_recall
2.02,Linear SVC,"(3073, 40967)",100,10,10,0.01,0.31617161716171616,species_recall
2.02,Linear SVC,"(3073, 40967)",100,10,10,0.1,0.335973597359736,species_recall
2.02,Linear SVC,"(3073, 40967)",100,10,10,1,0.3372937293729373,species_recall
2.02,Linear SVC,"(3073, 40967)",100,10,10,10,0.3372937293729373,species_recall
2.02,Linear SVC,"(3073, 40967)",100,10,10,100,0.3372937293729373,species_recall
2.02,Linear SVC,"(3073, 33010)",100,10,12,0.01,0.2983498349834984,species_recall
2.02,Linear SVC,"(3073, 33010)",100,10,12,0.1,0.333993399339934,species_recall
2.02,Linear SVC,"(3073, 33010)",100,10,12,1,0.333993399339934,species_recall
2.02,Linear SVC,"(3073, 33010)",100,10,12,10,0.333993399339934,species_recall
2.02,Linear SVC,"(3073, 33010)",100,10,12,100,0.333993399339934,species_recall
2.02,Linear SVC,"(30676, 400)",100,100,1,0.01,0.38193249503639976,species_recall
2.02,Linear SVC,"(30676, 400)",100,100,1,0.1,0.38180013236267374,species_recall
2.02,Linear SVC,"(30676, 400)",100,100,1,1,0.3816015883520847,species_recall
2.02,Linear SVC,"(30676, 400)",100,100,1,10,0.314626075446724,species_recall
2.02,Linear SVC,"(30676, 400)",100,100,1,100,0.28371939113170086,species_recall
2.02,Linear SVC,"(30676, 800)",100,100,2,0.01,0.42064857710125747,species_recall
2.02,Linear SVC,"(30676, 800)",100,100,2,0.1,0.42064857710125747,species_recall
2.02,Linear SVC,"(30676, 800)",100,100,2,1,0.41952349437458636,species_recall
2.02,Linear SVC,"(30676, 800)",100,100,2,10,0.39338186631369954,species_recall
2.02,Linear SVC,"(30676, 800)",100,100,2,100,0.3015221707478491,species_recall
2.02,Linear SVC,"(30676, 6400)",100,100,4,0.01,0.5598279285241562,species_recall
2.02,Linear SVC,"(30676, 6400)",100,100,4,0.1,0.6150231634679021,species_recall
2.02,Linear SVC,"(30676, 6400)",100,100,4,1,0.627796161482462,species_recall
2.02,Linear SVC,"(30676, 6400)",100,100,4,10,0.628391793514229,species_recall
2.02,Linear SVC,"(30676, 6400)",100,100,4,100,0.6224354731965586,species_recall
2.02,Linear SVC,"(30676, 63114)",100,100,6,0.01,0.6318332230311052,species_recall
2.02,Linear SVC,"(30676, 63114)",100,100,6,0.1,0.6677696889477167,species_recall
2.02,Linear SVC,"(30676, 63114)",100,100,6,1,0.6636002647253475,species_recall
2.02,Linear SVC,"(30676, 63114)",100,100,6,10,0.6600926538716082,species_recall
2.02,Linear SVC,"(30676, 63114)",100,100,6,100,0.6656518861681006,species_recall
2.02,Linear SVC,"(30676, 219526)",100,100,8,0.01,0.6129715420251489,species_recall
2.02,Linear SVC,"(30676, 219526)",100,100,8,0.1,0.6508934480476506,species_recall
2.02,Linear SVC,"(30676, 219526)",100,100,8,1,0.6524156187954997,species_recall
2.02,Linear SVC,"(30676, 219526)",100,100,8,10,0.6512905360688286,species_recall
2.02,Linear SVC,"(30676, 219526)",100,100,8,100,0.6528788881535407,species_recall
2.02,Linear SVC,"(30676, 248138)",100,100,10,0.01,0.5171409662475182,species_recall
2.02,Linear SVC,"(30676, 248138)",100,100,10,0.1,0.6491065519523495,species_recall
2.02,Linear SVC,"(30676, 248138)",100,100,10,1,0.6519523494374586,species_recall
2.02,Linear SVC,"(30676, 248138)",100,100,10,10,0.6519523494374586,species_recall
2.02,Linear SVC,"(30676, 248138)",100,100,10,100,0.6539377895433488,species_recall
2.02,Linear SVC,"(30676, 206319)",100,100,12,0.01,0.4786896095301125,species_recall
2.02,Linear SVC,"(30676, 206319)",100,100,12,0.1,0.6498345466578425,species_recall
2.02,Linear SVC,"(30676, 206319)",100,100,12,1,0.6518861681005956,species_recall
2.02,Linear SVC,"(30676, 206319)",100,100,12,10,0.6518199867637327,species_recall
2.02,Linear SVC,"(30676, 206319)",100,100,12,100,0.6537392455327597,species_recall
2.02,Linear SVC,"(61353, 400)",100,200,1,0.01,0.3828717032330653,species_recall
2.02,Linear SVC,"(61353, 400)",100,200,1,0.1,0.38283861146960524,species_recall
2.02,Linear SVC,"(61353, 400)",100,200,1,1,0.3824746020715444,species_recall
2.02,Linear SVC,"(61353, 400)",100,200,1,10,0.31854131506667993,species_recall
2.02,Linear SVC,"(61353, 400)",100,200,1,100,0.2608954631192296,species_recall
2.02,Linear SVC,"(61353, 800)",100,200,2,0.01,0.4269499321618849,species_recall
2.02,Linear SVC,"(61353, 800)",100,200,2,0.1,0.42777722624838677,species_recall
2.02,Linear SVC,"(61353, 800)",100,200,2,1,0.4280419603560674,species_recall
2.02,Linear SVC,"(61353, 800)",100,200,2,10,0.38803401833283696,species_recall
2.02,Linear SVC,"(61353, 800)",100,200,2,100,0.31089711770740264,species_recall
2.02,Linear SVC,"(61353, 6400)",100,200,4,0.01,0.611469605215262,species_recall
2.02,Linear SVC,"(61353, 6400)",100,200,4,0.1,0.6787120685661339,species_recall
2.02,Linear SVC,"(61353, 6400)",100,200,4,1,0.7202091399450676,species_recall
2.02,Linear SVC,"(61353, 6400)",100,200,4,10,0.7343062311790596,species_recall
2.02,Linear SVC,"(61353, 6400)",100,200,4,100,0.7091564909494027,species_recall
2.02,Linear SVC,"(61353, 64286)",100,200,6,0.01,0.7477414871438499,species_recall
2.02,Linear SVC,"(61353, 64286)",100,200,6,0.1,0.8147853999139614,species_recall
2.02,Linear SVC,"(61353, 64286)",100,200,6,1,0.8139911975909196,species_recall
2.02,Linear SVC,"(61353, 64286)",100,200,6,10,0.8132631787947979,species_recall
2.02,Linear SVC,"(61353, 64286)",100,200,6,100,0.8177636586253682,species_recall
2.02,Linear SVC,"(61353, 270019)",100,200,8,0.01,0.7576359244184122,species_recall
2.02,Linear SVC,"(61353, 270019)",100,200,8,0.1,0.8072735696085245,species_recall
2.02,Linear SVC,"(61353, 270019)",100,200,8,1,0.8102187365564711,species_recall
2.02,Linear SVC,"(61353, 270019)",100,200,8,10,0.8095569012872696,species_recall
2.02,Linear SVC,"(61353, 270019)",100,200,8,100,0.8130977199774976,species_recall
2.02,Linear SVC,"(61353, 327905)",100,200,10,0.01,0.6775538568450312,species_recall
2.02,Linear SVC,"(61353, 327905)",100,200,10,0.1,0.8055858896720606,species_recall
2.02,Linear SVC,"(61353, 327905)",100,200,10,1,0.8105496541910718,species_recall
2.02,Linear SVC,"(61353, 327905)",100,200,10,10,0.8102849200833913,species_recall
2.02,Linear SVC,"(61353, 327905)",100,200,10,100,0.8136602799563188,species_recall
2.02,Linear SVC,"(61353, 275703)",100,200,12,0.01,0.6438664416426751,species_recall
2.02,Linear SVC,"(61353, 275703)",100,200,12,0.1,0.8053542473278401,species_recall
2.02,Linear SVC,"(61353, 275703)",100,200,12,1,0.8084648730930871,species_recall
2.02,Linear SVC,"(61353, 275703)",100,200,12,10,0.8086634236738476,species_recall
2.02,Linear SVC,"(61353, 275703)",100,200,12,100,0.8111122141698931,species_recall
2.02,Linear SVC,"(122706, 400)",100,400,1,0.01,0.3865779807405937,species_recall
2.02,Linear SVC,"(122706, 400)",100,400,1,0.1,0.38652834309540357,species_recall
2.02,Linear SVC,"(122706, 400)",100,400,1,1,0.38710744895595484,species_recall
2.02,Linear SVC,"(122706, 400)",100,400,1,10,0.32175121612230717,species_recall
2.02,Linear SVC,"(122706, 400)",100,400,1,100,0.241156226215295,species_recall
2.02,Linear SVC,"(122706, 800)",100,400,2,0.01,0.43063966378768326,species_recall
2.02,Linear SVC,"(122706, 800)",100,400,2,0.1,0.43060657202422314,species_recall
2.02,Linear SVC,"(122706, 800)",100,400,2,1,0.43077203084152355,species_recall
2.02,Linear SVC,"(122706, 800)",100,400,2,10,0.3999470531784639,species_recall
2.02,Linear SVC,"(122706, 800)",100,400,2,100,0.3381150931533141,species_recall
2.02,Linear SVC,"(122706, 6400)",100,400,4,0.01,0.6542738012508686,species_recall
2.02,Linear SVC,"(122706, 6400)",100,400,4,0.1,0.7247592574208279,species_recall
2.02,Linear SVC,"(122706, 6400)",100,400,4,1,0.7612263807538304,species_recall
2.02,Linear SVC,"(122706, 6400)",100,400,4,10,0.7766305966444952,species_recall
2.02,Linear SVC,"(122706, 6400)",100,400,4,100,0.7342731394155995,species_recall
2.02,Linear SVC,"(122706, 64570)",100,400,6,0.01,0.8563155630563553,species_recall
2.02,Linear SVC,"(122706, 64570)",100,400,6,0.1,0.9172374995863529,species_recall
2.02,Linear SVC,"(122706, 64570)",100,400,6,1,0.9189251795228168,species_recall
2.02,Linear SVC,"(122706, 64570)",100,400,6,10,0.9186769912968662,species_recall
2.02,Linear SVC,"(122706, 64570)",100,400,6,100,0.9235745722889572,species_recall
2.02,Linear SVC,"(122706, 293319)",100,400,8,0.01,0.8803070915649095,species_recall
2.02,Linear SVC,"(122706, 293319)",100,400,8,0.1,0.9158807372844899,species_recall
2.02,Linear SVC,"(122706, 293319)",100,400,8,1,0.9174856878123036,species_recall
2.02,Linear SVC,"(122706, 293319)",100,400,8,10,0.9175353254574936,species_recall
2.02,Linear SVC,"(122706, 293319)",100,400,8,100,0.9221681723419041,species_recall
2.02,Linear SVC,"(122706, 368355)",100,400,10,0.01,0.8533869419901386,species_recall
2.02,Linear SVC,"(122706, 368355)",100,400,10,0.1,0.9156987325854595,species_recall
2.02,Linear SVC,"(122706, 368355)",100,400,10,1,0.9178827889738245,species_recall
2.02,Linear SVC,"(122706, 368355)",100,400,10,10,0.9178662430920944,species_recall
2.02,Linear SVC,"(122706, 368355)",100,400,10,100,0.9217214335351931,species_recall
2.02,Linear SVC,"(122706, 311401)",100,400,12,0.01,0.8368079684966412,species_recall
2.02,Linear SVC,"(122706, 311401)",100,400,12,0.1,0.9157483702306496,species_recall
2.02,Linear SVC,"(122706, 311401)",100,400,12,1,0.9174525960488434,species_recall
2.02,Linear SVC,"(122706, 311401)",100,400,12,10,0.9174525960488434,species_recall
2.02,Linear SVC,"(122706, 311401)",100,400,12,100,0.9218703464707634,species_recall
2.02,Linear SVC,"(160, 800)",200,1,1,0.01,0.2625,species_recall
2.02,Linear SVC,"(160, 800)",200,1,1,0.1,0.275,species_recall
2.02,Linear SVC,"(160, 800)",200,1,1,1,0.275,species_recall
2.02,Linear SVC,"(160, 800)",200,1,1,10,0.275,species_recall
2.02,Linear SVC,"(160, 800)",200,1,1,100,0.275,species_recall
2.02,Linear SVC,"(160, 1600)",200,1,2,0.01,0.35,species_recall
2.02,Linear SVC,"(160, 1600)",200,1,2,0.1,0.3625,species_recall
2.02,Linear SVC,"(160, 1600)",200,1,2,1,0.3625,species_recall
2.02,Linear SVC,"(160, 1600)",200,1,2,10,0.3625,species_recall
2.02,Linear SVC,"(160, 1600)",200,1,2,100,0.3625,species_recall
2.02,Linear SVC,"(160, 6879)",200,1,4,0.01,0.25,species_recall
2.02,Linear SVC,"(160, 6879)",200,1,4,0.1,0.3,species_recall
2.02,Linear SVC,"(160, 6879)",200,1,4,1,0.3,species_recall
2.02,Linear SVC,"(160, 6879)",200,1,4,10,0.3,species_recall
2.02,Linear SVC,"(160, 6879)",200,1,4,100,0.3,species_recall
2.02,Linear SVC,"(160, 7152)",200,1,6,0.01,0.2125,species_recall
2.02,Linear SVC,"(160, 7152)",200,1,6,0.1,0.225,species_recall
2.02,Linear SVC,"(160, 7152)",200,1,6,1,0.225,species_recall
2.02,Linear SVC,"(160, 7152)",200,1,6,10,0.225,species_recall
2.02,Linear SVC,"(160, 7152)",200,1,6,100,0.225,species_recall
2.02,Linear SVC,"(160, 5698)",200,1,8,0.01,0.2125,species_recall
2.02,Linear SVC,"(160, 5698)",200,1,8,0.1,0.2125,species_recall
2.02,Linear SVC,"(160, 5698)",200,1,8,1,0.2125,species_recall
2.02,Linear SVC,"(160, 5698)",200,1,8,10,0.2125,species_recall
2.02,Linear SVC,"(160, 5698)",200,1,8,100,0.2125,species_recall
2.02,Linear SVC,"(160, 4576)",200,1,10,0.01,0.2125,species_recall
2.02,Linear SVC,"(160, 4576)",200,1,10,0.1,0.2125,species_recall
2.02,Linear SVC,"(160, 4576)",200,1,10,1,0.2125,species_recall
2.02,Linear SVC,"(160, 4576)",200,1,10,10,0.2125,species_recall
2.02,Linear SVC,"(160, 4576)",200,1,10,100,0.2125,species_recall
2.02,Linear SVC,"(160, 3664)",200,1,12,0.01,0.2125,species_recall
2.02,Linear SVC,"(160, 3664)",200,1,12,0.1,0.2125,species_recall
2.02,Linear SVC,"(160, 3664)",200,1,12,1,0.2125,species_recall
2.02,Linear SVC,"(160, 3664)",200,1,12,10,0.2125,species_recall
2.02,Linear SVC,"(160, 3664)",200,1,12,100,0.2125,species_recall
2.02,Linear SVC,"(1541, 800)",200,10,1,0.01,0.2938076416337286,species_recall
2.02,Linear SVC,"(1541, 800)",200,10,1,0.1,0.2463768115942029,species_recall
2.02,Linear SVC,"(1541, 800)",200,10,1,1,0.20421607378129117,species_recall
2.02,Linear SVC,"(1541, 800)",200,10,1,10,0.21080368906455862,species_recall
2.02,Linear SVC,"(1541, 800)",200,10,1,100,0.21080368906455862,species_recall
2.02,Linear SVC,"(1541, 1600)",200,10,2,0.01,0.37812911725955206,species_recall
2.02,Linear SVC,"(1541, 1600)",200,10,2,0.1,0.3346508563899868,species_recall
2.02,Linear SVC,"(1541, 1600)",200,10,2,1,0.31357048748353095,species_recall
2.02,Linear SVC,"(1541, 1600)",200,10,2,10,0.310935441370224,species_recall
2.02,Linear SVC,"(1541, 1600)",200,10,2,100,0.3096179183135705,species_recall
2.02,Linear SVC,"(1541, 12719)",200,10,4,0.01,0.3939393939393939,species_recall
2.02,Linear SVC,"(1541, 12719)",200,10,4,0.1,0.3794466403162055,species_recall
2.02,Linear SVC,"(1541, 12719)",200,10,4,1,0.3583662714097497,species_recall
2.02,Linear SVC,"(1541, 12719)",200,10,4,10,0.34914361001317523,species_recall
2.02,Linear SVC,"(1541, 12719)",200,10,4,100,0.3465085638998682,species_recall
2.02,Linear SVC,"(1541, 48664)",200,10,6,0.01,0.3372859025032938,species_recall
2.02,Linear SVC,"(1541, 48664)",200,10,6,0.1,0.3425559947299078,species_recall
2.02,Linear SVC,"(1541, 48664)",200,10,6,1,0.3425559947299078,species_recall
2.02,Linear SVC,"(1541, 48664)",200,10,6,10,0.33992094861660077,species_recall
2.02,Linear SVC,"(1541, 48664)",200,10,6,100,0.3412384716732543,species_recall
2.02,Linear SVC,"(1541, 51448)",200,10,8,0.01,0.3096179183135705,species_recall
2.02,Linear SVC,"(1541, 51448)",200,10,8,0.1,0.3227931488801054,species_recall
2.02,Linear SVC,"(1541, 51448)",200,10,8,1,0.3201581027667984,species_recall
2.02,Linear SVC,"(1541, 51448)",200,10,8,10,0.3188405797101449,species_recall
2.02,Linear SVC,"(1541, 51448)",200,10,8,100,0.31752305665349145,species_recall
2.02,Linear SVC,"(1541, 42734)",200,10,10,0.01,0.308300395256917,species_recall
2.02,Linear SVC,"(1541, 42734)",200,10,10,0.1,0.3188405797101449,species_recall
2.02,Linear SVC,"(1541, 42734)",200,10,10,1,0.3227931488801054,species_recall
2.02,Linear SVC,"(1541, 42734)",200,10,10,10,0.3227931488801054,species_recall
2.02,Linear SVC,"(1541, 42734)",200,10,10,100,0.3227931488801054,species_recall
2.02,Linear SVC,"(1541, 34316)",200,10,12,0.01,0.3069828722002635,species_recall
2.02,Linear SVC,"(1541, 34316)",200,10,12,0.1,0.31357048748353095,species_recall
2.02,Linear SVC,"(1541, 34316)",200,10,12,1,0.31488801054018445,species_recall
2.02,Linear SVC,"(1541, 34316)",200,10,12,10,0.31488801054018445,species_recall
2.02,Linear SVC,"(1541, 34316)",200,10,12,100,0.31488801054018445,species_recall
