experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,solver,score,score type
17.03,multiclass,Logistic Regression (sklearn),"(314, 400)",100,1,1,l2,auto,balanced,lbfgs,0.2838709677419355,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(314, 800)",100,1,2,l2,auto,balanced,lbfgs,0.27741935483870966,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(314, 4925)",100,1,4,l2,auto,balanced,lbfgs,0.2967741935483871,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(314, 6656)",100,1,6,l2,auto,balanced,lbfgs,0.3096774193548387,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(314, 5463)",100,1,8,l2,auto,balanced,lbfgs,0.24516129032258063,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(314, 4608)",100,1,10,l2,auto,balanced,lbfgs,0.3161290322580645,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(314, 3688)",100,1,12,l2,auto,balanced,lbfgs,0.3161290322580645,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(3073, 400)",100,10,1,l2,auto,balanced,lbfgs,0.2448844884488449,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(3073, 800)",100,10,2,l2,auto,balanced,lbfgs,0.2957095709570957,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(3073, 6400)",100,10,4,l2,auto,balanced,lbfgs,0.3782178217821782,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(3073, 37081)",100,10,6,l2,auto,balanced,lbfgs,0.32739273927392737,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(3073, 47881)",100,10,8,l2,auto,balanced,lbfgs,0.3254125412541254,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(3073, 42748)",100,10,10,l2,auto,balanced,lbfgs,0.3458745874587459,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(3073, 34409)",100,10,12,l2,auto,balanced,lbfgs,0.3254125412541254,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 400)",100,100,1,l2,auto,balanced,lbfgs,0.2874255459960291,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 800)",100,100,2,l2,auto,balanced,lbfgs,0.3368630046326936,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 6400)",100,100,4,l2,auto,balanced,lbfgs,0.6258107213765718,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 63285)",100,100,6,l2,auto,balanced,lbfgs,0.6867637326273991,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 224441)",100,100,8,l2,auto,balanced,lbfgs,0.670350761085374,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 255398)",100,100,10,l2,auto,balanced,lbfgs,0.6622104566512244,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 212373)",100,100,12,l2,auto,balanced,lbfgs,0.6603573792190602,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(61353, 400)",100,200,1,l2,auto,balanced,lbfgs,0.29445051126774546,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(61353, 800)",100,200,2,l2,auto,balanced,lbfgs,0.35325457493629836,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(61353, 6400)",100,200,4,l2,auto,balanced,lbfgs,0.7089910321321024,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(61353, 64329)",100,200,6,l2,auto,balanced,lbfgs,0.8315298322247593,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(61353, 273327)",100,200,8,l2,auto,balanced,lbfgs,0.8214368443694364,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(61353, 333563)",100,200,10,l2,auto,balanced,lbfgs,0.8237532678116417,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(61353, 280490)",100,200,12,l2,auto,balanced,lbfgs,0.8175320162811476,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(122706, 400)",100,400,1,l2,auto,balanced,lbfgs,0.2947814289023462,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(122706, 800)",100,400,2,l2,auto,balanced,lbfgs,0.36094840994076577,species_recall
