experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score,score type
11.04,multiclass,Random Forest,"(314, 400)",100,1,1,30,50,0.3096774193548387,species_recall
11.04,multiclass,Random Forest,"(314, 800)",100,1,2,30,50,0.25806451612903225,species_recall
11.04,multiclass,Random Forest,"(314, 4956)",100,1,4,30,50,0.23870967741935484,species_recall
11.04,multiclass,Random Forest,"(314, 6753)",100,1,6,30,50,0.3032258064516129,species_recall
11.04,multiclass,Random Forest,"(314, 5548)",100,1,8,30,50,0.25161290322580643,species_recall
11.04,multiclass,Random Forest,"(314, 4665)",100,1,10,30,50,0.3032258064516129,species_recall
11.04,multiclass,Random Forest,"(314, 3736)",100,1,12,30,50,0.25161290322580643,species_recall
11.04,multiclass,Random Forest,"(3073, 400)",100,10,1,30,50,0.33663366336633666,species_recall
11.04,multiclass,Random Forest,"(3073, 800)",100,10,2,30,50,0.36303630363036304,species_recall
11.04,multiclass,Random Forest,"(3073, 6397)",100,10,4,30,50,0.32475247524752476,species_recall
11.04,multiclass,Random Forest,"(3073, 36979)",100,10,6,30,50,0.25874587458745874,species_recall
11.04,multiclass,Random Forest,"(3073, 48333)",100,10,8,30,50,0.2745874587458746,species_recall
11.04,multiclass,Random Forest,"(3073, 43122)",100,10,10,30,50,0.25676567656765675,species_recall
11.04,multiclass,Random Forest,"(3073, 34740)",100,10,12,30,50,0.2646864686468647,species_recall
11.04,multiclass,Random Forest,"(30676, 400)",100,100,1,30,50,0.658041032428855,species_recall
11.04,multiclass,Random Forest,"(30676, 800)",100,100,2,30,50,0.6654533421575116,species_recall
11.04,multiclass,Random Forest,"(30676, 6400)",100,100,4,30,50,0.3441429516876241,species_recall
11.04,multiclass,Random Forest,"(30676, 63355)",100,100,6,30,50,0.27048312375909994,species_recall
11.04,multiclass,Random Forest,"(30676, 225738)",100,100,8,30,50,0.2671740569159497,species_recall
11.04,multiclass,Random Forest,"(30676, 256998)",100,100,10,30,50,0.2608868299139643,species_recall
11.04,multiclass,Random Forest,"(30676, 213768)",100,100,12,30,50,0.2644606221045665,species_recall
