experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,penalty,l2_lambda,max_iter,score,score type
12.02,multiclass,Logistic Regression,"(1425, 400)",100,1,1,0.04,0.01,,0,100,0.19772404,species_recall
12.02,multiclass,Logistic Regression,"(1425, 800)",100,1,2,0.04,0.01,,0,100,0.293029872,species_recall
12.02,multiclass,Logistic Regression,"(1425, 6376)",100,1,4,0.04,0.01,,0,100,0.300142248,species_recall
12.02,multiclass,Logistic Regression,"(1425, 23815)",100,1,6,0.04,0.01,,0,100,0.260312945,species_recall
12.02,multiclass,Logistic Regression,"(14070, 400)",100,10,1,0.04,0.01,,0,100,0.236796537,species_recall
12.02,multiclass,Logistic Regression,"(14070, 800)",100,10,2,0.04,0.01,,0,100,0.234487734,species_recall
12.02,multiclass,Logistic Regression,"(14070, 6400)",100,10,4,0.04,0.01,,0,100,0.383261183,species_recall
12.02,multiclass,Logistic Regression,"(140485, 400)",100,100,1,0.1,0.01,,0,100,0.231765301,species_recall
12.02,multiclass,Logistic Regression,"(140485, 800)",100,100,2,0.1,0.01,,0,100,0.23092709,species_recall
12.02,multiclass,Logistic Regression,"(140485, 6400)",100,100,4,0.1,0.01,,0,100,0.229915456,species_recall
12.01,multiclass,Logistic Regression,"(726, 800)",200,1,1,0.04,0.01,,0,100,0.326815642,species_recall
12.01,multiclass,Logistic Regression,"(726, 1600)",200,1,2,0.04,0.01,,0,100,0.324022346,species_recall
12.01,multiclass,Logistic Regression,"(726, 12331)",200,1,4,0.04,0.01,,0,100,0.340782123,species_recall
12.01,multiclass,Logistic Regression,"(726, 28756)",200,1,6,0.04,0.01,,0,100,0.273743017,species_recall
12.01,multiclass,Logistic Regression,"(7043, 800)",200,10,1,0.04,0.01,,0,100,0.23573487,species_recall
12.01,multiclass,Logistic Regression,"(7043, 1600)",200,10,2,0.04,0.01,,0,100,0.228818444,species_recall
12.01,multiclass,Logistic Regression,"(7043, 12800)",200,10,4,0.04,0.01,,0,100,0.391066282,species_recall
12.01,multiclass,Logistic Regression,"(7043, 114383)",200,10,6,0.04,0.01,,0,100,0.32074928,species_recall
12.01,multiclass,Logistic Regression,"(70255, 800)",200,100,1,0.04,0.01,,0,100,0.231562825,species_recall
12.01,multiclass,Logistic Regression,"(70255, 1600)",200,100,2,0.04,0.01,,0,100,0.232285285,species_recall
12.01,multiclass,Logistic Regression,"(70255, 12800)",200,100,4,0.04,0.01,,0,100,0.23003121,species_recall
