experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score,score type
8.01,multiclass,Random Forest,"(312, 400)",100,0.1,1,,100,0.2129032258064516,species_recall
8.01,multiclass,Random Forest,"(312, 800)",100,0.1,2,,100,0.23225806451612904,species_recall
8.01,multiclass,Random Forest,"(312, 5031)",100,0.1,4,,100,0.17419354838709677,species_recall
8.01,multiclass,Random Forest,"(312, 6612)",100,0.1,6,,100,0.18064516129032257,species_recall
8.01,multiclass,Random Forest,"(312, 5299)",100,0.1,8,,100,0.18064516129032257,species_recall
8.01,multiclass,Random Forest,"(312, 4444)",100,0.1,10,,100,0.18064516129032257,species_recall
8.01,multiclass,Random Forest,"(312, 3555)",100,0.1,12,,100,0.18064516129032257,species_recall
8.01,multiclass,Random Forest,"(2793, 400)",100,1,1,,100,0.27180232558139533,species_recall
8.01,multiclass,Random Forest,"(2793, 800)",100,1,2,,100,0.25944767441860467,species_recall
8.01,multiclass,Random Forest,"(2793, 6400)",100,1,4,,100,0.26671511627906974,species_recall
8.01,multiclass,Random Forest,"(2793, 37221)",100,1,6,,100,0.16497093023255813,species_recall
8.01,multiclass,Random Forest,"(2793, 45226)",100,1,8,,100,0.15770348837209303,species_recall
8.01,multiclass,Random Forest,"(2793, 39585)",100,1,10,,100,0.1569767441860465,species_recall
8.01,multiclass,Random Forest,"(2793, 31786)",100,1,12,,100,0.1569767441860465,species_recall
8.01,multiclass,Random Forest,"(27638, 400)",100,10,1,,100,0.33935654473336274,species_recall
8.01,multiclass,Random Forest,"(27638, 800)",100,10,2,,100,0.3422212428382547,species_recall
8.01,multiclass,Random Forest,"(27638, 6400)",100,10,4,,100,0.335243132069928,species_recall
8.01,multiclass,Random Forest,"(27638, 65241)",100,10,6,,100,0.3141618921698252,species_recall
8.01,multiclass,Random Forest,"(27638, 300490)",100,10,8,,100,0.24812692816218598,species_recall
8.01,multiclass,Random Forest,"(27638, 350891)",100,10,10,,100,0.23747612751579256,species_recall
8.01,multiclass,Random Forest,"(27638, 291215)",100,10,12,,100,0.23725576612310856,species_recall
8.01,multiclass,Random Forest,"(276108, 400)",100,100,1,,100,0.6892951159609982,species_recall
8.01,multiclass,Random Forest,"(276108, 800)",100,100,2,,100,0.6903907525332,species_recall
8.01,multiclass,Random Forest,"(276108, 6400)",100,100,4,,100,0.6878465226407048,species_recall
