experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score,score type
1.01,multiclass,Random Forest,(undefined),100,10,1,18,180,0.477777778,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,1,10,60,0.466666667,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,1,14,60,0.466666667,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,1,18,60,0.466666667,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,3,14,60,0.466666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,6,100,0.466666667,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,10,180,0.455555556,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,10,140,0.451851852,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,18,140,0.444444444,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,6,180,0.42962963,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,14,140,0.425925926,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,10,60,0.422222222,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,14,180,0.422222222,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,18,100,0.418518519,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,1,10,60,0.411764706,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,10,100,0.411111111,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,1,6,140,0.4,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,1,10,140,0.4,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,1,10,180,0.4,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,1,14,140,0.4,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,1,14,180,0.4,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,1,18,140,0.4,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,1,18,180,0.4,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,3,14,180,0.4,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,3,18,60,0.4,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,3,18,180,0.4,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,10,60,0.4,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,14,60,0.4,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,18,60,0.4,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,6,140,0.388888889,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,14,100,0.385185185,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,14,20,0.385185185,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,1,6,100,0.382352941,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,1,10,180,0.382352941,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,18,60,0.381481481,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,3,10,140,0.381481481,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,3,18,60,0.379310345,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,6,100,0.377777778,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,3,18,100,0.377777778,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,14,60,0.377777778,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,18,100,0.377777778,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,3,10,100,0.374074074,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,14,60,0.37037037,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,14,100,0.37037037,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,6,60,0.366666667,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,3,10,180,0.366666667,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,3,14,140,0.362962963,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,14,140,0.362962963,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,18,60,0.362962963,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,18,20,0.362962963,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,6,20,0.362962963,accuracy
