experiment,category,classifier,sample_length,coverage,k,max_depth,n_estimators,score
1.01,multiclass,Random Forest,100,10,1,18,180,0.477777778
1.01,multiclass,Random Forest,200,1,1,10,60,0.466666667
1.01,multiclass,Random Forest,200,1,1,14,60,0.466666667
1.01,multiclass,Random Forest,200,1,1,18,60,0.466666667
1.01,multiclass,Random Forest,200,1,3,14,60,0.466666667
1.01,multiclass,Random Forest,400,2,1,6,100,0.466666667
1.01,multiclass,Random Forest,100,10,1,10,180,0.455555556
1.01,multiclass,Random Forest,100,10,1,10,140,0.451851852
1.01,multiclass,Random Forest,100,10,1,18,140,0.444444444
1.01,multiclass,Random Forest,100,10,1,6,180,0.42962963
1.01,multiclass,Random Forest,100,10,1,14,140,0.425925926
1.01,multiclass,Random Forest,100,10,1,10,60,0.422222222
1.01,multiclass,Random Forest,100,10,1,14,180,0.422222222
1.01,multiclass,Random Forest,100,10,1,18,100,0.418518519
1.01,multiclass,Random Forest,400,10,1,10,60,0.411764706
1.01,multiclass,Random Forest,100,10,1,10,100,0.411111111
1.01,multiclass,Random Forest,200,1,1,6,140,0.4
1.01,multiclass,Random Forest,200,1,1,10,140,0.4
1.01,multiclass,Random Forest,200,1,1,10,180,0.4
1.01,multiclass,Random Forest,200,1,1,14,140,0.4
1.01,multiclass,Random Forest,200,1,1,14,180,0.4
1.01,multiclass,Random Forest,200,1,1,18,140,0.4
1.01,multiclass,Random Forest,200,1,1,18,180,0.4
1.01,multiclass,Random Forest,200,1,3,14,180,0.4
1.01,multiclass,Random Forest,200,1,3,18,60,0.4
1.01,multiclass,Random Forest,200,1,3,18,180,0.4
1.01,multiclass,Random Forest,400,2,1,10,60,0.4
1.01,multiclass,Random Forest,400,2,1,14,60,0.4
1.01,multiclass,Random Forest,400,2,1,18,60,0.4
1.01,multiclass,Random Forest,100,10,1,6,140,0.388888889
1.01,multiclass,Random Forest,100,10,1,14,100,0.385185185
1.01,multiclass,Random Forest,200,10,1,14,20,0.385185185
1.01,multiclass,Random Forest,400,10,1,6,100,0.382352941
1.01,multiclass,Random Forest,400,10,1,10,180,0.382352941
1.01,multiclass,Random Forest,100,10,1,18,60,0.381481481
1.01,multiclass,Random Forest,100,10,3,10,140,0.381481481
1.01,multiclass,Random Forest,100,1,3,18,60,0.379310345
1.01,multiclass,Random Forest,100,10,1,6,100,0.377777778
1.01,multiclass,Random Forest,100,10,3,18,100,0.377777778
1.01,multiclass,Random Forest,200,10,1,14,60,0.377777778
1.01,multiclass,Random Forest,200,10,1,18,100,0.377777778
1.01,multiclass,Random Forest,100,10,3,10,100,0.374074074
1.01,multiclass,Random Forest,100,10,1,14,60,0.37037037
1.01,multiclass,Random Forest,200,10,1,14,100,0.37037037
1.01,multiclass,Random Forest,100,10,1,6,60,0.366666667
1.01,multiclass,Random Forest,100,10,3,10,180,0.366666667
1.01,multiclass,Random Forest,100,10,1,6,20,0.362962963
1.01,multiclass,Random Forest,100,10,3,14,140,0.362962963
1.01,multiclass,Random Forest,200,10,1,14,140,0.362962963
1.01,multiclass,Random Forest,200,10,1,18,20,0.362962963
1.01,multiclass,Random Forest,200,10,1,18,60,0.362962963
1.01,multiclass,Random Forest,100,10,1,14,20,0.355555556
1.01,multiclass,Random Forest,100,10,3,18,140,0.355555556
1.01,multiclass,Random Forest,100,10,3,18,180,0.355555556
1.01,multiclass,Random Forest,200,10,1,18,140,0.355555556
1.01,multiclass,Random Forest,400,10,1,6,180,0.352941176
1.01,multiclass,Random Forest,400,10,1,10,100,0.352941176
1.01,multiclass,Random Forest,400,10,1,10,140,0.352941176
1.01,multiclass,Random Forest,400,10,1,14,60,0.352941176
1.01,multiclass,Random Forest,400,10,1,14,100,0.352941176
1.01,multiclass,Random Forest,400,10,1,14,180,0.352941176
1.01,multiclass,Random Forest,400,10,1,18,60,0.352941176
1.01,multiclass,Random Forest,400,10,1,18,100,0.352941176
1.01,multiclass,Random Forest,400,10,1,18,180,0.352941176
1.01,multiclass,Random Forest,100,10,1,2,180,0.351851852
1.01,multiclass,Random Forest,100,10,3,14,100,0.351851852
1.01,multiclass,Random Forest,100,10,3,18,60,0.351851852
1.01,multiclass,Random Forest,100,10,1,2,60,0.348148148
1.01,multiclass,Random Forest,100,10,1,10,20,0.348148148
1.01,multiclass,Random Forest,100,10,3,18,20,0.348148148
1.01,multiclass,Random Forest,200,10,1,6,60,0.348148148
1.01,multiclass,Random Forest,200,10,1,10,100,0.348148148
1.01,multiclass,Random Forest,200,10,1,10,180,0.348148148
1.01,multiclass,Random Forest,200,10,1,14,180,0.348148148
1.01,multiclass,Random Forest,100,1,1,2,100,0.344827586
1.01,multiclass,Random Forest,100,1,1,2,140,0.344827586
1.01,multiclass,Random Forest,100,1,3,10,20,0.344827586
1.01,multiclass,Random Forest,100,1,3,14,100,0.344827586
1.01,multiclass,Random Forest,200,2,1,6,60,0.344827586
1.01,multiclass,Random Forest,200,2,1,10,140,0.344827586
1.01,multiclass,Random Forest,200,2,1,14,140,0.344827586
1.01,multiclass,Random Forest,200,2,1,18,140,0.344827586
1.01,multiclass,Random Forest,100,10,1,2,140,0.344444444
1.01,multiclass,Random Forest,100,10,1,18,20,0.340740741
1.01,multiclass,Random Forest,100,10,3,10,60,0.340740741
1.01,multiclass,Random Forest,200,10,1,6,100,0.340740741
1.01,multiclass,Random Forest,200,10,1,18,180,0.340740741
1.01,multiclass,Random Forest,200,10,3,14,180,0.340740741
1.01,multiclass,Random Forest,400,10,1,6,60,0.338235294
1.01,multiclass,Random Forest,400,10,1,14,140,0.338235294
1.01,multiclass,Random Forest,400,10,1,18,140,0.338235294
1.01,multiclass,Random Forest,100,10,3,6,140,0.337037037
1.01,multiclass,Random Forest,100,10,3,14,180,0.337037037
1.01,multiclass,Random Forest,200,1,1,6,60,0.333333333
1.01,multiclass,Random Forest,200,1,1,6,100,0.333333333
1.01,multiclass,Random Forest,200,1,1,6,180,0.333333333
1.01,multiclass,Random Forest,200,1,1,10,100,0.333333333
1.01,multiclass,Random Forest,200,1,1,14,100,0.333333333
1.01,multiclass,Random Forest,200,1,1,18,100,0.333333333
1.01,multiclass,Random Forest,200,1,3,10,60,0.333333333
1.01,multiclass,Random Forest,200,1,3,10,100,0.333333333
1.01,multiclass,Random Forest,200,1,3,10,140,0.333333333
