experiment,category,classifier,sample_length,coverage,k,max_depth,n_estimators,score
1.5,multiclass,Random Forest,100,200,2,50,800,0.878489021
1.5,multiclass,Random Forest,100,200,2,50,1600,0.877000372
1.5,multiclass,Random Forest,100,200,2,50,400,0.876814291
1.5,multiclass,Random Forest,100,200,2,100,400,0.876814291
1.5,multiclass,Random Forest,100,200,2,200,400,0.876814291
1.5,multiclass,Random Forest,100,200,1,50,800,0.87662821
1.5,multiclass,Random Forest,100,200,1,100,800,0.87662821
1.5,multiclass,Random Forest,100,200,1,200,800,0.87662821
1.5,multiclass,Random Forest,100,200,1,50,1600,0.876069967
1.5,multiclass,Random Forest,100,200,1,100,1600,0.876069967
1.5,multiclass,Random Forest,100,200,1,200,1600,0.876069967
1.5,multiclass,Random Forest,100,200,2,50,3200,0.876069967
1.5,multiclass,Random Forest,100,200,2,100,800,0.875883885
1.5,multiclass,Random Forest,100,200,2,200,800,0.875883885
1.5,multiclass,Random Forest,100,200,2,50,200,0.875697804
1.5,multiclass,Random Forest,100,200,1,50,400,0.875325642
1.5,multiclass,Random Forest,100,200,1,50,3200,0.875325642
1.5,multiclass,Random Forest,100,200,1,100,400,0.875325642
1.5,multiclass,Random Forest,100,200,1,100,3200,0.875325642
1.5,multiclass,Random Forest,100,200,1,200,400,0.875325642
1.5,multiclass,Random Forest,100,200,1,200,3200,0.875325642
1.5,multiclass,Random Forest,100,200,2,100,3200,0.875139561
1.5,multiclass,Random Forest,100,200,2,200,3200,0.875139561
1.5,multiclass,Random Forest,100,200,2,100,1600,0.87495348
1.5,multiclass,Random Forest,100,200,2,200,1600,0.87495348
1.5,multiclass,Random Forest,100,200,1,50,200,0.872162263
1.5,multiclass,Random Forest,100,200,1,100,200,0.872162263
1.5,multiclass,Random Forest,100,200,1,200,200,0.872162263
1.5,multiclass,Random Forest,100,200,2,100,100,0.871231857
1.5,multiclass,Random Forest,100,200,2,200,100,0.871231857
1.5,multiclass,Random Forest,100,200,1,50,100,0.870487533
1.5,multiclass,Random Forest,100,200,1,100,100,0.870487533
1.5,multiclass,Random Forest,100,200,1,200,100,0.870487533
1.5,multiclass,Random Forest,100,200,2,100,200,0.87011537
1.5,multiclass,Random Forest,100,200,2,200,200,0.87011537
1.5,multiclass,Random Forest,100,200,2,50,100,0.868626721
1.5,multiclass,Random Forest,100,200,2,50,50,0.862299963
1.5,multiclass,Random Forest,100,200,2,100,50,0.860997395
1.5,multiclass,Random Forest,100,200,2,200,50,0.860997395
1.5,multiclass,Random Forest,100,200,1,50,50,0.860811314
1.5,multiclass,Random Forest,100,200,1,100,50,0.860811314
1.5,multiclass,Random Forest,100,200,1,200,50,0.860811314
1.5,multiclass,Random Forest,100,200,4,200,3200,0.852995906
1.5,multiclass,Random Forest,100,200,4,200,800,0.852437663
1.5,multiclass,Random Forest,100,200,4,200,1600,0.852251582
1.5,multiclass,Random Forest,100,200,4,200,400,0.851321176
1.5,multiclass,Random Forest,100,200,4,200,200,0.850018608
1.5,multiclass,Random Forest,100,200,4,200,100,0.848902121
1.5,multiclass,Random Forest,100,200,4,200,50,0.847971716
1.5,multiclass,Random Forest,100,200,4,100,1600,0.842575363
1.5,multiclass,Random Forest,100,200,4,100,3200,0.842575363
1.5,multiclass,Random Forest,100,200,4,100,800,0.841458876
1.5,multiclass,Random Forest,100,200,4,100,400,0.840156308
