experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,solver,score,score type
17.02,multiclass,Logistic Regression (sklearn),"(56, 400)",100,1,1,l2,auto,none,lbfgs,0.379310345,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(56, 789)",100,1,2,l2,auto,none,lbfgs,0.413793103,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(56, 1697)",100,1,4,l2,auto,none,lbfgs,0.103448276,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(56, 1326)",100,1,6,l2,auto,none,lbfgs,0.103448276,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(56, 1017)",100,1,8,l2,auto,none,lbfgs,0.172413793,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(56, 850)",100,1,10,l2,auto,none,lbfgs,0.103448276,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(56, 680)",100,1,12,l2,auto,none,lbfgs,0.172413793,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(546, 400)",100,10,1,l2,auto,none,lbfgs,0.403703704,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(546, 800)",100,10,2,l2,auto,none,lbfgs,0.414814815,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(546, 5665)",100,10,4,l2,auto,none,lbfgs,0.411111111,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(546, 10503)",100,10,6,l2,auto,none,lbfgs,0.32962963,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(546, 9156)",100,10,8,l2,auto,none,lbfgs,0.311111111,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(546, 7747)",100,10,10,l2,auto,none,lbfgs,0.266666667,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(546, 6204)",100,10,12,l2,auto,none,lbfgs,0.296296296,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(5454, 400)",100,100,1,l2,auto,none,lbfgs,0.483810942,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(5454, 800)",100,100,2,l2,auto,none,lbfgs,0.631931522,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(5454, 6399)",100,100,4,l2,auto,none,lbfgs,0.740230741,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(5454, 38990)",100,100,6,l2,auto,none,lbfgs,0.696687756,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(5454, 54365)",100,100,8,l2,auto,none,lbfgs,0.659843692,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(5454, 49510)",100,100,10,l2,auto,none,lbfgs,0.639374767,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(5454, 39999)",100,100,12,l2,auto,none,lbfgs,0.620394492,species_recall
