experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,score,score type
7.04,multiclass,Logistic Regression (sklearn),"(56, 400)",100,1,1,l2,ovr,,0.20689655172413793,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(56, 793)",100,1,2,l2,ovr,,0.27586206896551724,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(56, 1722)",100,1,4,l2,ovr,,0.1724137931034483,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(56, 1338)",100,1,6,l2,ovr,,0.20689655172413793,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(56, 1018)",100,1,8,l2,ovr,,0.20689655172413793,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(56, 850)",100,1,10,l2,ovr,,0.20689655172413793,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(56, 680)",100,1,12,l2,ovr,,0.1724137931034483,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(546, 400)",100,10,1,l2,ovr,,0.4074074074074074,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(546, 800)",100,10,2,l2,ovr,,0.42962962962962964,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(546, 5689)",100,10,4,l2,ovr,,0.34814814814814815,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(546, 10714)",100,10,6,l2,ovr,,0.3,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(546, 9328)",100,10,8,l2,ovr,,0.3,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(546, 7885)",100,10,10,l2,ovr,,0.21851851851851853,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(546, 6317)",100,10,12,l2,ovr,,0.25555555555555554,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(5454, 400)",100,100,1,l2,ovr,,0.4789728321548195,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(5454, 800)",100,100,2,l2,ovr,,0.5950874581317455,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(5454, 6399)",100,100,4,l2,ovr,,0.7368812802381839,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(5454, 38665)",100,100,6,l2,ovr,,0.6870115370301452,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(5454, 53604)",100,100,8,l2,ovr,,0.6203944919985114,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(5454, 48759)",100,100,10,l2,ovr,,0.6386304428730927,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(5454, 39395)",100,100,12,l2,ovr,,0.634164495720134,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(10908, 400)",100,200,1,l2,ovr,,0.5074432452549311,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(10908, 800)",100,200,2,l2,ovr,,0.6310011164867882,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(10908, 6400)",100,200,4,l2,ovr,,0.8939337551172312,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(10908, 43939)",100,200,6,l2,ovr,,0.8684406401190919,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(10908, 68550)",100,200,8,l2,ovr,,0.8390398213621139,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(10908, 63875)",100,200,10,l2,ovr,,0.8291775213993301,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(10908, 51766)",100,200,12,l2,ovr,,0.833085225158169,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(21817, 400)",100,400,1,l2,ovr,,0.49576626035172605,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(21817, 800)",100,400,2,l2,ovr,,0.6318972736577649,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(21817, 6400)",100,400,4,l2,ovr,,0.9718991346422258,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(21817, 46691)",100,400,6,l2,ovr,,0.9671536242672374,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(21817, 77733)",100,400,8,l2,ovr,,0.9611984739927422,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(21817, 73479)",100,400,10,l2,ovr,,0.9585000465246115,species_recall
