experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score,score type
11.02,multiclass,Random Forest,"(56, 400)",100,1,1,30,50,0.3793103448275862,species_recall
11.02,multiclass,Random Forest,"(56, 791)",100,1,2,30,50,0.27586206896551724,species_recall
11.02,multiclass,Random Forest,"(56, 1670)",100,1,4,30,50,0.2413793103448276,species_recall
11.02,multiclass,Random Forest,"(56, 1309)",100,1,6,30,50,0.1724137931034483,species_recall
11.02,multiclass,Random Forest,"(56, 993)",100,1,8,30,50,0.20689655172413793,species_recall
11.02,multiclass,Random Forest,"(56, 830)",100,1,10,30,50,0.13793103448275862,species_recall
11.02,multiclass,Random Forest,"(56, 664)",100,1,12,30,50,0.27586206896551724,species_recall
11.02,multiclass,Random Forest,"(546, 400)",100,10,1,30,50,0.36666666666666664,species_recall
11.02,multiclass,Random Forest,"(546, 800)",100,10,2,30,50,0.37777777777777777,species_recall
11.02,multiclass,Random Forest,"(546, 5690)",100,10,4,30,50,0.32222222222222224,species_recall
11.02,multiclass,Random Forest,"(546, 10484)",100,10,6,30,50,0.3,species_recall
11.02,multiclass,Random Forest,"(546, 9138)",100,10,8,30,50,0.2851851851851852,species_recall
11.02,multiclass,Random Forest,"(546, 7722)",100,10,10,30,50,0.23703703703703705,species_recall
11.02,multiclass,Random Forest,"(546, 6186)",100,10,12,30,50,0.24444444444444444,species_recall
11.02,multiclass,Random Forest,"(5454, 400)",100,100,1,30,50,0.6814291030889468,species_recall
11.02,multiclass,Random Forest,"(5454, 800)",100,100,2,30,50,0.702270189802754,species_recall
11.02,multiclass,Random Forest,"(5454, 6399)",100,100,4,30,50,0.5679196129512467,species_recall
11.02,multiclass,Random Forest,"(5454, 39089)",100,100,6,30,50,0.35429847413472276,species_recall
11.02,multiclass,Random Forest,"(5454, 54546)",100,100,8,30,50,0.28470413100111647,species_recall
11.02,multiclass,Random Forest,"(5454, 49743)",100,100,10,30,50,0.2601414216598437,species_recall
11.02,multiclass,Random Forest,"(5454, 40222)",100,100,12,30,50,0.2776330480089319,species_recall
11.02,multiclass,Random Forest,"(10908, 400)",100,200,1,30,50,0.8496464458503907,species_recall
11.02,multiclass,Random Forest,"(10908, 800)",100,200,2,30,50,0.8425753628582062,species_recall
11.02,multiclass,Random Forest,"(10908, 6400)",100,200,4,30,50,0.6317454410122814,species_recall
