experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score,score type
1.16,multiclass,Random Forest,"(6, 378)",100,0.1,1,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(6, 372)",100,0.1,2,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(6, 248)",100,0.1,4,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(6, 159)",100,0.1,6,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(6, 120)",100,0.1,8,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(6, 100)",100,0.1,10,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(6, 80)",100,0.1,12,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(56, 400)",100,1,1,72,50,0.13793103448275862,species_recall
1.16,multiclass,Random Forest,"(56, 793)",100,1,2,72,50,0.3103448275862069,species_recall
1.16,multiclass,Random Forest,"(56, 1722)",100,1,4,72,50,0.1724137931034483,species_recall
1.16,multiclass,Random Forest,"(56, 1338)",100,1,6,72,50,0.20689655172413793,species_recall
1.16,multiclass,Random Forest,"(56, 1018)",100,1,8,72,50,0.20689655172413793,species_recall
1.16,multiclass,Random Forest,"(56, 850)",100,1,10,72,50,0.20689655172413793,species_recall
1.16,multiclass,Random Forest,"(56, 680)",100,1,12,72,50,0.20689655172413793,species_recall
1.16,multiclass,Random Forest,"(546, 400)",100,10,1,72,50,0.3851851851851852,species_recall
1.16,multiclass,Random Forest,"(546, 800)",100,10,2,72,50,0.3333333333333333,species_recall
1.16,multiclass,Random Forest,"(546, 5689)",100,10,4,72,50,0.3148148148148148,species_recall
1.16,multiclass,Random Forest,"(546, 10714)",100,10,6,72,50,0.26666666666666666,species_recall
1.16,multiclass,Random Forest,"(546, 9328)",100,10,8,72,50,0.26296296296296295,species_recall
1.16,multiclass,Random Forest,"(546, 7885)",100,10,10,72,50,0.26666666666666666,species_recall
1.16,multiclass,Random Forest,"(546, 6317)",100,10,12,72,50,0.26296296296296295,species_recall
1.16,multiclass,Random Forest,"(5454, 400)",100,100,1,72,50,0.7026423520655005,species_recall
1.16,multiclass,Random Forest,"(5454, 800)",100,100,2,72,50,0.6966877558615556,species_recall
1.16,multiclass,Random Forest,"(5454, 6399)",100,100,4,72,50,0.6617045031633793,species_recall
1.16,multiclass,Random Forest,"(5454, 38665)",100,100,6,72,50,0.44882768887234836,species_recall
1.16,multiclass,Random Forest,"(5454, 53604)",100,100,8,72,50,0.3360625232601414,species_recall
1.16,multiclass,Random Forest,"(5454, 48759)",100,100,10,72,50,0.317082247860067,species_recall
1.16,multiclass,Random Forest,"(5454, 39395)",100,100,12,72,50,0.3122441384443617,species_recall
1.16,multiclass,Random Forest,"(10908, 400)",100,200,1,72,50,0.8608113137327875,species_recall
1.16,multiclass,Random Forest,"(10908, 800)",100,200,2,72,50,0.8619278005210271,species_recall
1.16,multiclass,Random Forest,"(10908, 6400)",100,200,4,72,50,0.8049869743208039,species_recall
1.16,multiclass,Random Forest,"(10908, 43939)",100,200,6,72,50,0.5044659471529587,species_recall
1.16,multiclass,Random Forest,"(10908, 68550)",100,200,8,72,50,0.36229996278377374,species_recall
1.16,multiclass,Random Forest,"(10908, 63875)",100,200,10,72,50,0.3187569780424265,species_recall
1.16,multiclass,Random Forest,"(10908, 51766)",100,200,12,72,50,0.31466319315221436,species_recall
1.16,multiclass,Random Forest,"(21817, 400)",100,400,1,72,50,0.9591513910858844,species_recall
1.16,multiclass,Random Forest,"(21817, 800)",100,400,2,72,50,0.962128966223132,species_recall
1.16,multiclass,Random Forest,"(21817, 6400)",100,400,4,72,50,0.895412673304178,species_recall
1.16,multiclass,Random Forest,"(21817, 46691)",100,400,6,72,50,0.5218200428026426,species_recall
1.16,multiclass,Random Forest,"(21817, 77733)",100,400,8,72,50,0.3668930864427282,species_recall
1.16,multiclass,Random Forest,"(21817, 73479)",100,400,10,72,50,0.3067832883595422,species_recall
1.16,multiclass,Random Forest,"(21817, 59669)",100,400,12,72,50,0.300735088862008,species_recall
1.16,multiclass,Random Forest,"(3, 609)",200,0.1,1,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(3, 428)",200,0.1,2,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(3, 248)",200,0.1,4,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(3, 165)",200,0.1,6,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(3, 125)",200,0.1,8,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(3, 100)",200,0.1,10,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(3, 80)",200,0.1,12,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(29, 800)",200,1,1,72,50,0.4,species_recall
1.16,multiclass,Random Forest,"(29, 1444)",200,1,2,72,50,0.26666666666666666,species_recall
1.16,multiclass,Random Forest,"(29, 1910)",200,1,4,72,50,0.2,species_recall
1.16,multiclass,Random Forest,"(29, 1429)",200,1,6,72,50,0.3333333333333333,species_recall
1.16,multiclass,Random Forest,"(29, 1096)",200,1,8,72,50,0.2,species_recall
1.16,multiclass,Random Forest,"(29, 878)",200,1,10,72,50,0.2,species_recall
1.16,multiclass,Random Forest,"(29, 703)",200,1,12,72,50,0.2,species_recall
1.16,multiclass,Random Forest,"(274, 800)",200,10,1,72,50,0.4,species_recall
1.16,multiclass,Random Forest,"(274, 1600)",200,10,2,72,50,0.2962962962962963,species_recall
1.16,multiclass,Random Forest,"(274, 9082)",200,10,4,72,50,0.31851851851851853,species_recall
1.16,multiclass,Random Forest,"(274, 11985)",200,10,6,72,50,0.32592592592592595,species_recall
1.16,multiclass,Random Forest,"(274, 9852)",200,10,8,72,50,0.22962962962962963,species_recall
1.16,multiclass,Random Forest,"(274, 7945)",200,10,10,72,50,0.22962962962962963,species_recall
1.16,multiclass,Random Forest,"(274, 6361)",200,10,12,72,50,0.22962962962962963,species_recall
1.16,multiclass,Random Forest,"(2727, 800)",200,100,1,72,50,0.5773809523809523,species_recall
1.16,multiclass,Random Forest,"(2727, 1600)",200,100,2,72,50,0.5870535714285714,species_recall
1.16,multiclass,Random Forest,"(2727, 12772)",200,100,4,72,50,0.5535714285714286,species_recall
1.16,multiclass,Random Forest,"(2727, 60742)",200,100,6,72,50,0.41592261904761907,species_recall
1.16,multiclass,Random Forest,"(2727, 71903)",200,100,8,72,50,0.34375,species_recall
1.16,multiclass,Random Forest,"(2727, 60817)",200,100,10,72,50,0.3020833333333333,species_recall
1.16,multiclass,Random Forest,"(2727, 48991)",200,100,12,72,50,0.30580357142857145,species_recall
1.16,multiclass,Random Forest,"(5454, 800)",200,200,1,72,50,0.731671008559732,species_recall
1.16,multiclass,Random Forest,"(5454, 1600)",200,200,2,72,50,0.7402307406029028,species_recall
1.16,multiclass,Random Forest,"(5454, 12799)",200,200,4,72,50,0.7149237067361369,species_recall
1.16,multiclass,Random Forest,"(5454, 77930)",200,200,6,72,50,0.45999255675474504,species_recall
1.16,multiclass,Random Forest,"(5454, 108026)",200,200,8,72,50,0.3546706363974693,species_recall
1.16,multiclass,Random Forest,"(5454, 94148)",200,200,10,72,50,0.3222925195385188,species_recall
1.16,multiclass,Random Forest,"(5454, 76066)",200,200,12,72,50,0.3114998139188686,species_recall
1.16,multiclass,Random Forest,"(10908, 800)",200,400,1,72,50,0.8825828061034611,species_recall
1.16,multiclass,Random Forest,"(10908, 1600)",200,400,2,72,50,0.8829549683662077,species_recall
1.16,multiclass,Random Forest,"(10908, 12800)",200,400,4,72,50,0.8505768515072571,species_recall
1.16,multiclass,Random Forest,"(10908, 88349)",200,400,6,72,50,0.5253070338667659,species_recall
1.16,multiclass,Random Forest,"(10908, 136646)",200,400,8,72,50,0.3803498325269818,species_recall
1.16,multiclass,Random Forest,"(10908, 121850)",200,400,10,72,50,0.3239672497208783,species_recall
1.16,multiclass,Random Forest,"(10908, 98704)",200,400,12,72,50,0.3100111648678824,species_recall
1.16,multiclass,Random Forest,"(3, 1190)",400,0.1,1,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(3, 874)",400,0.1,2,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(3, 493)",400,0.1,4,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(3, 330)",400,0.1,6,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(3, 250)",400,0.1,8,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(3, 200)",400,0.1,10,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(3, 165)",400,0.1,12,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(15, 1592)",400,1,1,72,50,0.125,species_recall
1.16,multiclass,Random Forest,"(15, 2327)",400,1,2,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(15, 2146)",400,1,4,72,50,0.125,species_recall
1.16,multiclass,Random Forest,"(15, 1511)",400,1,6,72,50,0.125,species_recall
1.16,multiclass,Random Forest,"(15, 1150)",400,1,8,72,50,0.125,species_recall
1.16,multiclass,Random Forest,"(15, 920)",400,1,10,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(15, 759)",400,1,12,72,50,0.0,species_recall
1.16,multiclass,Random Forest,"(137, 1600)",400,10,1,72,50,0.3235294117647059,species_recall
1.16,multiclass,Random Forest,"(137, 3199)",400,10,2,72,50,0.29411764705882354,species_recall
1.16,multiclass,Random Forest,"(137, 12558)",400,10,4,72,50,0.25,species_recall
1.16,multiclass,Random Forest,"(137, 12586)",400,10,6,72,50,0.2647058823529412,species_recall
1.16,multiclass,Random Forest,"(137, 10003)",400,10,8,72,50,0.25,species_recall
1.16,multiclass,Random Forest,"(137, 8033)",400,10,10,72,50,0.22058823529411764,species_recall
1.16,multiclass,Random Forest,"(137, 6631)",400,10,12,72,50,0.22058823529411764,species_recall
1.16,multiclass,Random Forest,"(1364, 1600)",400,100,1,72,50,0.5007429420505201,species_recall
1.16,multiclass,Random Forest,"(1364, 3200)",400,100,2,72,50,0.5037147102526003,species_recall
1.16,multiclass,Random Forest,"(1364, 25059)",400,100,4,72,50,0.5156017830609212,species_recall
1.16,multiclass,Random Forest,"(1364, 80853)",400,100,6,72,50,0.39821693907875183,species_recall
1.16,multiclass,Random Forest,"(1364, 81580)",400,100,8,72,50,0.29420505200594355,species_recall
1.16,multiclass,Random Forest,"(1364, 67552)",400,100,10,72,50,0.2986627043090639,species_recall
1.16,multiclass,Random Forest,"(1364, 55940)",400,100,12,72,50,0.2897473997028232,species_recall
1.16,multiclass,Random Forest,"(2727, 1600)",400,200,1,72,50,0.6034226190476191,species_recall
1.16,multiclass,Random Forest,"(2727, 3200)",400,200,2,72,50,0.6168154761904762,species_recall
1.16,multiclass,Random Forest,"(2727, 25514)",400,200,4,72,50,0.5662202380952381,species_recall
1.16,multiclass,Random Forest,"(2727, 117598)",400,200,6,72,50,0.45163690476190477,species_recall
1.16,multiclass,Random Forest,"(2727, 138154)",400,200,8,72,50,0.37202380952380953,species_recall
1.16,multiclass,Random Forest,"(2727, 116996)",400,200,10,72,50,0.33705357142857145,species_recall
1.16,multiclass,Random Forest,"(2727, 97172)",400,200,12,72,50,0.3325892857142857,species_recall
1.16,multiclass,Random Forest,"(5454, 1600)",400,400,1,72,50,0.7763304800893189,species_recall
1.16,multiclass,Random Forest,"(5454, 3200)",400,400,2,72,50,0.7692593970971343,species_recall
1.16,multiclass,Random Forest,"(5454, 25588)",400,400,4,72,50,0.7525120952735392,species_recall
1.16,multiclass,Random Forest,"(5454, 148288)",400,400,6,72,50,0.502046892445106,species_recall
1.16,multiclass,Random Forest,"(5454, 200257)",400,400,8,72,50,0.37253442500930406,species_recall
1.16,multiclass,Random Forest,"(5454, 174176)",400,400,10,72,50,0.35132117603275026,species_recall
1.16,multiclass,Random Forest,"(5454, 145094)",400,400,12,72,50,0.35876442128768143,species_recall
