experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,solver,score,score type
17.06,multiclass,Logistic Regression (sklearn),"(314, 400)",100,1,1,l2,ovr,,liblinear,0.32903225806451614,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(314, 800)",100,1,2,l2,ovr,,liblinear,0.33548387096774196,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(314, 4934)",100,1,4,l2,ovr,,liblinear,0.2967741935483871,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(314, 6746)",100,1,6,l2,ovr,,liblinear,0.27741935483870966,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(314, 5525)",100,1,8,l2,ovr,,liblinear,0.2903225806451613,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(314, 4639)",100,1,10,l2,ovr,,liblinear,0.2903225806451613,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(314, 3712)",100,1,12,l2,ovr,,liblinear,0.2967741935483871,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(3073, 400)",100,10,1,l2,ovr,,liblinear,0.3089108910891089,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(3073, 800)",100,10,2,l2,ovr,,liblinear,0.3333333333333333,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(3073, 6399)",100,10,4,l2,ovr,,liblinear,0.3920792079207921,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(3073, 36996)",100,10,6,l2,ovr,,liblinear,0.35181518151815183,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(3073, 48067)",100,10,8,l2,ovr,,liblinear,0.3438943894389439,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(3073, 42952)",100,10,10,l2,ovr,,liblinear,0.3174917491749175,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(3073, 34571)",100,10,12,l2,ovr,,liblinear,0.3141914191419142,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(30676, 400)",100,100,1,l2,ovr,,liblinear,0.39761747187293184,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(30676, 800)",100,100,2,l2,ovr,,liblinear,0.4352746525479815,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(30676, 6400)",100,100,4,l2,ovr,,liblinear,0.6351422898742555,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(30676, 63263)",100,100,6,l2,ovr,,liblinear,0.6966909331568498,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(30676, 223993)",100,100,8,l2,ovr,,liblinear,0.6673726009265387,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(30676, 254555)",100,100,10,l2,ovr,,liblinear,0.6641958967571145,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(30676, 211617)",100,100,12,l2,ovr,,liblinear,0.6594970218398412,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(61353, 400)",100,200,1,l2,ovr,,liblinear,0.39567821569211425,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(61353, 800)",100,200,2,l2,ovr,,liblinear,0.4365465435653066,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(61353, 6400)",100,200,4,l2,ovr,,liblinear,0.6996260630729012,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(61353, 64319)",100,200,6,l2,ovr,,liblinear,0.8370561567225917,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(61353, 273803)",100,200,8,l2,ovr,,liblinear,0.8197491644329726,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(61353, 334001)",100,200,10,l2,ovr,,liblinear,0.819054237400311,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(61353, 280929)",100,200,12,l2,ovr,,liblinear,0.8180614844965088,species_recall
