experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,penalty,l2_lambda,max_iter,score,score type
16.05,multiclass,Logistic Regression,"(314, 400)",100,1,1,0.1,0.01,none,0,200,0.206451613,species_recall
16.05,multiclass,Logistic Regression,"(314, 800)",100,1,2,0.1,0.01,none,0,200,0.24516129,species_recall
16.05,multiclass,Logistic Regression,"(314, 4949)",100,1,4,0.1,0.01,none,0,200,0.264516129,species_recall
16.05,multiclass,Logistic Regression,"(314, 6833)",100,1,6,0.1,0.01,none,0,200,0.251612903,species_recall
16.05,multiclass,Logistic Regression,"(314, 5561)",100,1,8,0.1,0.01,none,0,200,0.277419355,species_recall
16.05,multiclass,Logistic Regression,"(314, 4679)",100,1,10,0.1,0.01,none,0,200,0.232258065,species_recall
16.05,multiclass,Logistic Regression,"(314, 3743)",100,1,12,0.1,0.01,none,0,200,0.238709677,species_recall
16.05,multiclass,Logistic Regression,"(3073, 400)",100,10,1,0.1,0.01,none,0,200,0.109570957,species_recall
16.05,multiclass,Logistic Regression,"(3073, 800)",100,10,2,0.1,0.01,none,0,200,0.151155116,species_recall
16.05,multiclass,Logistic Regression,"(3073, 6400)",100,10,4,0.1,0.01,none,0,200,0.315511551,species_recall
16.05,multiclass,Logistic Regression,"(3073, 37078)",100,10,6,0.1,0.01,none,0,200,0.321452145,species_recall
16.05,multiclass,Logistic Regression,"(3073, 48280)",100,10,8,0.1,0.01,none,0,200,0.255445545,species_recall
16.05,multiclass,Logistic Regression,"(3073, 43049)",100,10,10,0.1,0.01,none,0,200,0.253465347,species_recall
16.05,multiclass,Logistic Regression,"(3073, 34688)",100,10,12,0.1,0.01,none,0,200,0.258085809,species_recall
16.05,multiclass,Logistic Regression,"(30676, 400)",100,100,1,0.1,0.01,none,0,200,0.259232296,species_recall
16.05,multiclass,Logistic Regression,"(30676, 800)",100,100,2,0.1,0.01,none,0,200,0.27028458,species_recall
16.05,multiclass,Logistic Regression,"(30676, 6400)",100,100,4,0.1,0.01,none,0,200,0.262144275,species_recall
16.05,multiclass,Logistic Regression,"(30676, 63325)",100,100,6,0.1,0.01,none,0,200,0.312640635,species_recall
16.05,multiclass,Logistic Regression,"(30676, 224471)",100,100,8,0.1,0.01,none,0,200,0.46783587,species_recall
16.05,multiclass,Logistic Regression,"(30676, 255160)",100,100,10,0.1,0.01,none,0,200,0.280873594,species_recall
16.05,multiclass,Logistic Regression,"(30676, 212156)",100,100,12,0.1,0.01,none,0,200,0.421906023,species_recall
16.05,multiclass,Logistic Regression,"(61353, 400)",100,200,1,0.1,0.01,none,0,200,0.26496575,species_recall
16.05,multiclass,Logistic Regression,"(61353, 800)",100,200,2,0.1,0.01,none,0,200,0.263046428,species_recall
16.05,multiclass,Logistic Regression,"(61353, 6400)",100,200,4,0.1,0.01,none,0,200,0.232602005,species_recall
16.05,multiclass,Logistic Regression,"(61353, 64335)",100,200,6,0.1,0.01,none,0,200,0.290909693,species_recall
16.05,multiclass,Logistic Regression,"(61353, 273958)",100,200,8,0.1,0.01,none,0,200,0.307819584,species_recall
16.05,multiclass,Logistic Regression,"(61353, 334242)",100,200,10,0.1,0.01,none,0,200,0.30719084,species_recall
16.05,multiclass,Logistic Regression,"(61353, 281100)",100,200,12,0.1,0.01,none,0,200,0.306727556,species_recall
16.05,multiclass,Logistic Regression,"(122706, 400)",100,400,1,0.1,0.01,none,0,200,0.266272875,species_recall
16.05,multiclass,Logistic Regression,"(122706, 800)",100,400,2,0.1,0.01,none,0,200,0.260365995,species_recall
16.05,multiclass,Logistic Regression,"(122706, 6400)",100,400,4,0.1,0.01,none,0,200,0.030345147,species_recall
16.05,multiclass,Logistic Regression,"(122706, 64561)",100,400,6,0.1,0.01,none,0,200,0.028492008,species_recall
16.05,multiclass,Logistic Regression,"(122706, 293772)",100,400,8,0.1,0.01,none,0,200,0.180118469,species_recall
16.05,multiclass,Logistic Regression,"(122706, 369301)",100,400,10,0.1,0.01,none,0,200,0.02860783,species_recall
16.05,multiclass,Logistic Regression,"(122706, 312192)",100,400,12,0.1,0.01,none,0,200,0.027945994,species_recall
16.05,multiclass,Logistic Regression,"(160, 800)",200,1,1,0.1,0.01,none,0,200,0.3,species_recall
16.05,multiclass,Logistic Regression,"(160, 1600)",200,1,2,0.1,0.01,none,0,200,0.325,species_recall
16.05,multiclass,Logistic Regression,"(160, 7161)",200,1,4,0.1,0.01,none,0,200,0.325,species_recall
16.05,multiclass,Logistic Regression,"(160, 7522)",200,1,6,0.1,0.01,none,0,200,0.2625,species_recall
16.05,multiclass,Logistic Regression,"(160, 5978)",200,1,8,0.1,0.01,none,0,200,0.2,species_recall
