experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multiclass,class_weight,score,score type
5.01,multiclass,Logistic Regression (sklearn),"(56, 400)",100,1,1,l2,auto,,0.172413793,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(56, 793)",100,1,2,l2,auto,,0.24137931,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(56, 1722)",100,1,4,l2,auto,,0.24137931,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(56, 1338)",100,1,6,l2,auto,,0.206896552,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(56, 1018)",100,1,8,l2,auto,,0.206896552,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(56, 850)",100,1,10,l2,auto,,0.206896552,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(56, 680)",100,1,12,l2,auto,,0.206896552,species_recall
5.01,multiclass,Logistic Regression (sklearn),"(546, 400)",100,10,1,l2,auto,,0.407407407,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(546, 800)",100,10,2,l2,auto,,0.466666667,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(546, 5689)",100,10,4,l2,auto,,0.385185185,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(546, 10714)",100,10,6,l2,auto,,0.281481481,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(546, 9328)",100,10,8,l2,auto,,0.288888889,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(546, 7885)",100,10,10,l2,auto,,0.259259259,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(546, 6317)",100,10,12,l2,auto,,0.225925926,species_recall
5.01,multiclass,Logistic Regression (sklearn),"(5454, 400)",100,100,1,l2,auto,,0.492742836,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 800)",100,100,2,l2,auto,,0.62337179,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 6399)",100,100,4,l2,auto,,0.737997767,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 38665)",100,100,6,l2,auto,,0.700409378,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 53604)",100,100,8,l2,auto,,0.637513956,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 48759)",100,100,10,l2,auto,,0.619650167,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 39395)",100,100,12,l2,auto,,0.630442873,species_recall
5.01,multiclass,Logistic Regression (sklearn),"(10908, 400)",100,200,1,l2,auto,,0.510978787,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 800)",100,200,2,l2,auto,,0.661890584,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 6400)",100,200,4,l2,auto,,0.892072944,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 43939)",100,200,6,l2,auto,,0.881466319,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 68550)",100,200,8,l2,auto,,0.846296985,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 63875)",100,200,10,l2,auto,,0.829177521,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 51766)",100,200,12,l2,auto,,0.823036844,species_recall
5.01,multiclass,Logistic Regression (sklearn),"(21817, 400)",100,400,1,l2,auto,,0.506001675,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(21817, 800)",100,400,2,l2,auto,,0.647343445,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(21817, 6400)",100,400,4,l2,auto,,0.970875593,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(21817, 46691)",100,400,6,l2,auto,,0.96761887,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(21817, 77733)",100,400,8,l2,auto,,0.962501163,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(21817, 73479)",100,400,10,l2,auto,,0.95812785,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(21817, 59669)",100,400,12,l2,auto,,0.956266865,species_recall
5.01,multiclass,Logistic Regression (sklearn),"(29, 800)",200,1,1,l2,auto,,0.333333333,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(29, 1444)",200,1,2,l2,auto,,0.4,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(29, 1910)",200,1,4,l2,auto,,0.133333333,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(29, 1429)",200,1,6,l2,auto,,0.2,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(29, 1096)",200,1,8,l2,auto,,0.066666667,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(29, 878)",200,1,10,l2,auto,,0.2,species_recall
