experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,penalty,l2_lambda,max_iter,score,score type
16.01,multiclass,Logistic Regression,"(56, 400)",100,1,1,0.1,0.01,none,0,200,0.275862069,species_recall
16.01,multiclass,Logistic Regression,"(56, 793)",100,1,2,0.1,0.01,none,0,200,0.310344828,species_recall
16.01,multiclass,Logistic Regression,"(56, 1722)",100,1,4,0.1,0.01,none,0,200,0.172413793,species_recall
16.01,multiclass,Logistic Regression,"(56, 1338)",100,1,6,0.1,0.01,none,0,200,0.206896552,species_recall
16.01,multiclass,Logistic Regression,"(56, 1018)",100,1,8,0.1,0.01,none,0,200,0.206896552,species_recall
16.01,multiclass,Logistic Regression,"(56, 850)",100,1,10,0.1,0.01,none,0,200,0.206896552,species_recall
16.01,multiclass,Logistic Regression,"(56, 680)",100,1,12,0.1,0.01,none,0,200,0.172413793,species_recall
16.01,multiclass,Logistic Regression,"(546, 400)",100,10,1,0.1,0.01,none,0,200,0.377777778,species_recall
16.01,multiclass,Logistic Regression,"(546, 800)",100,10,2,0.1,0.01,none,0,200,0.418518519,species_recall
16.01,multiclass,Logistic Regression,"(546, 5689)",100,10,4,0.1,0.01,none,0,200,0.377777778,species_recall
16.01,multiclass,Logistic Regression,"(546, 10714)",100,10,6,0.1,0.01,none,0,200,0.3,species_recall
16.01,multiclass,Logistic Regression,"(546, 9328)",100,10,8,0.1,0.01,none,0,200,0.296296296,species_recall
16.01,multiclass,Logistic Regression,"(546, 7885)",100,10,10,0.1,0.01,none,0,200,0.222222222,species_recall
16.01,multiclass,Logistic Regression,"(546, 6317)",100,10,12,0.1,0.01,none,0,200,0.255555556,species_recall
16.01,multiclass,Logistic Regression,"(5454, 400)",100,100,1,0.1,0.01,none,0,200,0.183475996,species_recall
16.01,multiclass,Logistic Regression,"(5454, 800)",100,100,2,0.1,0.01,none,0,200,0.178265724,species_recall
16.01,multiclass,Logistic Regression,"(5454, 6399)",100,100,4,0.1,0.01,none,0,200,0.735764793,species_recall
16.01,multiclass,Logistic Regression,"(5454, 38665)",100,100,6,0.1,0.01,none,0,200,0.689244511,species_recall
16.01,multiclass,Logistic Regression,"(5454, 53604)",100,100,8,0.1,0.01,none,0,200,0.653516933,species_recall
16.01,multiclass,Logistic Regression,"(5454, 48759)",100,100,10,0.1,0.01,none,0,200,0.637513956,species_recall
16.01,multiclass,Logistic Regression,"(5454, 39395)",100,100,12,0.1,0.01,none,0,200,0.63155936,species_recall
16.01,multiclass,Logistic Regression,"(10908, 400)",100,200,1,0.1,0.01,none,0,200,0.171380722,species_recall
16.01,multiclass,Logistic Regression,"(10908, 800)",100,200,2,0.1,0.01,none,0,200,0.174730182,species_recall
16.01,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.1,0.01,none,0,200,0.890026051,species_recall
16.01,multiclass,Logistic Regression,"(10908, 43939)",100,200,6,0.1,0.01,none,0,200,0.86509118,species_recall
16.01,multiclass,Logistic Regression,"(10908, 68550)",100,200,8,0.1,0.01,none,0,200,0.829363603,species_recall
16.01,multiclass,Logistic Regression,"(10908, 63875)",100,200,10,0.1,0.01,none,0,200,0.824897655,species_recall
16.01,multiclass,Logistic Regression,"(10908, 51766)",100,200,12,0.1,0.01,none,0,200,0.810197246,species_recall
16.01,multiclass,Logistic Regression,"(21817, 400)",100,400,1,0.1,0.01,none,0,200,0.180515493,species_recall
16.01,multiclass,Logistic Regression,"(21817, 800)",100,400,2,0.1,0.01,none,0,200,0.178096213,species_recall
16.01,multiclass,Logistic Regression,"(21817, 6400)",100,400,4,0.1,0.01,none,0,200,0.159207221,species_recall
16.01,multiclass,Logistic Regression,"(21817, 46691)",100,400,6,0.1,0.01,none,0,200,0.744579883,species_recall
16.01,multiclass,Logistic Regression,"(21817, 77733)",100,400,8,0.1,0.01,none,0,200,0.735740207,species_recall
16.01,multiclass,Logistic Regression,"(21817, 73479)",100,400,10,0.1,0.01,none,0,200,0.733786173,species_recall
16.01,multiclass,Logistic Regression,"(21817, 59669)",100,400,12,0.1,0.01,none,0,200,0.956732111,species_recall
16.01,multiclass,Logistic Regression,"(29, 800)",200,1,1,0.1,0.01,none,0,200,0.2,species_recall
16.01,multiclass,Logistic Regression,"(29, 1444)",200,1,2,0.1,0.01,none,0,200,0.2,species_recall
16.01,multiclass,Logistic Regression,"(29, 1910)",200,1,4,0.1,0.01,none,0,200,0.133333333,species_recall
16.01,multiclass,Logistic Regression,"(29, 1429)",200,1,6,0.1,0.01,none,0,200,0.066666667,species_recall
16.01,multiclass,Logistic Regression,"(29, 1096)",200,1,8,0.1,0.01,none,0,200,0.133333333,species_recall
16.01,multiclass,Logistic Regression,"(29, 878)",200,1,10,0.1,0.01,none,0,200,0.133333333,species_recall
16.01,multiclass,Logistic Regression,"(29, 703)",200,1,12,0.1,0.01,none,0,200,0.066666667,species_recall
16.01,multiclass,Logistic Regression,"(274, 800)",200,10,1,0.1,0.01,none,0,200,0.474074074,species_recall
16.01,multiclass,Logistic Regression,"(274, 1600)",200,10,2,0.1,0.01,none,0,200,0.407407407,species_recall
16.01,multiclass,Logistic Regression,"(274, 9082)",200,10,4,0.1,0.01,none,0,200,0.348148148,species_recall
16.01,multiclass,Logistic Regression,"(274, 11985)",200,10,6,0.1,0.01,none,0,200,0.348148148,species_recall
16.01,multiclass,Logistic Regression,"(274, 9852)",200,10,8,0.1,0.01,none,0,200,0.281481481,species_recall
16.01,multiclass,Logistic Regression,"(274, 7945)",200,10,10,0.1,0.01,none,0,200,0.244444444,species_recall
16.01,multiclass,Logistic Regression,"(274, 6361)",200,10,12,0.1,0.01,none,0,200,0.281481481,species_recall
16.01,multiclass,Logistic Regression,"(2727, 800)",200,100,1,0.1,0.01,none,0,200,0.180059524,species_recall
16.01,multiclass,Logistic Regression,"(2727, 1600)",200,100,2,0.1,0.01,none,0,200,0.491815476,species_recall
16.01,multiclass,Logistic Regression,"(2727, 12772)",200,100,4,0.1,0.01,none,0,200,0.675595238,species_recall
16.01,multiclass,Logistic Regression,"(2727, 60742)",200,100,6,0.1,0.01,none,0,200,0.611607143,species_recall
16.01,multiclass,Logistic Regression,"(2727, 71903)",200,100,8,0.1,0.01,none,0,200,0.490327381,species_recall
16.01,multiclass,Logistic Regression,"(2727, 60817)",200,100,10,0.1,0.01,none,0,200,0.483630952,species_recall
16.01,multiclass,Logistic Regression,"(2727, 48991)",200,100,12,0.1,0.01,none,0,200,0.491815476,species_recall
16.01,multiclass,Logistic Regression,"(5454, 800)",200,200,1,0.1,0.01,none,0,200,0.18422032,species_recall
16.01,multiclass,Logistic Regression,"(5454, 1600)",200,200,2,0.1,0.01,none,0,200,0.173055452,species_recall
16.01,multiclass,Logistic Regression,"(5454, 12799)",200,200,4,0.1,0.01,none,0,200,0.804986974,species_recall
16.01,multiclass,Logistic Regression,"(5454, 77930)",200,200,6,0.1,0.01,none,0,200,0.735020469,species_recall
16.01,multiclass,Logistic Regression,"(5454, 108026)",200,200,8,0.1,0.01,none,0,200,0.639374767,species_recall
16.01,multiclass,Logistic Regression,"(5454, 94148)",200,200,10,0.1,0.01,none,0,200,0.666542613,species_recall
16.01,multiclass,Logistic Regression,"(5454, 76066)",200,200,12,0.1,0.01,none,0,200,0.636397469,species_recall
16.01,multiclass,Logistic Regression,"(10908, 800)",200,400,1,0.1,0.01,none,0,200,0.169519911,species_recall
16.01,multiclass,Logistic Regression,"(10908, 1600)",200,400,2,0.1,0.01,none,0,200,0.176404913,species_recall
16.01,multiclass,Logistic Regression,"(10908, 12800)",200,400,4,0.1,0.01,none,0,200,0.915705247,species_recall
16.01,multiclass,Logistic Regression,"(10908, 88349)",200,400,6,0.1,0.01,none,0,200,0.892259025,species_recall
16.01,multiclass,Logistic Regression,"(10908, 136646)",200,400,8,0.1,0.01,none,0,200,0.858206178,species_recall
16.01,multiclass,Logistic Regression,"(10908, 121850)",200,400,10,0.1,0.01,none,0,200,0.86341645,species_recall
16.01,multiclass,Logistic Regression,"(10908, 98704)",200,400,12,0.1,0.01,none,0,200,0.851507257,species_recall
16.01,multiclass,Logistic Regression,"(15, 1592)",400,1,1,0.1,0.01,none,0,200,0.25,species_recall
16.01,multiclass,Logistic Regression,"(15, 2327)",400,1,2,0.1,0.01,none,0,200,0.25,species_recall
16.01,multiclass,Logistic Regression,"(15, 2146)",400,1,4,0.1,0.01,none,0,200,0.125,species_recall
16.01,multiclass,Logistic Regression,"(15, 1511)",400,1,6,0.1,0.01,none,0,200,0,species_recall
16.01,multiclass,Logistic Regression,"(15, 1150)",400,1,8,0.1,0.01,none,0,200,0.125,species_recall
16.01,multiclass,Logistic Regression,"(15, 920)",400,1,10,0.1,0.01,none,0,200,0.125,species_recall
16.01,multiclass,Logistic Regression,"(15, 759)",400,1,12,0.1,0.01,none,0,200,0.125,species_recall
16.01,multiclass,Logistic Regression,"(137, 1600)",400,10,1,0.1,0.01,none,0,200,0.382352941,species_recall
16.01,multiclass,Logistic Regression,"(137, 3199)",400,10,2,0.1,0.01,none,0,200,0.397058824,species_recall
16.01,multiclass,Logistic Regression,"(137, 12558)",400,10,4,0.1,0.01,none,0,200,0.352941176,species_recall
16.01,multiclass,Logistic Regression,"(137, 12586)",400,10,6,0.1,0.01,none,0,200,0.279411765,species_recall
16.01,multiclass,Logistic Regression,"(137, 10003)",400,10,8,0.1,0.01,none,0,200,0.132352941,species_recall
16.01,multiclass,Logistic Regression,"(137, 8033)",400,10,10,0.1,0.01,none,0,200,0.220588235,species_recall
16.01,multiclass,Logistic Regression,"(137, 6631)",400,10,12,0.1,0.01,none,0,200,0.235294118,species_recall
16.01,multiclass,Logistic Regression,"(1364, 1600)",400,100,1,0.1,0.01,none,0,200,0.175334324,species_recall
16.01,multiclass,Logistic Regression,"(1364, 3200)",400,100,2,0.1,0.01,none,0,200,0.656760773,species_recall
16.01,multiclass,Logistic Regression,"(1364, 25059)",400,100,4,0.1,0.01,none,0,200,0.578008915,species_recall
16.01,multiclass,Logistic Regression,"(1364, 80853)",400,100,6,0.1,0.01,none,0,200,0.502228826,species_recall
16.01,multiclass,Logistic Regression,"(1364, 81580)",400,100,8,0.1,0.01,none,0,200,0.468053492,species_recall
16.01,multiclass,Logistic Regression,"(1364, 67552)",400,100,10,0.1,0.01,none,0,200,0.423476969,species_recall
16.01,multiclass,Logistic Regression,"(1364, 55940)",400,100,12,0.1,0.01,none,0,200,0.408618128,species_recall
16.01,multiclass,Logistic Regression,"(2727, 1600)",400,200,1,0.1,0.01,none,0,200,0.177083333,species_recall
16.01,multiclass,Logistic Regression,"(2727, 3200)",400,200,2,0.1,0.01,none,0,200,0.150297619,species_recall
16.01,multiclass,Logistic Regression,"(2727, 25514)",400,200,4,0.1,0.01,none,0,200,0.723214286,species_recall
16.01,multiclass,Logistic Regression,"(2727, 117598)",400,200,6,0.1,0.01,none,0,200,0.586309524,species_recall
16.01,multiclass,Logistic Regression,"(2727, 138154)",400,200,8,0.1,0.01,none,0,200,0.527529762,species_recall
16.01,multiclass,Logistic Regression,"(2727, 116996)",400,200,10,0.1,0.01,none,0,200,0.541666667,species_recall
16.01,multiclass,Logistic Regression,"(2727, 97172)",400,200,12,0.1,0.01,none,0,200,0.510416667,species_recall
16.01,multiclass,Logistic Regression,"(5454, 1600)",400,400,1,0.1,0.01,none,0,200,0.183103833,species_recall
16.01,multiclass,Logistic Regression,"(5454, 3200)",400,400,2,0.1,0.01,none,0,200,0.174916263,species_recall
