experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score,score type
1.15,multiclass,Random Forest,"(6, 378)",100,0.1,1,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(6, 372)",100,0.1,2,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(6, 248)",100,0.1,4,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(6, 159)",100,0.1,6,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(6, 120)",100,0.1,8,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(6, 100)",100,0.1,10,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(6, 80)",100,0.1,12,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(56, 400)",100,1,1,,100,0.13793103448275862,species_recall
1.15,multiclass,Random Forest,"(56, 793)",100,1,2,,100,0.20689655172413793,species_recall
1.15,multiclass,Random Forest,"(56, 1722)",100,1,4,,100,0.20689655172413793,species_recall
1.15,multiclass,Random Forest,"(56, 1338)",100,1,6,,100,0.20689655172413793,species_recall
1.15,multiclass,Random Forest,"(56, 1018)",100,1,8,,100,0.20689655172413793,species_recall
1.15,multiclass,Random Forest,"(56, 850)",100,1,10,,100,0.20689655172413793,species_recall
1.15,multiclass,Random Forest,"(56, 680)",100,1,12,,100,0.20689655172413793,species_recall
1.15,multiclass,Random Forest,"(546, 400)",100,10,1,,100,0.4185185185185185,species_recall
1.15,multiclass,Random Forest,"(546, 800)",100,10,2,,100,0.32222222222222224,species_recall
1.15,multiclass,Random Forest,"(546, 5689)",100,10,4,,100,0.2962962962962963,species_recall
1.15,multiclass,Random Forest,"(546, 10714)",100,10,6,,100,0.27037037037037037,species_recall
1.15,multiclass,Random Forest,"(546, 9328)",100,10,8,,100,0.27037037037037037,species_recall
1.15,multiclass,Random Forest,"(546, 7885)",100,10,10,,100,0.27037037037037037,species_recall
1.15,multiclass,Random Forest,"(546, 6317)",100,10,12,,100,0.27037037037037037,species_recall
1.15,multiclass,Random Forest,"(5454, 400)",100,100,1,,100,0.7145515444733904,species_recall
1.15,multiclass,Random Forest,"(5454, 800)",100,100,2,,100,0.7134350576851507,species_recall
1.15,multiclass,Random Forest,"(5454, 6399)",100,100,4,,100,0.6899888351321176,species_recall
1.15,multiclass,Random Forest,"(5454, 38665)",100,100,6,,100,0.6609601786378861,species_recall
1.15,multiclass,Random Forest,"(5454, 53604)",100,100,8,,100,0.6390026051358392,species_recall
1.15,multiclass,Random Forest,"(5454, 48759)",100,100,10,,100,0.6404912541868255,species_recall
1.15,multiclass,Random Forest,"(5454, 39395)",100,100,12,,100,0.6345366579828805,species_recall
1.15,multiclass,Random Forest,"(10908, 400)",100,200,1,,100,0.870487532564198,species_recall
1.15,multiclass,Random Forest,"(10908, 800)",100,200,2,,100,0.8712318570896911,species_recall
1.15,multiclass,Random Forest,"(10908, 6400)",100,200,4,,100,0.8546706363974693,species_recall
1.15,multiclass,Random Forest,"(10908, 43939)",100,200,6,,100,0.8522515816896167,species_recall
1.15,multiclass,Random Forest,"(10908, 68550)",100,200,8,,100,0.8345738742091552,species_recall
1.15,multiclass,Random Forest,"(10908, 63875)",100,200,10,,100,0.8327130628954224,species_recall
1.15,multiclass,Random Forest,"(10908, 51766)",100,200,12,,100,0.831782657238556,species_recall
1.15,multiclass,Random Forest,"(21817, 400)",100,400,1,,100,0.9617567693309761,species_recall
1.15,multiclass,Random Forest,"(21817, 800)",100,400,2,,100,0.9647343444682237,species_recall
1.15,multiclass,Random Forest,"(21817, 6400)",100,400,4,,100,0.9640829999069508,species_recall
1.15,multiclass,Random Forest,"(21817, 46691)",100,400,6,,100,0.9591513910858844,species_recall
1.15,multiclass,Random Forest,"(21817, 77733)",100,400,8,,100,0.9536614869265841,species_recall
1.15,multiclass,Random Forest,"(21817, 73479)",100,400,10,,100,0.9525448962501163,species_recall
1.15,multiclass,Random Forest,"(21817, 59669)",100,400,12,,100,0.9536614869265841,species_recall
1.15,multiclass,Random Forest,"(3, 609)",200,0.1,1,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(3, 428)",200,0.1,2,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(3, 248)",200,0.1,4,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(3, 165)",200,0.1,6,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(3, 125)",200,0.1,8,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(3, 100)",200,0.1,10,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(3, 80)",200,0.1,12,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(29, 800)",200,1,1,,100,0.3333333333333333,species_recall
1.15,multiclass,Random Forest,"(29, 1444)",200,1,2,,100,0.2,species_recall
1.15,multiclass,Random Forest,"(29, 1910)",200,1,4,,100,0.2,species_recall
1.15,multiclass,Random Forest,"(29, 1429)",200,1,6,,100,0.2,species_recall
1.15,multiclass,Random Forest,"(29, 1096)",200,1,8,,100,0.2,species_recall
1.15,multiclass,Random Forest,"(29, 878)",200,1,10,,100,0.2,species_recall
1.15,multiclass,Random Forest,"(29, 703)",200,1,12,,100,0.2,species_recall
1.15,multiclass,Random Forest,"(274, 800)",200,10,1,,100,0.37777777777777777,species_recall
1.15,multiclass,Random Forest,"(274, 1600)",200,10,2,,100,0.37037037037037035,species_recall
1.15,multiclass,Random Forest,"(274, 9082)",200,10,4,,100,0.2814814814814815,species_recall
1.15,multiclass,Random Forest,"(274, 11985)",200,10,6,,100,0.3037037037037037,species_recall
1.15,multiclass,Random Forest,"(274, 9852)",200,10,8,,100,0.22962962962962963,species_recall
1.15,multiclass,Random Forest,"(274, 7945)",200,10,10,,100,0.22962962962962963,species_recall
1.15,multiclass,Random Forest,"(274, 6361)",200,10,12,,100,0.22962962962962963,species_recall
1.15,multiclass,Random Forest,"(2727, 800)",200,100,1,,100,0.5989583333333334,species_recall
1.15,multiclass,Random Forest,"(2727, 1600)",200,100,2,,100,0.609375,species_recall
1.15,multiclass,Random Forest,"(2727, 12772)",200,100,4,,100,0.5944940476190477,species_recall
1.15,multiclass,Random Forest,"(2727, 60742)",200,100,6,,100,0.5022321428571429,species_recall
1.15,multiclass,Random Forest,"(2727, 71903)",200,100,8,,100,0.49330357142857145,species_recall
1.15,multiclass,Random Forest,"(2727, 60817)",200,100,10,,100,0.4799107142857143,species_recall
1.15,multiclass,Random Forest,"(2727, 48991)",200,100,12,,100,0.47693452380952384,species_recall
1.15,multiclass,Random Forest,"(5454, 800)",200,200,1,,100,0.7458131745441012,species_recall
1.15,multiclass,Random Forest,"(5454, 1600)",200,200,2,,100,0.7540007443245255,species_recall
1.15,multiclass,Random Forest,"(5454, 12799)",200,200,4,,100,0.7417193896538891,species_recall
1.15,multiclass,Random Forest,"(5454, 77930)",200,200,6,,100,0.6810569408262003,species_recall
1.15,multiclass,Random Forest,"(5454, 108026)",200,200,8,,100,0.6594715295868999,species_recall
1.15,multiclass,Random Forest,"(5454, 94148)",200,200,10,,100,0.6594715295868999,species_recall
1.15,multiclass,Random Forest,"(5454, 76066)",200,200,12,,100,0.6624488276888724,species_recall
1.15,multiclass,Random Forest,"(10908, 800)",200,400,1,,100,0.8905842947525121,species_recall
1.15,multiclass,Random Forest,"(10908, 1600)",200,400,2,,100,0.8894678079642724,species_recall
1.15,multiclass,Random Forest,"(10908, 12800)",200,400,4,,100,0.877186453293636,species_recall
1.15,multiclass,Random Forest,"(10908, 88349)",200,400,6,,100,0.8716040193524377,species_recall
1.15,multiclass,Random Forest,"(10908, 136646)",200,400,8,,100,0.8546706363974693,species_recall
1.15,multiclass,Random Forest,"(10908, 121850)",200,400,10,,100,0.8542984741347227,species_recall
1.15,multiclass,Random Forest,"(10908, 98704)",200,400,12,,100,0.8542984741347227,species_recall
1.15,multiclass,Random Forest,"(3, 1190)",400,0.1,1,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(3, 874)",400,0.1,2,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(3, 493)",400,0.1,4,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(3, 330)",400,0.1,6,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(3, 250)",400,0.1,8,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(3, 200)",400,0.1,10,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(3, 165)",400,0.1,12,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(15, 1592)",400,1,1,,100,0.25,species_recall
1.15,multiclass,Random Forest,"(15, 2327)",400,1,2,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(15, 2146)",400,1,4,,100,0.125,species_recall
1.15,multiclass,Random Forest,"(15, 1511)",400,1,6,,100,0.125,species_recall
1.15,multiclass,Random Forest,"(15, 1150)",400,1,8,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(15, 920)",400,1,10,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(15, 759)",400,1,12,,100,0.0,species_recall
1.15,multiclass,Random Forest,"(137, 1600)",400,10,1,,100,0.35294117647058826,species_recall
1.15,multiclass,Random Forest,"(137, 3199)",400,10,2,,100,0.25,species_recall
1.15,multiclass,Random Forest,"(137, 12558)",400,10,4,,100,0.25,species_recall
1.15,multiclass,Random Forest,"(137, 12586)",400,10,6,,100,0.2647058823529412,species_recall
1.15,multiclass,Random Forest,"(137, 10003)",400,10,8,,100,0.25,species_recall
1.15,multiclass,Random Forest,"(137, 8033)",400,10,10,,100,0.22058823529411764,species_recall
1.15,multiclass,Random Forest,"(137, 6631)",400,10,12,,100,0.22058823529411764,species_recall
1.15,multiclass,Random Forest,"(1364, 1600)",400,100,1,,100,0.5304606240713224,species_recall
1.15,multiclass,Random Forest,"(1364, 3200)",400,100,2,,100,0.5408618127786032,species_recall
1.15,multiclass,Random Forest,"(1364, 25059)",400,100,4,,100,0.5438335809806835,species_recall
1.15,multiclass,Random Forest,"(1364, 80853)",400,100,6,,100,0.4011887072808321,species_recall
1.15,multiclass,Random Forest,"(1364, 81580)",400,100,8,,100,0.4011887072808321,species_recall
1.15,multiclass,Random Forest,"(1364, 67552)",400,100,10,,100,0.3789004457652303,species_recall
1.15,multiclass,Random Forest,"(1364, 55940)",400,100,12,,100,0.3789004457652303,species_recall
1.15,multiclass,Random Forest,"(2727, 1600)",400,200,1,,100,0.6421130952380952,species_recall
1.15,multiclass,Random Forest,"(2727, 3200)",400,200,2,,100,0.6346726190476191,species_recall
1.15,multiclass,Random Forest,"(2727, 25514)",400,200,4,,100,0.59375,species_recall
1.15,multiclass,Random Forest,"(2727, 117598)",400,200,6,,100,0.515625,species_recall
1.15,multiclass,Random Forest,"(2727, 138154)",400,200,8,,100,0.5126488095238095,species_recall
1.15,multiclass,Random Forest,"(2727, 116996)",400,200,10,,100,0.5141369047619048,species_recall
1.15,multiclass,Random Forest,"(2727, 97172)",400,200,12,,100,0.5141369047619048,species_recall
1.15,multiclass,Random Forest,"(5454, 1600)",400,400,1,,100,0.7915891328619278,species_recall
1.15,multiclass,Random Forest,"(5454, 3200)",400,400,2,,100,0.7897283215481951,species_recall
1.15,multiclass,Random Forest,"(5454, 25588)",400,400,4,,100,0.7945664309639002,species_recall
1.15,multiclass,Random Forest,"(5454, 148288)",400,400,6,,100,0.7301823595087458,species_recall
1.15,multiclass,Random Forest,"(5454, 200257)",400,400,8,,100,0.7085969482694455,species_recall
1.15,multiclass,Random Forest,"(5454, 174176)",400,400,10,,100,0.7223669519910682,species_recall
1.15,multiclass,Random Forest,"(5454, 145094)",400,400,12,,100,0.7149237067361369,species_recall
