experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,penalty,l2_lambda,max_iter,score,score type
16.03,multiclass,Logistic Regression,"(314, 400)",100,1,1,0.1,0.01,none,0,1000,0.225806452,species_recall
16.03,multiclass,Logistic Regression,"(314, 800)",100,1,2,0.1,0.01,none,0,1000,0.206451613,species_recall
16.03,multiclass,Logistic Regression,"(314, 4820)",100,1,4,0.1,0.01,none,0,1000,0.238709677,species_recall
16.03,multiclass,Logistic Regression,"(314, 6499)",100,1,6,0.1,0.01,none,0,1000,0.24516129,species_recall
16.03,multiclass,Logistic Regression,"(314, 5341)",100,1,8,0.1,0.01,none,0,1000,0.238709677,species_recall
16.03,multiclass,Logistic Regression,"(314, 4476)",100,1,10,0.1,0.01,none,0,1000,0.225806452,species_recall
16.03,multiclass,Logistic Regression,"(314, 3586)",100,1,12,0.1,0.01,none,0,1000,0.232258065,species_recall
16.03,multiclass,Logistic Regression,"(3073, 400)",100,10,1,0.1,0.01,none,0,1000,0.119471947,species_recall
16.03,multiclass,Logistic Regression,"(3073, 800)",100,10,2,0.1,0.01,none,0,1000,0.137293729,species_recall
16.03,multiclass,Logistic Regression,"(3073, 6399)",100,10,4,0.1,0.01,none,0,1000,0.355775578,species_recall
16.03,multiclass,Logistic Regression,"(3073, 35739)",100,10,6,0.1,0.01,none,0,1000,0.290429043,species_recall
16.03,multiclass,Logistic Regression,"(3073, 46025)",100,10,8,0.1,0.01,none,0,1000,0.279207921,species_recall
16.03,multiclass,Logistic Regression,"(3073, 40967)",100,10,10,0.1,0.01,none,0,1000,0.329372937,species_recall
16.03,multiclass,Logistic Regression,"(3073, 33010)",100,10,12,0.1,0.01,none,0,1000,0.316831683,species_recall
16.03,multiclass,Logistic Regression,"(30676, 400)",100,100,1,0.1,0.01,none,0,1000,0.263732627,species_recall
16.03,multiclass,Logistic Regression,"(30676, 800)",100,100,2,0.1,0.01,none,0,1000,0.266512244,species_recall
16.03,multiclass,Logistic Regression,"(30676, 6400)",100,100,4,0.1,0.01,none,0,1000,0.283719391,species_recall
16.03,multiclass,Logistic Regression,"(30676, 63114)",100,100,6,0.1,0.01,none,0,1000,0.306221046,species_recall
16.03,multiclass,Logistic Regression,"(30676, 219526)",100,100,8,0.1,0.01,none,0,1000,0.290337525,species_recall
16.03,multiclass,Logistic Regression,"(30676, 248138)",100,100,10,0.1,0.01,none,0,1000,0.464262078,species_recall
16.03,multiclass,Logistic Regression,"(30676, 206319)",100,100,12,0.1,0.01,none,0,1000,0.464990073,species_recall
16.03,multiclass,Logistic Regression,"(61353, 400)",100,200,1,0.1,0.01,none,0,1000,0.264039181,species_recall
16.03,multiclass,Logistic Regression,"(61353, 800)",100,200,2,0.1,0.01,none,0,1000,0.260597637,species_recall
16.03,multiclass,Logistic Regression,"(61353, 6400)",100,200,4,0.1,0.01,none,0,1000,0.221946458,species_recall
16.03,multiclass,Logistic Regression,"(61353, 64286)",100,200,6,0.1,0.01,none,0,1000,0.32201595,species_recall
16.03,multiclass,Logistic Regression,"(61353, 270019)",100,200,8,0.1,0.01,none,0,1000,0.308812337,species_recall
16.03,multiclass,Logistic Regression,"(61353, 327905)",100,200,10,0.1,0.01,none,0,1000,0.307587941,species_recall
16.03,multiclass,Logistic Regression,"(61353, 275703)",100,200,12,0.1,0.01,none,0,1000,0.312121513,species_recall
16.03,multiclass,Logistic Regression,"(122706, 400)",100,400,1,0.1,0.01,none,0,1000,0.263741355,species_recall
16.03,multiclass,Logistic Regression,"(122706, 800)",100,400,2,0.1,0.01,none,0,1000,0.261640028,species_recall
16.03,multiclass,Logistic Regression,"(122706, 6400)",100,400,4,0.1,0.01,none,0,1000,0.029766041,species_recall
16.03,multiclass,Logistic Regression,"(122706, 64570)",100,400,6,0.1,0.01,none,0,1000,0.02739998,species_recall
16.03,multiclass,Logistic Regression,"(122706, 293319)",100,400,8,0.1,0.01,none,0,1000,0.066994275,species_recall
16.03,multiclass,Logistic Regression,"(122706, 368355)",100,400,10,0.1,0.01,none,0,1000,0.215079917,species_recall
16.03,multiclass,Logistic Regression,"(122706, 311401)",100,400,12,0.1,0.01,none,0,1000,0.149905688,species_recall
16.03,multiclass,Logistic Regression,"(160, 800)",200,1,1,0.1,0.01,none,0,1000,0.25,species_recall
16.03,multiclass,Logistic Regression,"(160, 1600)",200,1,2,0.1,0.01,none,0,1000,0.3875,species_recall
16.03,multiclass,Logistic Regression,"(160, 6879)",200,1,4,0.1,0.01,none,0,1000,0.2375,species_recall
16.03,multiclass,Logistic Regression,"(160, 7152)",200,1,6,0.1,0.01,none,0,1000,0.2125,species_recall
16.03,multiclass,Logistic Regression,"(160, 5698)",200,1,8,0.1,0.01,none,0,1000,0.2625,species_recall
