experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score,score type
11.01,multiclass,Random Forest,"(165, 400)",100,0.1,1,30,50,0.280487805,species_recall
11.01,multiclass,Random Forest,"(165, 800)",100,0.1,2,30,50,0.243902439,species_recall
11.01,multiclass,Random Forest,"(165, 3649)",100,0.1,4,30,50,0.231707317,species_recall
11.01,multiclass,Random Forest,"(165, 3582)",100,0.1,6,30,50,0.207317073,species_recall
11.01,multiclass,Random Forest,"(1425, 400)",100,1,1,30,50,0.338549075,species_recall
11.01,multiclass,Random Forest,"(1425, 800)",100,1,2,30,50,0.3314367,species_recall
11.01,multiclass,Random Forest,"(1425, 6376)",100,1,4,30,50,0.233285917,species_recall
11.01,multiclass,Random Forest,"(1425, 23815)",100,1,6,30,50,0.229018492,species_recall
11.01,multiclass,Random Forest,"(14070, 400)",100,10,1,30,50,0.397402597,species_recall
11.01,multiclass,Random Forest,"(14070, 800)",100,10,2,30,50,0.395238095,species_recall
11.01,multiclass,Random Forest,"(14070, 6400)",100,10,4,30,50,0.269408369,species_recall
11.01,multiclass,Random Forest,"(14070, 62800)",100,10,6,30,50,0.232756133,species_recall
11.01,multiclass,Random Forest,"(140485, 400)",100,100,1,30,50,0.700122841,species_recall
11.01,multiclass,Random Forest,"(140485, 800)",100,100,2,30,50,0.588424019,species_recall
11.01,multiclass,Random Forest,"(140485, 6400)",100,100,4,30,50,0.267533781,species_recall
11.01,multiclass,Random Forest,"(140485, 65533)",100,100,6,30,50,0.232372281,species_recall
11.01,multiclass,Random Forest,"(280971, 400)",100,200,1,30,50,0.849431674,species_recall
11.01,multiclass,Random Forest,"(280971, 800)",100,200,2,30,50,0.686160027,species_recall
11.01,multiclass,Random Forest,"(280971, 6400)",100,200,4,30,50,0.263460246,species_recall
11.01,multiclass,Random Forest,"(280971, 65536)",100,200,6,30,50,0.229230647,species_recall
11.01,multiclass,Random Forest,"(561942, 400)",100,400,1,30,50,0.955776832,species_recall
11.01,multiclass,Random Forest,"(561942, 800)",100,400,2,30,50,0.773757307,species_recall
11.01,multiclass,Random Forest,"(561942, 6400)",100,400,4,30,50,0.271394403,species_recall
11.01,multiclass,Random Forest,"(561942, 65536)",100,400,6,30,50,0.23296288,species_recall
11.01,multiclass,Random Forest,"(93, 800)",200,0.1,1,30,50,0.173913043,species_recall
11.01,multiclass,Random Forest,"(93, 1600)",200,0.1,2,30,50,0.173913043,species_recall
11.01,multiclass,Random Forest,"(93, 4902)",200,0.1,4,30,50,0.152173913,species_recall
11.01,multiclass,Random Forest,"(93, 4223)",200,0.1,6,30,50,0.152173913,species_recall
11.01,multiclass,Random Forest,"(726, 800)",200,1,1,30,50,0.324022346,species_recall
11.01,multiclass,Random Forest,"(726, 1600)",200,1,2,30,50,0.312849162,species_recall
11.01,multiclass,Random Forest,"(726, 12331)",200,1,4,30,50,0.231843575,species_recall
11.01,multiclass,Random Forest,"(726, 28756)",200,1,6,30,50,0.226256983,species_recall
11.01,multiclass,Random Forest,"(7043, 800)",200,10,1,30,50,0.355331412,species_recall
11.01,multiclass,Random Forest,"(7043, 1600)",200,10,2,30,50,0.364553314,species_recall
11.01,multiclass,Random Forest,"(7043, 12800)",200,10,4,30,50,0.268011527,species_recall
11.01,multiclass,Random Forest,"(7043, 114383)",200,10,6,30,50,0.225648415,species_recall
11.01,multiclass,Random Forest,"(70255, 800)",200,100,1,30,50,0.564298925,species_recall
11.01,multiclass,Random Forest,"(70255, 1600)",200,100,2,30,50,0.513293261,species_recall
11.01,multiclass,Random Forest,"(70255, 12800)",200,100,4,30,50,0.265980811,species_recall
11.01,multiclass,Random Forest,"(70255, 135119)",200,100,6,30,50,0.229915617,species_recall
11.01,multiclass,Random Forest,"(140485, 800)",200,200,1,30,50,0.705903606,species_recall
11.01,multiclass,Random Forest,"(140485, 1600)",200,200,2,30,50,0.581674977,species_recall
11.01,multiclass,Random Forest,"(140485, 12800)",200,200,4,30,50,0.272129489,species_recall
11.01,multiclass,Random Forest,"(140485, 135164)",200,200,6,30,50,0.232271118,species_recall
11.01,multiclass,Random Forest,"(280971, 800)",200,400,1,30,50,0.855819465,species_recall
11.01,multiclass,Random Forest,"(280971, 1600)",200,400,2,30,50,0.67187421,species_recall
11.01,multiclass,Random Forest,"(280971, 12800)",200,400,4,30,50,0.267449002,species_recall
11.01,multiclass,Random Forest,"(280971, 135168)",200,400,6,30,50,0.229208969,species_recall
11.01,multiclass,Random Forest,"(53, 1600)",400,0.1,1,30,50,0.185185185,species_recall
