experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,score,score type
9.01,multiclass,Logistic Regression (sklearn),"(2793, 400)",100,1,1,l2,auto,balanced,0.159883721,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(2793, 800)",100,1,2,l2,auto,balanced,0.207122093,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(2793, 6400)",100,1,4,l2,auto,balanced,0.247093023,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(2793, 37221)",100,1,6,l2,auto,balanced,0.219476744,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(27638, 400)",100,10,1,l2,auto,balanced,0.122080212,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(27638, 800)",100,10,2,l2,auto,balanced,0.160423094,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(27638, 6400)",100,10,4,l2,auto,balanced,0.304025268,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(27638, 65241)",100,10,6,l2,auto,balanced,0.330027912,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(276108, 400)",100,100,1,l2,auto,balanced,0.129468947,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(276108, 800)",100,100,2,l2,auto,balanced,0.170478109,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(276108, 6400)",100,100,4,l2,auto,balanced,0.336676618,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(276108, 65536)",100,100,6,l2,auto,balanced,0.655720105,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(552216, 400)",100,200,1,l2,auto,balanced,0.133402944,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(552216, 800)",100,200,2,l2,auto,balanced,0.176276159,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(552216, 6400)",100,200,4,l2,auto,balanced,0.342338633,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(552216, 65536)",100,200,6,l2,auto,balanced,0.76915158,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(1104433, 400)",100,400,1,l2,auto,balanced,0.138280252,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(1104433, 800)",100,400,2,l2,auto,balanced,0.179828117,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(1104433, 6400)",100,400,4,l2,auto,balanced,0.347900179,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(1104433, 65536)",100,400,6,l2,auto,balanced,0.855912496,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(1417, 800)",200,1,1,l2,auto,balanced,0.234620887,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(1417, 1600)",200,1,2,l2,auto,balanced,0.244635193,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(1417, 12764)",200,1,4,l2,auto,balanced,0.264663805,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(1417, 49043)",200,1,6,l2,auto,balanced,0.236051502,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(13833, 800)",200,10,1,l2,auto,balanced,0.155562078,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(13833, 1600)",200,10,2,l2,auto,balanced,0.221896096,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(13833, 12800)",200,10,4,l2,auto,balanced,0.320516584,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(13833, 129900)",200,10,6,l2,auto,balanced,0.326827121,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(138068, 800)",200,100,1,l2,auto,balanced,0.158843597,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(138068, 1600)",200,100,2,l2,auto,balanced,0.227148403,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(138068, 12800)",200,100,4,l2,auto,balanced,0.490132933,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(138068, 135167)",200,100,6,l2,auto,balanced,0.583421563,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(276108, 800)",200,200,1,l2,auto,balanced,0.163110137,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(276108, 1600)",200,200,2,l2,auto,balanced,0.233002927,species_recall
9.01,multiclass,Logistic Regression (sklearn),"(276108, 12800)",200,200,4,l2,auto,balanced,0.540369428,species_recall
