experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score,score type
3.02,multiclass,Random Forest,"(1653525, 400)",100,200,1,15,50,0.45497118819090326,species_recall
3.02,multiclass,Random Forest,"(1653525, 800)",100,200,2,15,50,0.2703005686234303,species_recall
3.02,multiclass,Random Forest,"(1653525, 6400)",100,200,4,15,50,0.23867204143301454,species_recall
3.02,multiclass,Random Forest,"(1653525, 65536)",100,200,6,15,50,0.23669763746848996,species_recall
3.02,multiclass,Random Forest,"(1653525, 775402)",100,200,8,15,50,0.2372256186281576,species_recall
3.02,multiclass,Random Forest,"(1653525, 3710636)",100,200,10,15,50,0.23685480395322825,species_recall
3.02,multiclass,Random Forest,"(1653525, 4397343)",100,200,12,15,50,0.23724158084926383,species_recall
3.02,multiclass,Random Forest,"(826762, 800)",200,200,1,15,50,0.4493040480143021,species_recall
3.02,multiclass,Random Forest,"(826762, 1600)",200,200,2,15,50,0.2695843933872283,species_recall
3.02,multiclass,Random Forest,"(826762, 12800)",200,200,4,15,50,0.23759859729084604,species_recall
3.02,multiclass,Random Forest,"(826762, 135168)",200,200,6,15,50,0.23697975501704271,species_recall
3.02,multiclass,Random Forest,"(826762, 1591902)",200,200,8,15,50,0.23668015677337603,species_recall
3.02,multiclass,Random Forest,"(826762, 6243218)",200,200,10,15,50,0.2360785045627339,species_recall
3.02,multiclass,Random Forest,"(826762, 6966512)",200,200,12,15,50,0.2358452108484033,species_recall
