experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score,score type
3.01,multiclass,Random Forest,"(897, 400)",100,0.1,1,15,50,0.2239819,species_recall
3.01,multiclass,Random Forest,"(897, 800)",100,0.1,2,15,50,0.235294118,species_recall
3.01,multiclass,Random Forest,"(897, 6248)",100,0.1,4,15,50,0.242081448,species_recall
3.01,multiclass,Random Forest,"(897, 16953)",100,0.1,6,15,50,0.21040724,species_recall
3.01,multiclass,Random Forest,"(897, 15609)",100,0.1,8,15,50,0.251131222,species_recall
3.01,multiclass,Random Forest,"(897, 13287)",100,0.1,10,15,50,0.205882353,species_recall
3.01,multiclass,Random Forest,"(897, 10647)",100,0.1,12,15,50,0.226244344,species_recall
3.01,multiclass,Random Forest,"(8329, 400)",100,1,1,15,50,0.256641482,species_recall
3.01,multiclass,Random Forest,"(8329, 800)",100,1,2,15,50,0.243967828,species_recall
3.01,multiclass,Random Forest,"(8329, 6400)",100,1,4,15,50,0.230075554,species_recall
3.01,multiclass,Random Forest,"(8329, 56642)",100,1,6,15,50,0.240799415,species_recall
3.01,multiclass,Random Forest,"(8329, 121486)",100,1,8,15,50,0.230075554,species_recall
3.01,multiclass,Random Forest,"(8329, 117394)",100,1,10,15,50,0.231050451,species_recall
3.01,multiclass,Random Forest,"(8329, 95302)",100,1,12,15,50,0.242018036,species_recall
3.01,multiclass,Random Forest,"(82734, 400)",100,10,1,15,50,0.341733945,species_recall
3.01,multiclass,Random Forest,"(82734, 800)",100,10,2,15,50,0.260582562,species_recall
3.01,multiclass,Random Forest,"(82734, 6400)",100,10,4,15,50,0.234104685,species_recall
3.01,multiclass,Random Forest,"(82734, 65530)",100,10,6,15,50,0.234276459,species_recall
3.01,multiclass,Random Forest,"(82734, 509744)",100,10,8,15,50,0.23358936,species_recall
3.01,multiclass,Random Forest,"(82734, 853683)",100,10,10,15,50,0.235233491,species_recall
3.01,multiclass,Random Forest,"(82734, 754554)",100,10,12,15,50,0.237392947,species_recall
3.01,multiclass,Random Forest,"(826762, 400)",100,100,1,15,50,0.438877047,species_recall
3.01,multiclass,Random Forest,"(826762, 800)",100,100,2,15,50,0.267499484,species_recall
3.01,multiclass,Random Forest,"(826762, 6400)",100,100,4,15,50,0.23842372,species_recall
3.01,multiclass,Random Forest,"(826762, 65536)",100,100,6,15,50,0.236910995,species_recall
3.01,multiclass,Random Forest,"(826762, 764691)",100,100,8,15,50,0.23670717,species_recall
3.01,multiclass,Random Forest,"(826762, 3137754)",100,100,10,15,50,0.237215504,species_recall
3.01,multiclass,Random Forest,"(826762, 3507272)",100,100,12,15,50,0.236979755,species_recall
3.01,multiclass,Random Forest,"(3307050, 400)",100,400,1,15,50,0.466836644,species_recall
3.01,multiclass,Random Forest,"(3307050, 800)",100,400,2,15,50,0.269661466,species_recall
3.01,multiclass,Random Forest,"(3307050, 6400)",100,400,4,15,50,0.238497071,species_recall
3.01,multiclass,Random Forest,"(3307050, 65536)",100,400,6,15,50,0.236701935,species_recall
3.01,multiclass,Random Forest,"(3307050, 778196)",100,400,8,15,50,0.237001534,species_recall
3.01,multiclass,Random Forest,"(3307050, 3953031)",100,400,10,15,50,0.236834544,species_recall
3.01,multiclass,Random Forest,"(3307050, 4802489)",100,400,12,15,50,0.237064769,species_recall
3.01,multiclass,Random Forest,"(472, 800)",200,0.1,1,15,50,0.236051502,species_recall
3.01,multiclass,Random Forest,"(472, 1600)",200,0.1,2,15,50,0.184549356,species_recall
3.01,multiclass,Random Forest,"(472, 11282)",200,0.1,4,15,50,0.25751073,species_recall
3.01,multiclass,Random Forest,"(472, 20330)",200,0.1,6,15,50,0.210300429,species_recall
3.01,multiclass,Random Forest,"(472, 17421)",200,0.1,8,15,50,0.244635193,species_recall
3.01,multiclass,Random Forest,"(472, 14063)",200,0.1,10,15,50,0.21888412,species_recall
3.01,multiclass,Random Forest,"(472, 11263)",200,0.1,12,15,50,0.188841202,species_recall
3.01,multiclass,Random Forest,"(4205, 800)",200,1,1,15,50,0.24034749,species_recall
3.01,multiclass,Random Forest,"(4205, 1600)",200,1,2,15,50,0.24034749,species_recall
3.01,multiclass,Random Forest,"(4205, 12800)",200,1,4,15,50,0.236003861,species_recall
3.01,multiclass,Random Forest,"(4205, 92693)",200,1,6,15,50,0.234073359,species_recall
