experiment,category,classifier,training shape,sample_length,coverage,k,multiclass,class_weight,score,score type
5.02,multiclass,Logistic Regression (sklearn),"(56, 793)",100,1,2,auto,,0.2413793103448276,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(56, 1722)",100,1,4,auto,,0.2413793103448276,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(56, 1338)",100,1,6,auto,,0.20689655172413793,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(56, 1018)",100,1,8,auto,,0.20689655172413793,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(56, 850)",100,1,10,auto,,0.20689655172413793,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(56, 680)",100,1,12,auto,,0.20689655172413793,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(546, 800)",100,10,2,auto,,0.4666666666666667,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(546, 5689)",100,10,4,auto,,0.3851851851851852,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(546, 10714)",100,10,6,auto,,0.2814814814814815,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(546, 9328)",100,10,8,auto,,0.28888888888888886,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(546, 7885)",100,10,10,auto,,0.25925925925925924,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(546, 6317)",100,10,12,auto,,0.22592592592592592,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 800)",100,100,2,auto,,0.6233717901004838,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 6399)",100,100,4,auto,,0.7379977670264235,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 38665)",100,100,6,auto,,0.7004093784890212,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 53604)",100,100,8,auto,,0.637513956084853,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 48759)",100,100,10,auto,,0.6196501674730183,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 39395)",100,100,12,auto,,0.6304428730926684,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 800)",100,200,2,auto,,0.6618905842947526,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 6400)",100,200,4,auto,,0.8920729438034983,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 43939)",100,200,6,auto,,0.8814663193152215,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 68550)",100,200,8,auto,,0.8462969854856718,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 63875)",100,200,10,auto,,0.8291775213993301,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 51766)",100,200,12,auto,,0.8230368440640119,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(21817, 800)",100,400,2,auto,,0.6473434446822369,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(21817, 6400)",100,400,4,auto,,0.9708755931887969,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(21817, 46691)",100,400,6,auto,,0.9676188703824323,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(21817, 77733)",100,400,8,auto,,0.962501163115288,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(21817, 73479)",100,400,10,auto,,0.9581278496324556,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(21817, 59669)",100,400,12,auto,,0.9562668651716758,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(29, 1444)",200,1,2,auto,,0.4,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(29, 1910)",200,1,4,auto,,0.13333333333333333,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(29, 1429)",200,1,6,auto,,0.2,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(29, 1096)",200,1,8,auto,,0.06666666666666667,species_recall
