experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,score,score type
4.03,multiclass,Logistic Regression,"(8, 1547)",400,0.5,1,0.01,0.01,0.2,species_recall
4.03,multiclass,Logistic Regression,"(8, 1721)",400,0.5,2,0.01,0.01,0.2,species_recall
4.03,multiclass,Logistic Regression,"(8, 1244)",400,0.5,4,0.01,0.01,0.0,species_recall
4.03,multiclass,Logistic Regression,"(8, 855)",400,0.5,6,0.01,0.01,0.2,species_recall
4.03,multiclass,Logistic Regression,"(8, 650)",400,0.5,8,0.01,0.01,0.2,species_recall
4.03,multiclass,Logistic Regression,"(8, 520)",400,0.5,10,0.01,0.01,0.2,species_recall
4.03,multiclass,Logistic Regression,"(8, 429)",400,0.5,12,0.01,0.01,0.2,species_recall
4.03,multiclass,Logistic Regression,"(15, 1592)",400,1,1,0.01,0.01,0.25,species_recall
4.03,multiclass,Logistic Regression,"(15, 2327)",400,1,2,0.01,0.01,0.25,species_recall
4.03,multiclass,Logistic Regression,"(15, 2146)",400,1,4,0.01,0.01,0.125,species_recall
4.03,multiclass,Logistic Regression,"(15, 1511)",400,1,6,0.01,0.01,0.0,species_recall
4.03,multiclass,Logistic Regression,"(15, 1150)",400,1,8,0.01,0.01,0.125,species_recall
4.03,multiclass,Logistic Regression,"(15, 920)",400,1,10,0.01,0.01,0.125,species_recall
4.03,multiclass,Logistic Regression,"(15, 759)",400,1,12,0.01,0.01,0.125,species_recall
4.03,multiclass,Logistic Regression,"(137, 1600)",400,10,1,0.01,0.01,0.5147058823529411,species_recall
4.03,multiclass,Logistic Regression,"(137, 3199)",400,10,2,0.01,0.01,0.5147058823529411,species_recall
4.03,multiclass,Logistic Regression,"(137, 12558)",400,10,4,0.01,0.01,0.3382352941176471,species_recall
4.03,multiclass,Logistic Regression,"(137, 12586)",400,10,6,0.01,0.01,0.27941176470588236,species_recall
4.03,multiclass,Logistic Regression,"(137, 10003)",400,10,8,0.01,0.01,0.1323529411764706,species_recall
4.03,multiclass,Logistic Regression,"(137, 8033)",400,10,10,0.01,0.01,0.22058823529411764,species_recall
4.03,multiclass,Logistic Regression,"(137, 6631)",400,10,12,0.01,0.01,0.23529411764705882,species_recall
