taxid.species,sequence_length,n_species_samples,n_samples_coverage_1
106590,1308,4,
106590,1442,4,
106590,1634,4,
106590,1840,4,
1085,1917,2,
1085,2062,2,
1096,2089,1,
120577,2101,2,
120577,2189,2,
1245,2241,2,
1245,2365,2,
1280,2472,89,
1280,2557,89,
1280,2610,89,
1280,2637,89,
1280,2726,89,
1280,2804,89,
1280,2891,89,
1280,2908,89,
1280,2993,89,
1280,3011,89,
1280,3011,89,
1280,3020,89,
1280,3070,89,
1280,3091,89,
1280,3091,89,
1280,3091,89,
1280,3091,89,
1280,3125,89,
1280,3125,89,
1280,3158,89,
1280,3180,89,
1280,3253,89,
1280,3269,89,
1280,3332,89,
1280,3353,89,
1280,3361,89,
1280,3471,89,
1280,3478,89,
1280,3533,89,
1280,3566,89,
1280,3624,89,
1280,3626,89,
1280,3637,89,
1280,3661,89,
1280,3697,89,
1280,3751,89,
1280,3869,89,
1280,4042,89,
1280,4072,89,
1280,4153,89,
1280,4158,89,
1280,4233,89,
1280,4236,89,
1280,4259,89,
1280,4381,89,
1280,4439,89,
1280,4440,89,
1280,4440,89,
1280,4449,89,
1280,4541,89,
1280,4651,89,
1280,4895,89,
1280,4960,89,
1280,5108,89,
1280,5114,89,
1280,5153,89,
1280,5228,89,
1280,5246,89,
1280,5289,89,
1280,5328,89,
1280,5428,89,
1280,5436,89,
1280,5518,89,
1280,5600,89,
1280,5644,89,
1280,5685,89,
1280,5838,89,
1280,6032,89,
1280,6106,89,
1280,6200,89,
1280,6230,89,
1280,6448,89,
1280,6464,89,
1280,6499,89,
1280,6634,89,
1280,6634,89,
1280,6694,89,
1280,6758,89,
1280,6824,89,
1280,6850,89,
1280,6880,89,
1280,6880,89,
1280,6880,89,
1280,7228,89,
1280,7240,89,
1280,7326,89,
1280,7415,89,
1280,7416,89,
1280,7437,89,
1282,7471,2,
1282,7473,2,
1304,7480,1,
1307,7487,17,
1307,7491,17,
1307,7492,17,
1307,7493,17,
1307,7493,17,
1307,7493,17,
1307,7493,17,
1307,7493,17,
1307,7493,17,
1307,7499,17,
1307,7499,17,
1307,7500,17,
1307,7500,17,
1307,7500,17,
1307,7500,17,
1307,7500,17,
1307,7500,17,
1308,7500,7,
1308,7500,7,
1308,7500,7,
1308,7500,7,
1308,7500,7,
1308,7500,7,
1308,7500,7,
